File Name,0523FENC_qPCR.pcrd,,,,,,,,
Created By User,admin,,,,,,,,
Notes,,,,,,,,,
ID,,,,,,,,,
Run Started,10/29/2025 16:02:48 UTC,,,,,,,,
Run Ended,10/29/2025 17:10:44 UTC,,,,,,,,
Sample Vol,20,,,,,,,,
Lid Temp,105,,,,,,,,
Protocol File Name,Template_30_samples_triplex.prcl,,,,,,,,
Plate Setup File Name,Template_30_samples_triplex.pltd,,,,,,,,
Base Serial Number,795BR20267,,,,,,,,
Optical Head Serial Number,795BR20267,,,,,,,,
CFX Maestro Version,5.3.022.1030. ,,,,,,,,
,E%,R^2,,,,,,,
FAM,100.0,0.934,,,,,,,
HEX,124.1,0.881,,,,,,,
Cy5,147.6,0.839,,,,,,,
Well group,All Wells,,,,,,,,
Amplification step,3,,,,,,,,
Melt step,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Well,Fluor,Content,Replicate,Cq,Starting Quantity (SQ),Cq Mean,Cq Std. Dev,SQ Std. Dev,Melt Temperature
G09,Cy5,Unkn-23,23,NaN,NaN,0,0,0,
H01,Cy5,Std-08,8,16.68221767,100000000,16.82089023,0.507203067,0,
H02,Cy5,Std-08,8,16.39744625,100000000,16.82089023,0.507203067,0,
H03,Cy5,Std-08,8,17.38300678,100000000,16.82089023,0.507203067,0,
H04,Cy5,Unkn-08,8,NaN,NaN,0,0,0,
H05,Cy5,Unkn-08,8,NaN,NaN,0,0,0,
H06,Cy5,Unkn-16,16,NaN,NaN,0,0,0,
H07,Cy5,Unkn-16,16,NaN,NaN,0,0,0,
H08,Cy5,Unkn-24,24,NaN,NaN,0,0,0,
H09,Cy5,Unkn-24,24,NaN,NaN,0,0,0,
A01,FAM,Std-01,1,NaN,10,0,0,0,
A02,FAM,Std-01,1,NaN,10,0,0,0,
A03,FAM,Std-01,1,NaN,10,0,0,0,
A04,FAM,Unkn-01,1,NaN,NaN,0,0,0,
A05,FAM,Unkn-01,1,NaN,NaN,0,0,0,
A06,FAM,Unkn-09,9,NaN,NaN,0,0,0,
A07,FAM,Unkn-09,9,NaN,NaN,0,0,0,
A08,FAM,Unkn-17,17,NaN,NaN,0,0,0,
A09,FAM,Unkn-17,17,NaN,NaN,0,0,0,
A10,FAM,Unkn-25,25,34.5099536,5009.177781,34.25378011,0.362284032,1510.31366,
A11,FAM,Unkn-25,25,33.99760661,7145.083843,34.25378011,0.362284032,1510.31366,
A12,FAM,NTC-01,1,NaN,NaN,0,0,0,
B01,FAM,Std-02,2,37.71932314,100,37.99789595,1.405471935,0,
B02,FAM,Std-02,2,36.75257076,100,37.99789595,1.405471935,0,
B03,FAM,Std-02,2,39.52179394,100,37.99789595,1.405471935,0,
B04,FAM,Unkn-02,2,NaN,NaN,0,0,0,
B05,FAM,Unkn-02,2,NaN,NaN,0,0,0,
B06,FAM,Unkn-10,10,NaN,NaN,0,0,0,
B07,FAM,Unkn-10,10,NaN,NaN,0,0,0,
