File Name,0623ASHC_qPCR_7.29.26.pcrd,,,,,,,
Created By User,admin,,,,,,,
Notes,,,,,,,,
ID,,,,,,,,
Run Started,07/29/2026 17:02:10 UTC,,,,,,,
Run Ended,07/29/2026 18:04:50 UTC,,,,,,,
Sample Vol,20,,,,,,,
Lid Temp,105,,,,,,,
Protocol File Name,Triplex_Template_Setup.prcl,,,,,,,
Plate Setup File Name,Template_30_samples_duplex.pltd,,,,,,,
Base Serial Number,795BR20267,,,,,,,
Optical Head Serial Number,795BR20267,,,,,,,
CFX Maestro Version,5.3.022.1030. ,,,,,,,
,,,,,,,,
Well group,All Wells,,,,,,,
Amplification step,3,,,,,,,
Melt step,,,,,,,,
,,,,,,,,
,,,,,,,,
Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ),Cq Std. Dev,Melt Temperature
A01,FAM,,Std-01,,14.6054252309067,100000000,0.126549436812185,
A02,FAM,,Std-01,,14.6235003959352,100000000,0.126549436812185,
A03,FAM,,Std-01,,14.8330932005572,100000000,0.126549436812185,
A04,FAM,,Unkn-01,,31.3934863282095,1292.22243795115,0.241719511940791,
A05,FAM,,Unkn-01,,31.7353293402864,1028.75857675933,0.241719511940791,
A06,FAM,,Unkn-09,,29.6851581952017,4038.30763618787,0.0149202500055527,
A07,FAM,,Unkn-09,,29.7062586151135,3981.87029489635,0.0149202500055527,
A08,FAM,,Unkn-17,,NaN,NaN,0,
A09,FAM,,Unkn-17,,NaN,NaN,0,
A10,FAM,,Unkn-25,,NaN,NaN,0,
A11,FAM,,Unkn-25,,39.297741947051,6.63226680507811,0,
A12,FAM,,NTC-01,,NaN,NaN,0,
B01,FAM,,Std-02,,17.7125703643665,10000000,0.116099667735973,
B02,FAM,,Std-02,,17.9426619595158,10000000,0.116099667735973,
B03,FAM,,Std-02,,17.8546493253976,10000000,0.116099667735973,
B04,FAM,,Unkn-02,,NaN,NaN,0,
B05,FAM,,Unkn-02,,NaN,NaN,0,
B06,FAM,,Unkn-10,,31.6876594615025,1061.99458334208,0.0702696998866236,
B07,FAM,,Unkn-10,,31.7870358241061,993.88314951702,0.0702696998866236,
B08,FAM,,Unkn-18,,33.0736056749418,421.353466648484,0.0573123469894955,
B09,FAM,,Unkn-18,,32.9925537765379,444.759653324201,0.0573123469894955,
B10,FAM,,Unkn-26,,NaN,NaN,0,
B11,FAM,,Unkn-26,,NaN,NaN,0,
B12,FAM,,NTC-01,,NaN,NaN,0,
C01,FAM,,Std-03,,21.6092321570741,1000000,0.130218110489001,
C02,FAM,,Std-03,,21.4896995992878,1000000,0.130218110489001,
C03,FAM,,Std-03,,21.3490806376571,1000000,0.130218110489001,
C04,FAM,,Unkn-03,,29.6009678858479,4271.56810469769,0.0954929666352653,
C05,FAM,,Unkn-03,,29.7360153343747,3903.61783712337,0.0954929666352653,
C06,FAM,,Unkn-11,,29.9336388257667,3421.53083188143,0.0646284795156029,
C07,FAM,,Unkn-11,,30.0250372980133,3219.17428045706,0.0646284795156029,
C08,FAM,,Unkn-19,,30.624172745003,2158.68447151209,0.207731173924147,
