Run ID,Test Date,Assay Name,Sample Name,Original Sample Conc.,Original sample conc. units,Qubit Tube Conc.,Qubit tube conc. units,Sample Volume (uL),Dilution Factor,Extended Low Range,Core Range,Extended High Range,Excitation,Std 1 RFU,Std 2 RFU,Std 3 RFU,Sample RFU,Last Read Standards,Reagent Lot#,Plate Barcode,Well,Sample ID,Tags,Calibrated Tubes,Software Version,Selected Samples
200624-111246,20/06/2024 11:16:55 AM,dsDNA BR,0523LAUR_01,36.9,ng/uL,0.922,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,19.61133933,1208.198785,,276,20/06/2024 11:15:21 AM,,,,,,8,1.9.0,8
200624-111246,20/06/2024 11:22:02 AM,dsDNA BR,0523LAUR_02,23.6,ng/uL,0.59,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,16.60128022,1102.323147,,169,20/06/2024 11:15:21 AM,,,,,,8,1.9.0,7
200624-111246,20/06/2024 11:16:55 AM,dsDNA BR,0523LAUR_03,30.2,ng/uL,0.754,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,17.75590213,1136.771823,,217,20/06/2024 11:15:21 AM,,,,,,8,1.9.0,8
200624-111246,20/06/2024 11:16:55 AM,dsDNA BR,0523LAUR_04,35.4,ng/uL,0.884,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,18.30736334,1276.900668,,279,20/06/2024 11:15:21 AM,,,,,,8,1.9.0,8
200624-111246,20/06/2024 11:16:55 AM,dsDNA BR,0523LAUR_05,22.9,ng/uL,0.572,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,18.48543936,1280.551354,,190,20/06/2024 11:15:21 AM,,,,,,8,1.9.0,8
200624-111246,20/06/2024 11:16:55 AM,dsDNA BR,0523LAUR_06,66.4,ng/uL,1.66,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,16.17619553,1117.972229,,432,20/06/2024 11:15:21 AM,,,,,,8,1.9.0,8
200624-111246,20/06/2024 11:16:55 AM,dsDNA BR,0523LAUR_07,29.2,ng/uL,0.731,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,16.60128022,1102.323147,,204,20/06/2024 11:15:21 AM,,,,,,8,1.9.0,8
200624-111246,20/06/2024 11:16:55 AM,dsDNA BR,0523LAUR_08,34.9,ng/uL,0.873,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,16.64723532,1089.163431,,236,20/06/2024 11:15:21 AM,,,,,,8,1.9.0,8
200624-111246,20/06/2024 11:18:08 AM,dsDNA BR,0523LAUR_09,37.5,ng/uL,0.938,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,19.61133933,1208.198785,,281,20/06/2024 11:15:21 AM,,,,,,8,1.9.0,8
200624-111246,20/06/2024 11:18:08 AM,dsDNA BR,0523LAUR_10,42.4,ng/uL,1.06,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,19.49645158,1148.8967,,297,20/06/2024 11:15:21 AM,,,,,,8,1.9.0,8
