Run ID,Test Date,Assay Name,Sample Name,Original Sample Conc.,Original sample conc. units,Qubit Tube Conc.,Qubit tube conc. units,Sample Volume (uL),Dilution Factor,Extended Low Range,Core Range,Extended High Range,Excitation,Std 1 RFU,Std 2 RFU,Std 3 RFU,Sample RFU,Last Read Standards,Reagent Lot#,Plate Barcode,Well,Sample ID,Tags,Calibrated Tubes,Software Version,Selected Samples
230725-180137,23/07/2025 06:01:43 PM,dsDNA BR,0824GOLD_01,51.2,ng/uL,1.28,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,18.08523904,1325.255522,,405,23/07/2025 05:09:55 PM,,,,,,8,1.9.0,8
230725-180137,23/07/2025 06:01:43 PM,dsDNA BR,0824GOLD_02,113,ng/uL,2.82,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,19.31335844,1430.770963,,882,23/07/2025 05:09:55 PM,,,,,,8,1.9.0,8
230725-180137,23/07/2025 06:01:43 PM,dsDNA BR,0824GOLD_03,82.4,ng/uL,2.06,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,17.71326057,1325.497517,,621,23/07/2025 05:09:55 PM,,,,,,8,1.9.0,8
230725-180137,23/07/2025 06:01:43 PM,dsDNA BR,0824GOLD_04,90.8,ng/uL,2.27,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,18.20923187,1383.676501,,706,23/07/2025 05:09:55 PM,,,,,,8,1.9.0,8
230725-180137,23/07/2025 06:01:43 PM,dsDNA BR,0824GOLD_05,68.8,ng/uL,1.72,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,18.61073244,1409.032788,,559,23/07/2025 05:09:55 PM,,,,,,8,1.9.0,8
230725-180137,23/07/2025 06:01:43 PM,dsDNA BR,0824GOLD_06,83.6,ng/uL,2.09,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,16.47333233,1219.822714,,577,23/07/2025 05:09:55 PM,,,,,,8,1.9.0,8
230725-180137,23/07/2025 06:01:43 PM,dsDNA BR,0824GOLD_07,49.6,ng/uL,1.24,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,16.74493566,1219.114438,,361,23/07/2025 05:09:55 PM,,,,,,8,1.9.0,8
230725-180137,23/07/2025 06:01:43 PM,dsDNA BR,0824GOLD_08,88.8,ng/uL,2.22,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.33968366,1135.939207,,567,23/07/2025 05:09:55 PM,,,,,,8,1.9.0,8
230725-180137,23/07/2025 06:03:05 PM,dsDNA BR,0824GOLD_09,48.8,ng/uL,1.22,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,18.08523904,1325.255522,,386,23/07/2025 05:09:55 PM,,,,,,8,1.9.0,8
230725-180137,23/07/2025 06:03:05 PM,dsDNA BR,0824GOLD_10,94.8,ng/uL,2.37,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,19.31335844,1430.770963,,757,23/07/2025 05:09:55 PM,,,,,,8,1.9.0,8
230725-180137,23/07/2025 06:03:05 PM,dsDNA BR,0824GOLD_11,87.2,ng/uL,2.18,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,17.71326057,1325.497517,,652,23/07/2025 05:09:55 PM,,,,,,8,1.9.0,8
230725-180137,23/07/2025 06:03:05 PM,dsDNA BR,0824GOLD_12,101,ng/uL,2.53,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,18.20923187,1383.676501,,777,23/07/2025 05:09:55 PM,,,,,,8,1.9.0,8
