Run ID,Test Date,Assay Name,Sample Name,Original Sample Conc.,Original sample conc. units,Qubit Tube Conc.,Qubit tube conc. units,Sample Volume (uL),Dilution Factor,Extended Low Range,Core Range,Extended High Range,Excitation,Std 1 RFU,Std 2 RFU,Std 3 RFU,Sample RFU,Last Read Standards,Reagent Lot#,Plate Barcode,Well,Sample ID,Tags,Calibrated Tubes,Software Version,Selected Samples
170725-123908,17/07/2025 12:39:15 PM,dsDNA BR,SizeASHC_01,74,ng/uL,1.85,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,14.38317051,1041.553052,,442,17/07/2025 10:55:51 AM,,,,,,8,1.9.0,8
170725-123908,17/07/2025 12:39:15 PM,dsDNA BR,SizeASHC_02,54,ng/uL,1.35,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,14.76229856,1104.535035,,354,17/07/2025 10:55:51 AM,,,,,,8,1.9.0,8
170725-123908,17/07/2025 12:39:15 PM,dsDNA BR,SizeASHC_03,88,ng/uL,2.2,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,13.29910123,1061.114515,,525,17/07/2025 10:55:51 AM,,,,,,8,1.9.0,8
170725-123908,17/07/2025 12:39:15 PM,dsDNA BR,SizeASHC_04,38.7,ng/uL,0.967,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,13.45904588,1127.546428,,265,17/07/2025 10:55:51 AM,,,,,,8,1.9.0,8
170725-123908,17/07/2025 12:39:15 PM,dsDNA BR,SizeASHC_05,78.4,ng/uL,1.96,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,13.71969641,1040.569051,,465,17/07/2025 10:55:51 AM,,,,,,8,1.9.0,8
170725-123908,17/07/2025 12:39:15 PM,dsDNA BR,SizeASHC_06,84.8,ng/uL,2.12,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,12.36905272,931.9792217,,448,17/07/2025 10:55:51 AM,,,,,,8,1.9.0,8
170725-123908,17/07/2025 12:39:15 PM,dsDNA BR,SizeASHC_07,54,ng/uL,1.35,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,12.88442992,928.5767127,,297,17/07/2025 10:55:51 AM,,,,,,8,1.9.0,8
170725-123908,17/07/2025 12:39:15 PM,dsDNA BR,SizeASHC_08,78.4,ng/uL,1.96,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,12.33350947,867.3730449,,389,17/07/2025 10:55:51 AM,,,,,,8,1.9.0,8
170725-123908,17/07/2025 12:40:21 PM,dsDNA BR,SizeASHC_09,35.8,ng/uL,0.896,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,14.38317051,1041.553052,,230,17/07/2025 10:55:51 AM,,,,,,8,1.9.0,8
170725-123908,17/07/2025 12:40:21 PM,dsDNA BR,SizeASHC_10,115,ng/uL,2.88,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,14.76229856,1104.535035,,693,17/07/2025 10:55:51 AM,,,,,,8,1.9.0,8
170725-123908,17/07/2025 12:40:21 PM,dsDNA BR,SizeASHC_11,50.4,ng/uL,1.26,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,13.29910123,1061.114515,,317,17/07/2025 10:55:51 AM,,,,,,8,1.9.0,8
170725-123908,17/07/2025 12:40:21 PM,dsDNA BR,SizeASHC_12,92,ng/uL,2.3,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,13.45904588,1127.546428,,581,17/07/2025 10:55:51 AM,,,,,,8,1.9.0,8
170725-123908,17/07/2025 12:40:21 PM,dsDNA BR,SizeASHC_13,26.9,ng/uL,0.673,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,13.71969641,1040.569051,,177,17/07/2025 10:55:51 AM,,,,,,8,1.9.0,8
170725-123908,17/07/2025 12:40:21 PM,dsDNA BR,SizeASHC_14,158,ng/uL,3.95,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,12.36905272,931.9792217,,767,17/07/2025 10:55:51 AM,,,,,,8,1.9.0,8
170725-123908,17/07/2025 12:40:21 PM,dsDNA BR,SizeASHC_15,37.6,ng/uL,0.941,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,12.88442992,928.5767127,,215,17/07/2025 10:55:51 AM,,,,,,8,1.9.0,8
170725-123908,17/07/2025 12:40:21 PM,dsDNA BR,SizeASHC_16,24.6,ng/uL,0.616,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,12.33350947,867.3730449,,137,17/07/2025 10:55:51 AM,,,,,,8,1.9.0,8
170725-123908,17/07/2025 12:41:25 PM,dsDNA BR,SizeASHC_17,158,ng/uL,3.96,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,14.38317051,1041.553052,,859,17/07/2025 10:55:51 AM,,,,,,8,1.9.0,8
170725-123908,17/07/2025 12:41:25 PM,dsDNA BR,SizeASHC_18,48.4,ng/uL,1.21,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,14.76229856,1104.535035,,321,17/07/2025 10:55:51 AM,,,,,,8,1.9.0,8
170725-123908,17/07/2025 12:41:25 PM,dsDNA BR,SizeASHC_19,29.2,ng/uL,0.729,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,13.29910123,1061.114515,,194,17/07/2025 10:55:51 AM,,,,,,8,1.9.0,8
170725-123908,17/07/2025 12:41:25 PM,dsDNA BR,SizeASHC_20,54.4,ng/uL,1.36,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,13.45904588,1127.546428,,363,17/07/2025 10:55:51 AM,,,,,,8,1.9.0,8
170725-123908,17/07/2025 12:41:25 PM,dsDNA BR,SizeASHC_21,70,ng/uL,1.75,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,13.71969641,1040.569051,,420,17/07/2025 10:55:51 AM,,,,,,8,1.9.0,8
170725-123908,17/07/2025 12:41:25 PM,dsDNA BR,SizeASHC_22,54,ng/uL,1.35,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,12.36905272,931.9792217,,297,17/07/2025 10:55:51 AM,,,,,,8,1.9.0,8
170725-123908,17/07/2025 12:41:25 PM,dsDNA BR,SizeASHC_23,101,ng/uL,2.52,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,12.88442992,928.5767127,,520,17/07/2025 10:55:51 AM,,,,,,8,1.9.0,8
