Run ID,Test Date,Assay Name,Sample Name,Original Sample Conc.,Original sample conc. units,Qubit Tube Conc.,Qubit tube conc. units,Sample Volume (uL),Dilution Factor,Extended Low Range,Core Range,Extended High Range,Excitation,Std 1 RFU,Std 2 RFU,Std 3 RFU,Sample RFU,Last Read Standards,Reagent Lot#,Plate Barcode,Well,Sample ID,Tags,Calibrated Tubes,Software Version,Selected Samples
230426-144334,23/04/2026 02:44:18 PM,dsDNA BR,0925GOLD_21,12.1,ng/uL,0.303,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.94448417,1175.984008,,100,23/04/2026 02:04:59 PM,,,,,,8,1.9.0,8
230426-144334,23/04/2026 02:44:18 PM,dsDNA BR,0925GOLD_22,40.8,ng/uL,1.02,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,13.93236953,1066.519145,,265,23/04/2026 02:04:59 PM,,,,,,8,1.9.0,8
230426-144334,23/04/2026 02:44:18 PM,dsDNA BR,0925GOLD_23,34,ng/uL,0.849,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,14.0969971,1049.316044,,221,23/04/2026 02:04:59 PM,,,,,,8,1.9.0,8
230426-144334,23/04/2026 02:44:18 PM,dsDNA BR,0925GOLD_24,70.8,ng/uL,1.77,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,14.18845685,1026.031223,,418,23/04/2026 02:04:59 PM,,,,,,8,1.9.0,8
230426-144334,23/04/2026 02:44:34 PM,dsDNA BR,0925GOLD_25,52,ng/uL,1.3,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,17.45661881,1205.051947,,372,23/04/2026 02:04:59 PM,,,,,,8,1.9.0,6
230426-144334,23/04/2026 02:44:34 PM,dsDNA BR,0925GOLD_26,49.2,ng/uL,1.23,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,16.93224954,1252.298013,,368,23/04/2026 02:04:59 PM,,,,,,8,1.9.0,6
230426-144334,23/04/2026 02:44:34 PM,dsDNA BR,0925GOLD_27,4.08,ng/uL,0.102,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.46279612,1132.065216,,43.2,23/04/2026 02:04:59 PM,,,,,,8,1.9.0,6
230426-144334,23/04/2026 02:44:34 PM,dsDNA BR,0925GOLD_28,12.4,ng/uL,0.31,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.86521905,1157.038049,,101,23/04/2026 02:04:59 PM,,,,,,8,1.9.0,6
230426-144334,23/04/2026 02:44:34 PM,dsDNA BR,0925GOLD_29,1.48,ng/uL,0.0371,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.94448417,1175.984008,,26.4,23/04/2026 02:04:59 PM,,,,,,8,1.9.0,6
230426-144334,23/04/2026 02:44:34 PM,dsDNA BR,0925GOLD_30,6.44,ng/uL,0.161,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,13.93236953,1066.519145,,54.8,23/04/2026 02:04:59 PM,,,,,,8,1.9.0,6
230426-143837,23/04/2026 02:38:44 PM,dsDNA BR,0925GOLD_01,27.3,ng/uL,0.683,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,17.45661881,1205.051947,,209,23/04/2026 02:04:59 PM,,,,,,8,1.9.0,8
230426-143837,23/04/2026 02:38:44 PM,dsDNA BR,0925GOLD_02,16.6,ng/uL,0.414,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,16.93224954,1252.298013,,139,23/04/2026 02:04:59 PM,,,,,,8,1.9.0,8
230426-143837,23/04/2026 02:38:44 PM,dsDNA BR,0925GOLD_03,64,ng/uL,1.6,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.46279612,1132.065216,,422,23/04/2026 02:04:59 PM,,,,,,8,1.9.0,8
230426-143837,23/04/2026 02:38:44 PM,dsDNA BR,0925GOLD_04,25.7,ng/uL,0.643,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.86521905,1157.038049,,190,23/04/2026 02:04:59 PM,,,,,,8,1.9.0,8
230426-143837,23/04/2026 02:38:44 PM,dsDNA BR,0925GOLD_05,21.2,ng/uL,0.531,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.94448417,1175.984008,,163,23/04/2026 02:04:59 PM,,,,,,8,1.9.0,8
