Run ID,Test Date,Assay Name,Sample Name,Original Sample Conc.,Original sample conc. units,Qubit Tube Conc.,Qubit tube conc. units,Sample Volume (uL),Dilution Factor,Extended Low Range,Core Range,Extended High Range,Excitation,Std 1 RFU,Std 2 RFU,Std 3 RFU,Sample RFU,Last Read Standards,Reagent Lot#,Plate Barcode,Well,Sample ID,Tags,Calibrated Tubes,Software Version,Selected Samples
270826-190030,27/08/2026 07:04:36 PM,dsDNA BR,0626ASHC_21,52,ng/uL,1.3,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.098872,1073.438655,,332,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
270826-190030,27/08/2026 07:04:36 PM,dsDNA BR,0626ASHC_22,75.2,ng/uL,1.88,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,13.06210978,946.1005536,,408,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
270826-190030,27/08/2026 07:04:36 PM,dsDNA BR,0626ASHC_23,138,ng/uL,3.46,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,13.48897612,976.3563939,,719,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
270826-190030,27/08/2026 07:04:36 PM,dsDNA BR,0626ASHC_24,45.6,ng/uL,1.14,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,13.34872004,934.9963734,,256,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
270826-190030,27/08/2026 07:05:29 PM,dsDNA BR,0626ASHC_25,33.7,ng/uL,0.842,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,16.08676266,1076.684492,,226,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
270826-190030,27/08/2026 07:05:29 PM,dsDNA BR,0626ASHC_26,254,ng/uL,6.34,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.86113331,1135.133968,,1370,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
270826-190030,27/08/2026 07:05:29 PM,dsDNA BR,0626ASHC_27,31.6,ng/uL,0.791,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,14.40978778,1079.051757,,213,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
270826-190030,27/08/2026 07:05:29 PM,dsDNA BR,0626ASHC_28,78.8,ng/uL,1.97,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,14.93422356,1067.044599,,479,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
270826-190030,27/08/2026 07:05:29 PM,dsDNA BR,0626ASHC_29,34.5,ng/uL,0.863,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.098872,1073.438655,,229,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
270826-190030,27/08/2026 07:05:29 PM,dsDNA BR,0626ASHC_30,44,ng/uL,1.1,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,13.06210978,946.1005536,,251,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
270826-190030,27/08/2026 07:05:29 PM,dsDNA BR,0626ASHC_blank,0.188,ng/uL,0.00469,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,13.34872004,934.9963734,,14.4,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
270826-185344,27/08/2026 06:53:50 PM,dsDNA BR,0626ASHC_01,23,ng/uL,0.574,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,16.08676266,1076.684492,,161,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
270826-185344,27/08/2026 06:53:50 PM,dsDNA BR,0626ASHC_02,52.8,ng/uL,1.32,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.86113331,1135.133968,,356,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
270826-185344,27/08/2026 06:53:50 PM,dsDNA BR,0626ASHC_03,63.2,ng/uL,1.58,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,14.40978778,1079.051757,,398,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
270826-185344,27/08/2026 06:53:50 PM,dsDNA BR,0626ASHC_04,61.6,ng/uL,1.54,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,14.93422356,1067.044599,,385,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
270826-185344,27/08/2026 06:53:50 PM,dsDNA BR,0626ASHC_05,84.8,ng/uL,2.12,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.098872,1073.438655,,515,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
270826-185344,27/08/2026 06:53:50 PM,dsDNA BR,0626ASHC_06,40.8,ng/uL,1.02,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,13.06210978,946.1005536,,234,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
270826-185344,27/08/2026 06:53:50 PM,dsDNA BR,0626ASHC_07,27.9,ng/uL,0.697,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,13.48897612,976.3563939,,172,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
270826-185344,27/08/2026 06:53:50 PM,dsDNA BR,0626ASHC_08,46.4,ng/uL,1.16,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,13.34872004,934.9963734,,260,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
270826-185344,27/08/2026 06:54:45 PM,dsDNA BR,0626ASHC_09,72,ng/uL,1.8,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,16.08676266,1076.684492,,446,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
270826-185344,27/08/2026 06:54:45 PM,dsDNA BR,0626ASHC_10,20.7,ng/uL,0.517,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.86113331,1135.133968,,154,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
270826-185344,27/08/2026 06:54:45 PM,dsDNA BR,0626ASHC_11,277,ng/uL,6.92,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,14.40978778,1079.051757,,1390,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
270826-185344,27/08/2026 06:54:45 PM,dsDNA BR,0626ASHC_12,29.1,ng/uL,0.728,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,14.93422356,1067.044599,,196,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
270826-185344,27/08/2026 06:54:45 PM,dsDNA BR,0626ASHC_13,56.8,ng/uL,1.42,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.098872,1073.438655,,359,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
270826-185344,27/08/2026 06:54:45 PM,dsDNA BR,0626ASHC_14,64.4,ng/uL,1.61,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,13.06210978,946.1005536,,354,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
270826-185344,27/08/2026 06:54:45 PM,dsDNA BR,0626ASHC_15,34.8,ng/uL,0.871,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,13.48897612,976.3563939,,210,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
270826-185344,27/08/2026 06:54:45 PM,dsDNA BR,0626ASHC_16,23.8,ng/uL,0.595,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,13.34872004,934.9963734,,144,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
270826-185344,27/08/2026 06:57:28 PM,dsDNA BR,0626ASHC_17,42,ng/uL,1.05,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,16.08676266,1076.684492,,275,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
270826-185344,27/08/2026 06:57:28 PM,dsDNA BR,0626ASHC_18,65.2,ng/uL,1.63,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.86113331,1135.133968,,430,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
270826-185344,27/08/2026 06:57:28 PM,dsDNA BR,0626ASHC_19,52,ng/uL,1.3,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,14.40978778,1079.051757,,333,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
270826-185344,27/08/2026 06:57:28 PM,dsDNA BR,0626ASHC_20,115,ng/uL,2.87,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,14.93422356,1067.044599,,668,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
270826-185344,27/08/2026 06:57:28 PM,dsDNA BR,0626ASHC_21,51.6,ng/uL,1.29,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.098872,1073.438655,,329,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
270826-185344,27/08/2026 06:57:28 PM,dsDNA BR,0626ASHC_22,65.6,ng/uL,1.64,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,13.06210978,946.1005536,,361,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
