Run ID,Test Date,Assay Name,Sample Name,Original Sample Conc.,Original sample conc. units,Qubit Tube Conc.,Qubit tube conc. units,Sample Volume (uL),Dilution Factor,Extended Low Range,Core Range,Extended High Range,Excitation,Std 1 RFU,Std 2 RFU,Std 3 RFU,Sample RFU,Last Read Standards,Reagent Lot#,Plate Barcode,Well,Sample ID,Tags,Calibrated Tubes,Software Version,Selected Samples
030826-183052,3/8/2026 18:30,dsDNA BR,0526GOLD_01,44,ng/uL,1.1,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,16.29145912,1155.507775,,307,3/8/2026 16:50,,,,,,8,1.9.0,8
030826-183052,3/8/2026 18:30,dsDNA BR,0526GOLD_02,26.8,ng/uL,0.671,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,16.17001701,1181.819574,,201,3/8/2026 16:50,,,,,,8,1.9.0,8
030826-183052,3/8/2026 18:30,dsDNA BR,0526GOLD_03,44,ng/uL,1.1,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.07703802,1075.503138,,286,3/8/2026 16:50,,,,,,8,1.9.0,8
030826-183052,3/8/2026 18:30,dsDNA BR,0526GOLD_04,49.2,ng/uL,1.23,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.65996015,1139.857995,,334,3/8/2026 16:50,,,,,,8,1.9.0,8
030826-183052,3/8/2026 18:30,dsDNA BR,0526GOLD_05,40.8,ng/uL,1.02,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.81783489,1151.054635,,285,3/8/2026 16:50,,,,,,8,1.9.0,8
030826-183052,3/8/2026 18:30,dsDNA BR,0526GOLD_06,43.2,ng/uL,1.08,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,14.10550113,1011.688976,,265,3/8/2026 16:50,,,,,,8,1.9.0,8
030826-183052,3/8/2026 18:30,dsDNA BR,0526GOLD_07,27.2,ng/uL,0.679,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,14.51840431,1005.516547,,174,3/8/2026 16:50,,,,,,8,1.9.0,8
030826-183052,3/8/2026 18:30,dsDNA BR,0526GOLD_08,44,ng/uL,1.1,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,14.33624114,947.7715346,,253,3/8/2026 16:50,,,,,,8,1.9.0,8
030826-183052,3/8/2026 18:31,dsDNA BR,0526GOLD_09,42,ng/uL,1.05,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,16.29145912,1155.507775,,294,3/8/2026 16:50,,,,,,8,1.9.0,8
030826-183052,3/8/2026 18:31,dsDNA BR,0526GOLD_10,70.8,ng/uL,1.77,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,16.17001701,1181.819574,,483,3/8/2026 16:50,,,,,,8,1.9.0,8
030826-183052,3/8/2026 18:31,dsDNA BR,0526GOLD_11,23,ng/uL,0.574,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.07703802,1075.503138,,160,3/8/2026 16:50,,,,,,8,1.9.0,8
030826-183052,3/8/2026 18:31,dsDNA BR,0526GOLD_12,103,ng/uL,2.58,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.65996015,1139.857995,,651,3/8/2026 16:50,,,,,,8,1.9.0,8
030826-183052,3/8/2026 18:31,dsDNA BR,0526GOLD_13,116,ng/uL,2.89,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.81783489,1151.054635,,726,3/8/2026 16:50,,,,,,8,1.9.0,8
030826-183052,3/8/2026 18:31,dsDNA BR,0526GOLD_14,74,ng/uL,1.85,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,14.10550113,1011.688976,,431,3/8/2026 16:50,,,,,,8,1.9.0,8
030826-183052,3/8/2026 18:31,dsDNA BR,0526GOLD_15,70,ng/uL,1.75,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,14.51840431,1005.516547,,407,3/8/2026 16:50,,,,,,8,1.9.0,8
030826-183052,3/8/2026 18:31,dsDNA BR,0526GOLD_16,76.4,ng/uL,1.91,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,14.33624114,947.7715346,,416,3/8/2026 16:50,,,,,,8,1.9.0,8
030826-183052,3/8/2026 18:31,dsDNA BR,0526GOLD_17,90.8,ng/uL,2.27,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,16.29145912,1155.507775,,588,3/8/2026 16:50,,,,,,8,1.9.0,8
