Run ID,Test Date,Assay Name,Sample Name,Original Sample Conc.,Original sample conc. units,Qubit Tube Conc.,Qubit tube conc. units,Sample Volume (uL),Dilution Factor,Extended Low Range,Core Range,Extended High Range,Excitation,Std 1 RFU,Std 2 RFU,Std 3 RFU,Sample RFU,Last Read Standards,Reagent Lot#,Plate Barcode,Well,Sample ID,Tags,Calibrated Tubes,Software Version,Selected Samples
210726-192418,21/07/2026 07:24:25 PM,dsDNA BR,0825ASHC_01,70,ng/uL,1.75,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,16.98794728,1242.449693,,503,21/07/2026 06:40:18 PM,,,,,,8,1.9.0,8
210726-192418,21/07/2026 07:24:25 PM,dsDNA BR,0825ASHC_02,29.9,ng/uL,0.748,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,16.63892109,1280.652443,,240,21/07/2026 06:40:18 PM,,,,,,8,1.9.0,8
210726-192418,21/07/2026 07:24:25 PM,dsDNA BR,0825ASHC_03,46.8,ng/uL,1.17,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,14.80352473,1195.517464,,334,21/07/2026 06:40:18 PM,,,,,,8,1.9.0,8
210726-192418,21/07/2026 07:24:25 PM,dsDNA BR,0825ASHC_04,337,ng/uL,8.42,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.41732942,1221.038104,,1830,21/07/2026 06:40:18 PM,,,,,,8,1.9.0,8
210726-192418,21/07/2026 07:24:25 PM,dsDNA BR,0825ASHC_05,62,ng/uL,1.55,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,16.10936411,1268.307239,,459,21/07/2026 06:40:18 PM,,,,,,8,1.9.0,8
210726-192418,21/07/2026 07:24:25 PM,dsDNA BR,0825ASHC_06,58.4,ng/uL,1.46,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,14.20175543,1104.673129,,379,21/07/2026 06:40:18 PM,,,,,,8,1.9.0,8
210726-192418,21/07/2026 07:24:25 PM,dsDNA BR,0825ASHC_07,74.8,ng/uL,1.87,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,14.56281701,1066.307942,,458,21/07/2026 06:40:18 PM,,,,,,8,1.9.0,8
210726-192418,21/07/2026 07:24:25 PM,dsDNA BR,0825ASHC_08,71.6,ng/uL,1.79,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,14.01520695,1091.954922,,450,21/07/2026 06:40:18 PM,,,,,,8,1.9.0,8
210726-192418,21/07/2026 07:25:04 PM,dsDNA BR,0825ASHC_09,62.4,ng/uL,1.56,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,16.98794728,1242.449693,,453,21/07/2026 06:40:18 PM,,,,,,8,1.9.0,8
210726-192418,21/07/2026 07:25:04 PM,dsDNA BR,0825ASHC_10,97.6,ng/uL,2.44,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,16.63892109,1280.652443,,696,21/07/2026 06:40:18 PM,,,,,,8,1.9.0,8
210726-192418,21/07/2026 07:25:04 PM,dsDNA BR,0825ASHC_11,22.2,ng/uL,0.554,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,14.80352473,1195.517464,,170,21/07/2026 06:40:18 PM,,,,,,8,1.9.0,8
210726-192418,21/07/2026 07:25:04 PM,dsDNA BR,0825ASHC_12,167,ng/uL,4.17,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.41732942,1221.038104,,1050,21/07/2026 06:40:18 PM,,,,,,8,1.9.0,8
210726-192418,21/07/2026 07:25:04 PM,dsDNA BR,0825ASHC_13,48,ng/uL,1.2,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,16.10936411,1268.307239,,363,21/07/2026 06:40:18 PM,,,,,,8,1.9.0,8
210726-192418,21/07/2026 07:25:04 PM,dsDNA BR,0825ASHC_14,59.6,ng/uL,1.49,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,14.20175543,1104.673129,,386,21/07/2026 06:40:18 PM,,,,,,8,1.9.0,8
210726-192418,21/07/2026 07:25:04 PM,dsDNA BR,0825ASHC_15,112,ng/uL,2.8,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,14.56281701,1066.307942,,654,21/07/2026 06:40:18 PM,,,,,,8,1.9.0,8
210726-192418,21/07/2026 07:25:04 PM,dsDNA BR,0825ASHC_16,38.2,ng/uL,0.954,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,14.01520695,1091.954922,,254,21/07/2026 06:40:18 PM,,,,,,8,1.9.0,8
210726-192418,21/07/2026 07:26:14 PM,dsDNA BR,0825ASHC_17,78.8,ng/uL,1.97,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,16.98794728,1242.449693,,558,21/07/2026 06:40:18 PM,,,,,,8,1.9.0,8
210726-192418,21/07/2026 07:26:14 PM,dsDNA BR,0825ASHC_18,99.6,ng/uL,2.49,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,16.63892109,1280.652443,,708,21/07/2026 06:40:18 PM,,,,,,8,1.9.0,8
