"type","durationMinutes","startTime","endTime","startNum","endNum","eventHTemp"
"Sub-Optimal",NA,NA,"2024-07-31 14:39:00",NA,54.61811,NA
"Sub-Optimal",1320.0000000032,"2024-07-31 16:39:00","2024-08-01 14:39:00",54.61834,54.62085,26.0726868666667
"Sub-Optimal",1349.99999999903,"2024-08-01 17:09:00","2024-08-02 15:39:00",54.62114,54.6237,25.7615735
"Sub-Optimal",1259.9999999966,"2024-08-02 18:09:00","2024-08-03 15:09:00",54.62399,54.62639,26.2811142325581
"Sub-Optimal",NA,"2024-08-03 18:39:00",NA,54.62679,NA,NA
"Moderate",NA,NA,"2024-08-01 15:39:00",NA,54.62096,NA
"Moderate",NA,"2024-08-01 17:39:00",NA,54.62119,NA,NA
"Severe",NA,"2024-06-10 04:09:00",NA,54.47719,NA,NA
