"type","durationMinutes","startTime","endTime","startNum","endNum","eventHTemp"
"Sub-Optimal",29.9999999995634,"2024-06-19 17:30:00","2024-06-19 18:00:00",54.50337,54.50342,29.135314
"Sub-Optimal",150.000000001552,"2024-06-20 16:30:00","2024-06-20 19:00:00",54.50599,54.50628,29.350171
"Sub-Optimal",30.0000000032981,"2024-06-21 17:00:00","2024-06-21 17:30:00",54.50879,54.50885,29.1528715
"Sub-Optimal",120.000000005723,"2024-07-16 14:00:00","2024-07-16 16:00:00",54.57694,54.57717,29.699801
"Sub-Optimal",60.0000000028615,"2024-07-17 15:00:00","2024-07-17 16:00:00",54.57979,54.57991,30.3348123333333
"Sub-Optimal",120.000000001988,"2024-08-01 15:22:00","2024-08-01 17:22:00",54.62093,54.62116,29.4865814
"Sub-Optimal",180.000000001115,"2024-08-03 15:52:00","2024-08-03 18:52:00",54.62647,54.62681,29.6988354285714
"Moderate",60.0000000028615,"2024-07-17 15:00:00","2024-07-17 16:00:00",54.57979,54.57991,30.3348123333333
