"type","threshold","numberFound","avgDurMinutes","avgAvgDO"
"Severe",0.99,5,95.9999999993499,0.7196782072
"Moderately Severe",1.99,20,132.000000000693,1.40287680041071
"Moderate",2.99,82,153.658536585225,2.30897066988998
"Marginal",3.49,131,175.648854961813,2.73524419653888
"Sub-Optimal",4.79,204,257.647058823423,3.56181425582311
