"type","threshold","numberFound","avgDurMinutes","avgAvgLChla"
"Severe",0.99,88,2298.0465116284,0.466252301071102
"Moderately Severe",1.99,11,22475.7777777791,0.412273125714926
"Moderate",2.99,10,25364.0000000004,0.753295434323738
"Marginal",3.99,8,33888.6666666674,0.519064394524896
"Sub-Optimal",4.99,6,50930.5000000015,0.41830091743933
