"type","durationMinutes","startTime","endTime","startNum","endNum","eventLChla"
"Severe",NA,NA,"2024-06-10 23:09:00",NA,54.47936,NA
"Severe",1350.00000000276,"2024-06-11 01:09:00","2024-06-11 23:39:00",54.47958,54.48215,0.262157355347826
"Severe",8009.99999999921,"2024-06-12 02:39:00","2024-06-17 16:09:00",54.48249,54.49773,0.331776648682836
"Severe",1469.99999999728,"2024-06-17 19:09:00","2024-06-18 19:39:00",54.49808,54.50087,0.62621029942
"Severe",1439.99999999772,"2024-06-18 21:39:00","2024-06-19 21:39:00",54.5011,54.50384,0.423908756408163
"Severe",1230.00000000451,"2024-06-19 23:39:00","2024-06-20 20:09:00",54.50407,54.50641,0.477372645595238
"Severe",330.000000002667,"2024-06-20 23:39:00","2024-06-21 05:09:00",54.50681,54.50744,0.515233641666667
"Severe",450.000000000921,"2024-06-21 11:09:00","2024-06-21 18:39:00",54.50812,54.50898,0.4797442003125
"Severe",240.000000000242,"2024-06-22 01:39:00","2024-06-22 05:39:00",54.50978,54.51023,0.707278852222222
"Severe",330.000000002667,"2024-06-22 14:39:00","2024-06-22 20:09:00",54.51126,54.51189,0.639135994166667
"Severe",360.000000002231,"2024-06-23 02:09:00","2024-06-23 08:09:00",54.51257,54.51326,0.809391534615385
"Severe",270.00000000354,"2024-06-23 15:39:00","2024-06-23 20:09:00",54.51412,54.51463,0.696103533
"Severe",389.999999998059,"2024-06-24 03:39:00","2024-06-24 10:09:00",54.51549,54.51623,0.609349866428571
"Severe",390.000000001794,"2024-06-24 15:09:00","2024-06-24 21:39:00",54.5168,54.51754,0.617389840714286
"Severe",1199.99999999748,"2024-06-25 02:39:00","2024-06-25 22:39:00",54.51811,54.52039,0.428743726
"Severe",480.000000004219,"2024-06-26 03:09:00","2024-06-26 11:09:00",54.52091,54.52182,0.582589995882353
"Severe",510.000000003782,"2024-06-26 15:09:00","2024-06-26 23:39:00",54.52228,54.52325,0.966929005
"Severe",1169.99999999791,"2024-06-27 04:09:00","2024-06-27 23:39:00",54.52376,54.52599,0.3349446791
"Severe",539.999999999611,"2024-06-28 05:09:00","2024-06-28 14:09:00",54.52662,54.52764,0.396327815842105
"Severe",1349.99999999903,"2024-06-28 17:39:00","2024-06-29 16:09:00",54.52804,54.53061,0.422895972326087
"Severe",18329.9999999947,"2024-06-29 18:39:00","2024-07-12 12:09:00",54.5309,54.56577,0.123084046944354
"Severe",509.999999996313,"2024-07-12 15:39:00","2024-07-13 00:09:00",54.56617,54.56714,0.368081566777778
"Severe",1169.99999999791,"2024-07-13 06:09:00","2024-07-14 01:39:00",54.56783,54.57005,0.426279663525
"Severe",659.999999997865,"2024-07-14 05:39:00","2024-07-14 16:39:00",54.57051,54.57176,0.431726864304348
"Severe",479.99999999675,"2024-07-14 18:39:00","2024-07-15 02:39:00",54.57199,54.57291,0.396578257647059
"Severe",600.000000002473,"2024-07-15 06:09:00","2024-07-15 16:09:00",54.5733,54.57445,0.344912640047619
"Severe",1230.00000000077,"2024-07-15 19:39:00","2024-07-16 16:09:00",54.57485,54.57719,0.345759629285714
"Severe",1170.00000000165,"2024-07-16 20:39:00","2024-07-17 16:09:00",54.5777,54.57993,0.339308546125
"Severe",1260.00000000034,"2024-07-17 22:09:00","2024-07-18 19:09:00",54.58061,54.58301,0.35242179055814
"Severe",55563.0000000041,"2024-07-18 23:39:00","2024-08-26 13:42:00",54.58352,54.68924,0.0329711815116028
"Severe",4320.00000000062,"2024-08-26 16:12:00","2024-08-29 16:12:00",54.68952,54.69774,0.0818146727241379
"Severe",1379.99999999859,"2024-08-29 18:12:00","2024-08-30 17:12:00",54.69797,54.70059,0.242317135446809
"Severe",75209.9999999998,"2024-08-30 19:12:00","2024-10-22 00:42:00",54.70082,54.84392,0.0182551499988043
"Severe",510.000000003782,"2024-10-22 02:42:00","2024-10-22 11:12:00",54.84414,54.84511,0.193716769611111
"Severe",539.999999999611,"2024-10-22 14:42:00","2024-10-22 23:42:00",54.84551,54.84654,0.204725712894737
"Severe",4289.99999999733,"2024-10-23 01:42:00","2024-10-26 01:12:00",54.84677,54.85493,0.551908869381945
"Severe",779.999999996119,"2024-10-26 03:12:00","2024-10-26 16:12:00",54.85516,54.85664,0.211448972925926
"Severe",2189.99999999801,"2024-10-26 18:12:00","2024-10-28 06:42:00",54.85687,54.86104,0.389671875324324
"Severe",2220.00000000131,"2024-10-28 08:42:00","2024-10-29 21:42:00",54.86127,54.86549,0.295237085866667
"Severe",13740.0000000017,"2024-10-29 23:42:00","2024-11-08 12:42:00",54.86572,54.89186,0.252928518490196
"Severe",7205.00000000346,"2024-11-08 14:42:00","2024-11-13 14:47:00",54.89209,54.9058,1.22678295052675
"Severe",NA,"2024-11-13 17:47:00",NA,54.90614,NA,NA
"Moderately Severe",NA,NA,"2024-06-21 20:39:00",NA,54.50921,NA
"Moderately Severe",660.0000000016,"2024-06-21 22:39:00","2024-06-22 09:39:00",54.50943,54.51069,1.09834885304348
"Moderately Severe",480.000000004219,"2024-06-22 12:09:00","2024-06-22 20:09:00",54.51098,54.51189,0.785863238823529
"Moderately Severe",599.999999998738,"2024-06-22 22:39:00","2024-06-23 08:39:00",54.51217,54.51332,1.03343268809524
"Moderately Severe",390.000000005529,"2024-06-23 13:39:00","2024-06-23 20:09:00",54.51389,54.51463,0.915392280714286
"Moderately Severe",178562.999999999,"2024-06-24 01:09:00","2024-10-26 01:12:00",54.5152,54.85493,0.11458123940719
"Moderately Severe",26614.9999999974,"2024-10-26 03:12:00","2024-11-13 14:47:00",54.85516,54.9058,0.5426823842
"Moderately Severe",NA,"2024-11-13 17:47:00",NA,54.90614,NA,NA
"Moderate",NA,NA,"2024-10-26 01:12:00",NA,54.85493,NA
"Moderate",26614.9999999974,"2024-10-26 03:12:00","2024-11-13 14:47:00",54.85516,54.9058,0.5426823842
"Moderate",NA,"2024-11-13 17:47:00",NA,54.90614,NA,NA
"Marginal",NA,NA,"2024-10-26 01:42:00",NA,54.85499,NA
"Marginal",26585.0000000015,"2024-10-26 03:42:00","2024-11-13 14:47:00",54.85522,54.9058,0.54318068752306
"Marginal",NA,"2024-11-13 17:47:00",NA,54.90614,NA,NA
"Sub-Optimal",NA,NA,"2024-11-13 14:47:00",NA,54.9058,NA
"Sub-Optimal",NA,"2024-11-13 17:47:00",NA,54.90614,NA,NA
