"type","durationMinutes","startTime","endTime","startNum","endNum","eventpH"
"Severe",89.9999999986903,"2024-06-15 00:09:00","2024-06-15 01:39:00",54.49043,54.4906,6.933648625
"Severe",179.999999997381,"2024-07-18 01:39:00","2024-07-18 04:39:00",54.58101,54.58135,6.92056945714286
"Moderately Severe",119.999999998254,"2024-06-14 23:39:00","2024-06-15 01:39:00",54.49037,54.4906,6.9545504
"Moderately Severe",150.000000001552,"2024-06-22 04:39:00","2024-06-22 07:09:00",54.51012,54.51041,7.02193366666667
"Moderately Severe",89.9999999986903,"2024-07-01 01:09:00","2024-07-01 02:39:00",54.53438,54.53455,7.064571175
"Moderately Severe",59.9999999991269,"2024-07-13 23:09:00","2024-07-14 00:09:00",54.56977,54.56988,7.05261803333333
"Moderately Severe",179.999999997381,"2024-07-18 01:39:00","2024-07-18 04:39:00",54.58101,54.58135,6.92056945714286
"Moderately Severe",90.0000000024249,"2024-07-23 07:09:00","2024-07-23 08:39:00",54.59534,54.59551,7.071306325
"Moderately Severe",119.999999998254,"2024-08-07 06:39:00","2024-08-07 08:39:00",54.63638,54.6366,7.01860496
"Moderately Severe",119.999999998254,"2024-08-18 16:09:00","2024-08-18 18:09:00",54.6676,54.66783,7.07448958
"Moderately Severe",120.000000001988,"2024-08-19 04:39:00","2024-08-19 06:39:00",54.66902,54.66925,7.07457862
"Moderate",149.999999994083,"2024-06-14 23:09:00","2024-06-15 01:39:00",54.49031,54.4906,6.99220478333333
"Moderate",90.0000000024249,"2024-06-19 03:39:00","2024-06-19 05:09:00",54.50179,54.50196,7.1302321
"Moderate",89.9999999986903,"2024-06-20 04:39:00","2024-06-20 06:09:00",54.50464,54.50481,7.1106609
"Moderate",180.000000001115,"2024-06-21 04:09:00","2024-06-21 07:09:00",54.50732,54.50767,7.13979195714286
"Moderate",209.999999996944,"2024-06-22 04:09:00","2024-06-22 07:39:00",54.51006,54.51046,7.0601605625
"Moderate",120.000000005723,"2024-06-23 06:09:00","2024-06-23 08:09:00",54.51303,54.51326,7.15983752
"Moderate",150.000000001552,"2024-07-01 00:09:00","2024-07-01 02:39:00",54.53426,54.53455,7.07919083333333
"Moderate",60.0000000028615,"2024-07-03 04:09:00","2024-07-03 05:09:00",54.5402,54.54031,7.1752158
"Moderate",90.0000000024249,"2024-07-06 06:09:00","2024-07-06 07:39:00",54.54865,54.54882,7.158885275
"Moderate",89.9999999986903,"2024-07-07 06:39:00","2024-07-07 08:09:00",54.55144,54.55162,7.113687575
