"type","durationMinutes","startTime","endTime","startNum","endNum","eventLChla"
"Severe",NA,NA,"2024-06-12 10:00:00",NA,54.48333,NA
"Severe",2280.00000000043,"2024-06-12 12:00:00","2024-06-14 02:00:00",54.48356,54.4879,0.155022870883117
"Severe",12389.9999999952,"2024-06-14 04:00:00","2024-06-22 18:30:00",54.48813,54.5117,0.138333639910628
"Severe",59.9999999953923,"2024-06-22 20:30:00","2024-06-22 21:30:00",54.51193,54.51204,0.47386461
"Severe",1110.00000000626,"2024-06-23 02:00:00","2024-06-23 20:30:00",54.51256,54.51467,0.108269417763158
"Severe",630.000000002036,"2024-06-24 01:30:00","2024-06-24 12:00:00",54.51524,54.51644,0.5449606205
"Severe",7199.9999999998,"2024-06-24 15:00:00","2024-06-29 15:00:00",54.51678,54.53048,0.261296220659751
"Severe",5730.00000000251,"2024-06-29 20:00:00","2024-07-03 19:30:00",54.53105,54.54195,0.216691042
"Severe",149.999999997817,"2024-07-03 23:30:00","2024-07-04 02:00:00",54.54241,54.54269,0.587748801166667
"Severe",930.000000001405,"2024-07-04 04:00:00","2024-07-04 19:30:00",54.54292,54.54469,0.2935425685625
"Severe",8639.99999999751,"2024-07-05","2024-07-11",54.54521,54.56164,1.82290148741869
"Severe",3390.00000000295,"2024-07-11 02:00:00","2024-07-13 10:30:00",54.56187,54.56832,0.25827105
"Severe",3000.00000000489,"2024-07-13 14:00:00","2024-07-15 16:00:00",54.56872,54.57443,0.194432328257426
"Severe",1320.0000000032,"2024-07-15 18:00:00","2024-07-16 16:00:00",54.57466,54.57717,0.209540317288889
"Severe",1140.00000000208,"2024-07-16 21:00:00","2024-07-17 16:00:00",54.57774,54.57991,0.177121725025641
"Severe",2699.99999999806,"2024-07-17 22:00:00","2024-07-19 19:00:00",54.58059,54.58573,0.213831205846154
"Severe",1170.00000000165,"2024-07-19 23:30:00","2024-07-20 19:00:00",54.58624,54.58847,0.1421673906
"Severe",600.000000002473,"2024-07-21 00:30:00","2024-07-21 10:30:00",54.5891,54.59024,0.121825669285714
