"type","threshold","numberFound","avgDurMinutes","avgAvgHTemp"
"Sub-Optimal",28.99,4,89.999999999624,29.4706488333333
"Moderate",29.99,1,29.9999999995634,30.17875
"Severe",30.99,0,NA,NA
