"type","threshold","numberFound","avgDurMinutes","avgAvgDO"
"Severe",0.99,3,60.0000000003718,0.981558314444444
"Moderately Severe",1.99,28,86.7857142867188,1.55873550347024
"Moderate",2.99,69,129.565217391367,2.25095670713678
"Marginal",3.49,97,149.690721649809,2.60810076713091
"Sub-Optimal",4.79,182,247.417582417819,3.64899154806427
