"type","threshold","numberFound","avgDurMinutes","avgAvgHChla"
"Severe",10,2,150.000000003419,21.1518849412143
"Moderately Severe",15,1,120.000000005723,40.0381929394
"Moderate",20,1,120.000000005723,40.0381929394
"Marginal",25,1,120.000000005723,40.0381929394
"Sub-Optimal",30,1,120.000000005723,40.0381929394
