"type","durationMinutes","startTime","endTime","startNum","endNum","eventHChla"
"Severe",180.000000001115,"2024-11-12 13:12:00","2024-11-12 16:12:00",54.90288,54.90322,30.2736337824286
"Severe",120.000000005723,"2024-11-13 15:17:00","2024-11-13 17:17:00",54.90585,54.90608,12.0301361
"Moderately Severe",120.000000005723,"2024-11-12 13:12:00","2024-11-12 15:12:00",54.90288,54.90311,40.0381929394
"Moderate",120.000000005723,"2024-11-12 13:12:00","2024-11-12 15:12:00",54.90288,54.90311,40.0381929394
"Marginal",120.000000005723,"2024-11-12 13:12:00","2024-11-12 15:12:00",54.90288,54.90311,40.0381929394
"Sub-Optimal",120.000000005723,"2024-11-12 13:12:00","2024-11-12 15:12:00",54.90288,54.90311,40.0381929394
