"type","threshold","numberFound","avgDurMinutes","avgAvgHTemp"
"Sub-Optimal",28.99,8,10628.6666666666,23.6587362383979
"Marginal",29.99,2,NA,NA
"Moderate",30.99,1,NA,NA
"Moderately Severe",31.99,1,NA,NA
"Severe",32.99,1,NA,NA
