Sample_ID,Date_collected,Site,Lab_sample,Date_read1,P. marinus1,Haplosporidium1,Nematopsis1,General_ciliates1,Notes1,Reader_1,Duplicate_read,Date_read2,P. marinus2,Haplosporidium2,Nematopsis2,General_ciliates2,Notes2,Reader_2,,,,,,,,,,,,,
0924ASHC_01,9/23/2024,ASHC,1,05-19-2026,2,0,TRUE,FALSE,,MLK,,,,,,,,,,,,,,,,,,,,,
0924ASHC_02,9/23/2024,ASHC,2,05-19-2026,0,0,TRUE,TRUE,spheno ,SND,,,,,,,,,,,,,,,,,,,,,
0924ASHC_03,9/23/2024,ASHC,3,05-19-2026,1,0,TRUE,FALSE,,KJL,,,,,,,,,,,,,,,,,,,,,
0924ASHC_04,9/23/2024,ASHC,4,05-19-2026,0,0,TRUE,FALSE,,MLK,,,,,,,,,,,,,,,,,,,,,
0924ASHC_05,9/23/2024,ASHC,5,05-19-2026,0.5,0,FALSE,FALSE,,SND,,,,,,,,,,,,,,,,,,,,,
0924ASHC_06,9/23/2024,ASHC,6,05-19-2026,0.5,0,FALSE,FALSE,,MLK,,,,,,,,,,,,,,,,,,,,,
0924ASHC_07,9/23/2024,ASHC,7,05-19-2026,0.5,0,TRUE,FALSE,prokaryotic inclusion ,KJL,,,,,,,,,,,,,,,,,,,,,
0924ASHC_08,9/23/2024,ASHC,8,05-19-2026,5,0,TRUE,FALSE,,SND,,,,,,,,,,,,,,,,,,,,,
0924ASHC_09,9/23/2024,ASHC,9,07-22-2026,0,0,TRUE,FALSE,,KJL,,,,,,,,,,,,,,,,,,,,,
0924ASHC_10,9/23/2024,ASHC,10,07-22-2026,0.5,0,TRUE,FALSE,no gill tissue ,MLK,,,,,,,,,,,,,,,,,,,,,
0924ASHC_11,9/23/2024,ASHC,11,07-22-2026,3,0,TRUE,TRUE,spheno ,SND,,,,,,,,,,,,,,,,,,,,,
0924ASHC_12,9/23/2024,ASHC,12,07-22-2026,3,0,TRUE,FALSE,,LMB,TRUE,07-22-2026,3,0,TRUE,FALSE,,SND,,,,,,,,,,,,,
0924ASHC_13,9/23/2024,ASHC,13,07-22-2026,3,0,TRUE,TRUE,spheno ,LMB,,,,,,,,,,,,,,,,,,,,,
0924ASHC_14,9/23/2024,ASHC,14,07-22-2026,3,0,FALSE,TRUE,spheno,MLK,,,,,,,,,,,,,,,,,,,,,
0924ASHC_15,9/23/2024,ASHC,15,07-22-2026,0.5,0,TRUE,TRUE,spheno,KJL,,,,,,,,,,,,,,,,,,,,,
0924ASHC_16,9/23/2024,ASHC,16,07-22-2026,0.5,0,TRUE,FALSE,,LMB,,,,,,,,,,,,,,,,,,,,,
0924ASHC_17,9/23/2024,ASHC,17,07-22-2026,3,0,TRUE,TRUE,spheno ,SND,,,,,,,,,,,,,,,,,,,,,
0924ASHC_18,9/23/2024,ASHC,18,07-22-2026,0.5,0,TRUE,FALSE,,MLK,,,,,,,,,,,,,,,,,,,,,
0924ASHC_19,9/23/2024,ASHC,19,07-22-2026,3,0,TRUE,FALSE,,LMB,,,,,,,,,,,,,,,,,,,,,
0924ASHC_20,9/23/2024,ASHC,20,07-22-2026,3,0,TRUE,FALSE,potential eukaryotic organism in gut epithelium ,KJL,,,,,,,,,,,,,,,,,,,,,
0924ASHC_21,9/23/2024,ASHC,21,07-22-2026,0.5,0,FALSE,FALSE,,MLK,,,,,,,,,,,,,,,,,,,,,
0924ASHC_22,9/23/2024,ASHC,22,07-22-2026,3,0,TRUE,FALSE,,LMB,,,,,,,,,,,,,,,,,,,,,
0924ASHC_23,9/23/2024,ASHC,23,07-22-2026,2,0,TRUE,FALSE,spheno ,SND,,,,,,,,,,,,,,,,,,,,,
0924ASHC_24,9/23/2024,ASHC,24,07-22-2026,0.5,0,FALSE,FALSE,,MLK,,,,,,,,,,,,,,,,,,,,,
0924ASHC_25,9/23/2024,ASHC,25,07-22-2026,3,0,TRUE,FALSE,,KJL,,,,,,,,,,,,,,,,,,,,,
0924ASHC_26,9/23/2024,ASHC,26,07-22-2026,0.5,0,TRUE,FALSE,,LMB,,,,,,,,,,,,,,,,,,,,,
0924ASHC_27,9/23/2024,ASHC,27,07-22-2026,3,0,TRUE,FALSE,,SND,,,,,,,,,,,,,,,,,,,,,
0924ASHC_28,9/23/2024,ASHC,28,07-22-2026,3,0,TRUE,FALSE,,LMB,,,,,,,,,,,,,,,,,,,,,
0924ASHC_29,9/23/2024,ASHC,29,07-22-2026,3,0,TRUE,TRUE,"speno,  prokaryotic inclusion ",SND,,,,,,,,,,,,,,,,,,,,,
0924ASHC_30,9/23/2024,ASHC,30,07-22-2026,0.5,0,FALSE,FALSE,,MLK,,,,,,,,,,,,,,,,,,,,,
