Sample_ID,Date_collected,Site,Lab_sample,Date_read1,P. marinus1,Haplosporidium1,Nematopsis1,General_ciliates1,Notes1,Reader_1,Duplicate_read,Date_read2,P. marinus2,Haplosporidium2,Nematopsis2,General_ciliates2,Notes2,Reader_2
0825FENC_01,8/14/2025,FENC,1,08-12-2026,0.5,0,TRUE,TRUE,spheno,KJL,,,,,,,,
0825FENC_02,8/14/2025,FENC,2,08-12-2026,3,0,TRUE,TRUE,spheno ,SND,,,,,,,,
0825FENC_03,8/14/2025,FENC,3,08-12-2026,1,0,TRUE,FALSE,,LMB,,,,,,,,
0825FENC_04,8/14/2025,FENC,4,08-12-2026,0,0,FALSE,FALSE,,MLK,,,,,,,,
0825FENC_05,8/14/2025,FENC,5,08-12-2026,0.5,0,TRUE,TRUE,spheno ,LMB,,,,,,,,
0825FENC_06,8/14/2025,FENC,6,08-12-2026,3,0,TRUE,TRUE,spheno ,KJL,,,,,,,,
0825FENC_07,8/14/2025,FENC,7,08-12-2026,0.5,0,TRUE,FALSE,,MLK,,,,,,,,
0825FENC_08,8/14/2025,FENC,8,08-12-2026,1,0,TRUE,FALSE,,LMB,,,,,,,,
0825FENC_09,8/14/2025,FENC,9,08-12-2026,3,1,TRUE,TRUE,spheno ,SND,,,,,,,,
0825FENC_10,8/14/2025,FENC,10,08-12-2026,0.5,0,TRUE,TRUE,spheno ,KJL,,,,,,,,
0825FENC_11,8/14/2025,FENC,11,08-12-2026,1,0,FALSE,TRUE,spheno,MLK,,,,,,,,
0825FENC_12,8/14/2025,FENC,12,08-12-2026,3,0,TRUE,TRUE,spheno Bucephalus ,SND,,,,,,,,
0825FENC_13,8/14/2025,FENC,13,08-12-2026,0,2,TRUE,FALSE,,LMB,,,,,,,,
0825FENC_14,8/14/2025,FENC,14,08-12-2026,2,0,TRUE,FALSE,Bucephalus ,MLK,,,,,,,,
0825FENC_15,8/14/2025,FENC,15,08-12-2026,4,0,TRUE,TRUE,Bucephalus ,KJL,,,,,,,,
0825FENC_16,8/14/2025,FENC,16,08-12-2026,0,0,TRUE,FALSE,,LMB,,,,,,,,
0825FENC_17,8/14/2025,FENC,17,08-12-2026,0,0,TRUE,FALSE,,LMB,,,,,,,,
0825FENC_18,8/14/2025,FENC,18,08-12-2026,0.5,0,TRUE,FALSE,,KJL,,,,,,,,
0825FENC_19,8/14/2025,FENC,19,08-12-2026,0.5,0,TRUE,TRUE,spheno ,SND,,,,,,,,
0825FENC_20,8/14/2025,FENC,20,08-12-2026,1,1,TRUE,FALSE,,MLK,,,,,,,,
0825FENC_21,8/14/2025,FENC,21,08-12-2026,0,0,TRUE,FALSE,,LMB,,,,,,,,
0825FENC_22,8/14/2025,FENC,22,08-12-2026,3,0,TRUE,TRUE,spheno ,SND,,,,,,,,
0825FENC_23,8/14/2025,FENC,23,08-12-2026,3,0,TRUE,FALSE,prokaryotic inclusion; VGH,KJL,,,,,,,,
0825FENC_24,8/14/2025,FENC,24,08-12-2026,0.5,1,TRUE,FALSE,,MLK,,,,,,,,
0825FENC_25,8/14/2025,FENC,25,08-12-2026,3,0,TRUE,TRUE,spheno ,LMB,,,,,,,,
0825FENC_26,8/14/2025,FENC,26,08-25-2026,0.5,0,TRUE,FALSE,,KJL,,,,,,,,
0825FENC_27,8/14/2025,FENC,27,08-25-2026,1,0,TRUE,TRUE,spheno,MLK,,,,,,,,
0825FENC_28,8/14/2025,FENC,28,08-25-2026,0.5,0,TRUE,FALSE,,SND,,,,,,,,
0825FENC_29,8/14/2025,FENC,29,08-25-2026,1,0,TRUE,TRUE,spheno,MLK,,,,,,,,
0825FENC_30,8/14/2025,FENC,30,08-25-2026,4,0,TRUE,FALSE,,SND,,,,,,,,
