Sample_ID,Date_collected,Site,Lab_sample,Date_read,P. marinus1,Haplosporidium1,Nematopsis1,General ciliates1,Notes,Reader_1,Duplicate_read,Date_read2,P. marinus2,Haplosporidium2,Nematopsis2,General_ciliates2,Notes2,Reader_2
0724ASHC_01,7/12/2023,ASHC,1,1/28/2026,0,0,TRUE,FALSE,,LMB,,,,,,,,
0724ASHC_02,7/12/2023,ASHC,2,1/28/2026,3,0,TRUE,FALSE,,KJL,,,,,,,,
0724ASHC_03,7/12/2023,ASHC,3,1/28/2026,3,0,TRUE,TRUE,Spheno,SND,,,,,,,,
0724ASHC_04,7/12/2023,ASHC,4,1/28/2026,3,0,TRUE,FALSE,,LMB,,,,,,,,
0724ASHC_05,7/12/2023,ASHC,5,1/28/2026,3,0,FALSE,TRUE,"Spheno, prokaryotic inclusion",LMB,,,,,,,,
0724ASHC_06,7/12/2023,ASHC,6,1/28/2026,3,0,TRUE,FALSE,,MLK,,,,,,,,
0724ASHC_07,7/12/2023,ASHC,7,1/28/2026,0.5,0,TRUE,FALSE,Prokaryotic inclusion,KJL,,,,,,,,
0724ASHC_08,7/12/2023,ASHC,8,1/28/2026,3,0,TRUE,TRUE,"Spheno, prokaryotic inclusion",LMB,,,,,,,,
0724ASHC_09,7/12/2023,ASHC,9,1/28/2026,1,0,TRUE,FALSE,,LMB,,,,,,,,
0724ASHC_10,7/12/2023,ASHC,10,1/28/2026,3,0,TRUE,TRUE,Spheno,LMB,,,,,,,,
0724ASHC_11,7/12/2023,ASHC,11,1/28/2026,2,0,TRUE,FALSE,,KJL,,,,,,,,
0724ASHC_12,7/12/2023,ASHC,12,1/28/2026,0.5,0,TRUE,TRUE,Spheno,SND,,,,,,,,
0724ASHC_13,7/12/2023,ASHC,13,1/28/2026,0.5,0,TRUE,FALSE,,MLK,,,,,,,,
0724ASHC_14,7/12/2023,ASHC,14,1/28/2026,0.5,0,TRUE,TRUE,Spheno,LMB,,,,,,,,
0724ASHC_15,7/12/2023,ASHC,15,1/28/2026,0,0,TRUE,FALSE,,MLK,,,,,,,,
0724ASHC_16,7/12/2023,ASHC,16,1/28/2026,0.5,0,TRUE,FALSE,Prokaryotic inclusion,SND,,,,,,,,
0724ASHC_17,7/12/2023,ASHC,17,1/28/2026,0,0,TRUE,FALSE,,KJL,,,,,,,,
0724ASHC_18,7/12/2023,ASHC,18,2/2/2026,1,0,TRUE,TRUE,Spheno,KJL,,,,,,,,
0724ASHC_19,7/12/2023,ASHC,19,2/2/2026,0.5,0,TRUE,FALSE,,SND,,,,,,,,
0724ASHC_20,7/12/2023,ASHC,20,2/2/2026,0,0,TRUE,TRUE,Spheno,MLK,,,,,,,,
0724ASHC_21,7/12/2023,ASHC,21,2/2/2026,1,0,FALSE,FALSE,,MLK,,,,,,,,
0724ASHC_22,7/12/2023,ASHC,22,2/2/2026,0,0,TRUE,FALSE,,KJL,,,,,,,,
0724ASHC_23,7/12/2023,ASHC,23,2/2/2026,3,0,TRUE,FALSE,,SND,,,,,,,,
0724ASHC_24,7/12/2023,ASHC,24,2/2/2026,0,0,TRUE,FALSE,,MLK,,,,,,,,
0724ASHC_25,7/12/2023,ASHC,25,2/2/2026,1,0,TRUE,FALSE,,MLK,,,,,,,,
0724ASHC_26,7/12/2023,ASHC,26,2/2/2026,3,0,TRUE,TRUE,Spheno,SND,,,,,,,,
0724ASHC_27,7/12/2023,ASHC,27,2/2/2026,0,0,TRUE,TRUE,Spheno,KJL,,,,,,,,
0724ASHC_28,7/12/2023,ASHC,28,2/2/2026,0,0,TRUE,FALSE,,KJL,,,,,,,,
0724ASHC_29,7/12/2023,ASHC,29,2/2/2026,3,0,TRUE,TRUE,Spheno,SND,,,,,,,,
0724ASHC_30,7/12/2023,ASHC,30,2/2/2026,0,0,TRUE,FALSE,,MLK,,,,,,,,
