Sample_ID,Date_collected,Site,Lab_sample,Date_read1,P. marinus1,Haplosporidium1,Nematopsis1,General_ciliates1,Notes1,Reader_1,Duplicate_read,Date_read2,P. marinus2,Haplosporidium2,Nematopsis2,General_ciliates2,Notes2,Reader_2,,,,,,,,,,,,,
0924FENC_01,9/25/2024,FENC,1,04-28-2026,0,0,TRUE,TRUE,unknown organism - Non viral and not a prokaryotic inclusion ,SND,,,,,,,,,,,,,,,,,,,,,
0924FENC_02,9/25/2024,FENC,2,04-28-2026,3,0,TRUE,FALSE,,KJL,,,,,,,,,,,,,,,,,,,,,
0924FENC_03,9/25/2024,FENC,3,04-28-2026,1,0,TRUE,FALSE,,LMB,,,,,,,,,,,,,,,,,,,,,
0924FENC_04,9/25/2024,FENC,4,04-28-2026,1,0,TRUE,FALSE,,MLK,,,,,,,,,,,,,,,,,,,,,
0924FENC_05,9/25/2024,FENC,5,04-28-2026,0.5,0,TRUE,FALSE,,LMB,,,,,,,,,,,,,,,,,,,,,
0924FENC_06,9/25/2024,FENC,6,04-28-2026,0.5,0,TRUE,FALSE,,LMB,,,,,,,,,,,,,,,,,,,,,
0924FENC_07,9/25/2024,FENC,7,04-28-2026,1,0,TRUE,TRUE,"spheno, stego ",LMB,,,,,,,,,,,,,,,,,,,,,
0924FENC_08,9/25/2024,FENC,8,04-28-2026,1,0,TRUE,FALSE,,LMB,,,,,,,,,,,,,,,,,,,,,
0924FENC_09,9/25/2024,FENC,9,04-28-2026,3,0,TRUE,FALSE,Turbellarian worm,LMB,,,,,,,,,,,,,,,,,,,,,
0924FENC_10,9/25/2024,FENC,10,04-28-2026,0,1,TRUE,FALSE,,KJL,,,,,,,,,,,,,,,,,,,,,
0924FENC_11,9/25/2024,FENC,11,04-28-2026,2,0,TRUE,FALSE,,MLK,,,,,,,,,,,,,,,,,,,,,
0924FENC_12,9/25/2024,FENC,12,04-28-2026,2,0,TRUE,FALSE,,SND,,,,,,,,,,,,,,,,,,,,,
0924FENC_13,9/25/2024,FENC,13,04-28-2026,0.5,0,TRUE,FALSE,,LMB,,,,,,,,,,,,,,,,,,,,,
0924FENC_14,9/25/2024,FENC,14,04-28-2026,3,0,TRUE,FALSE,,KJL,,,,,,,,,,,,,,,,,,,,,
0924FENC_15,9/25/2024,FENC,15,04-28-2026,0,0,TRUE,FALSE,,MLK,,,,,,,,,,,,,,,,,,,,,
0924FENC_16,9/25/2024,FENC,16,04-28-2026,0,2,TRUE,TRUE,"stego, nematode worm",LMB,,,,,,,,,,,,,,,,,,,,,
0924FENC_17,9/25/2024,FENC,17,04-28-2026,2,0,TRUE,FALSE,,KJL,,,,,,,,,,,,,,,,,,,,,
0924FENC_18,9/25/2024,FENC,18,04-28-2026,3,0,TRUE,FALSE,,SND,,,,,,,,,,,,,,,,,,,,,
0924FENC_19,9/25/2024,FENC,19,04-28-2026,0.5,0,TRUE,FALSE,,MLK,,,,,,,,,,,,,,,,,,,,,
0924FENC_20,9/25/2024,FENC,20,04-28-2026,1,0,TRUE,FALSE,,LMB,,,,,,,,,,,,,,,,,,,,,
0924FENC_21,9/25/2024,FENC,21,04-28-2026,3,0,TRUE,FALSE,,LMB,,,,,,,,,,,,,,,,,,,,,
0924FENC_22,9/25/2024,FENC,22,04-28-2026,2,0,TRUE,FALSE,,SND,,,,,,,,,,,,,,,,,,,,,
0924FENC_23,9/25/2024,FENC,23,04-28-2026,0,0,TRUE,FALSE,,KJL,,,,,,,,,,,,,,,,,,,,,
0924FENC_24,9/25/2024,FENC,24,04-28-2026,0,0,TRUE,FALSE,Part of the oyster is missing cross section including gut epithelium ,MLK,,,,,,,,,,,,,,,,,,,,,
0924FENC_25,9/25/2024,FENC,25,04-28-2029,0.5,0,TRUE,TRUE,stego ,LMB,,,,,,,,,,,,,,,,,,,,,
0924FENC_26,9/25/2024,FENC,26,04-28-2029,2,0,TRUE,FALSE,,KJL,,,,,,,,,,,,,,,,,,,,,
0924FENC_27,9/25/2024,FENC,27,04-28-2029,1,0,TRUE,FALSE,,MLK,,,,,,,,,,,,,,,,,,,,,
0924FENC_28,9/25/2024,FENC,28,04-28-2026,3,0,TRUE,TRUE,spheno,SND,,,,,,,,,,,,,,,,,,,,,
0924FENC_29,9/25/2024,FENC,29,04-28-2029,3,0,TRUE,FALSE,turbellarian worm,LMB,,,,,,,,,,,,,,,,,,,,,
0924FENC_30,9/25/2024,FENC,30,04-28-2029,0,0,TRUE,FALSE,,MLK,,,,,,,,,,,,,,,,,,,,,
