Sample_ID,Date_collected,Site,Lab_sample,Date_read1,P. marinus1,Haplosporidium1,Nematopsis1,General_ciliates1,Notes1,Reader_1,Duplicate_read,Date_read2,P. marinus2,Haplosporidium2,Nematopsis2,General_ciliates2,Notes2,Reader_2,,,,,,,,,,,,,
0925GOLD_01,9/23/2025,GOLD,1,02-11-2026,0.5,0,FALSE,FALSE,,MLK,,,,,,,,,,,,,,,,,,,,,
0925GOLD_02,9/23/2025,GOLD,2,02-11-2026,1,0,TRUE,FALSE,msx 3 cells ? ,SND,,,,,,,,,,,,,,,,,,,,,
0925GOLD_03,9/23/2025,GOLD,3,02-11-2026,0,0,FALSE,TRUE,spheno,KJL,,,,,,,,,,,,,,,,,,,,,
0925GOLD_04,9/23/2025,GOLD,4,02-11-2026,0.5,0,FALSE,FALSE,,KJL,,,,,,,,,,,,,,,,,,,,,
0925GOLD_05,9/23/2025,GOLD,5,02-11-2026,1,1,FALSE,FALSE,high hemocytosis,MLK,,,,,,,,,,,,,,,,,,,,,
0925GOLD_06,9/23/2025,GOLD,6,02-11-2026,,0,TRUE,TRUE,"spheno,prokaryotic inclusion (epithelial of Intestine ) ",SND,,,,,,,,,,,,,,,,,,,,,
0925GOLD_07,9/23/2025,GOLD,7,02-11-2026,3,1,FALSE,FALSE,some perkinsus in the gills none in connective tissue- check,KJL,,,,,,,,,,,,,,,,,,,,,
0925GOLD_08,9/23/2025,GOLD,8,03-09-2026,1,0,FALSE,FALSE,prokaryotic inclusion ,KJL,,,,,,,,,,,,,,,,,,,,,
0925GOLD_09,9/23/2025,GOLD,9,03-09-2026,0,0,FALSE,FALSE,no gills in sample ,MLK,,,,,,,,,,,,,,,,,,,,,
0925GOLD_10,9/23/2025,GOLD,10,02-11-2026,5,0,FALSE,FALSE,,MLK,,,,,,,,,,,,,,,,,,,,,
0925GOLD_11,9/23/2025,GOLD,11,03-09-2026,3,0,FALSE,FALSE,,LMB,,,,,,,,,,,,,,,,,,,,,
0925GOLD_12,9/23/2025,GOLD,12,03-09-2026,0,0,FALSE,FALSE,,SND,,,,,,,,,,,,,,,,,,,,,
0925GOLD_13,9/23/2025,GOLD,13,03-09-2026,0.5,0,FALSE,FALSE,,LMB,,,,,,,,,,,,,,,,,,,,,
0925GOLD_14,9/23/2025,GOLD,14,03-09-2026,0.5,0,FALSE,FALSE,no gills in sample,MLK,,,,,,,,,,,,,,,,,,,,,
0925GOLD_15,9/23/2025,GOLD,15,03-09-2026,0.5,2,FALSE,FALSE,,LMB,,,,,,,,,,,,,,,,,,,,,
0925GOLD_16,9/23/2025,GOLD,16,03-09-2026,0,0,FALSE,FALSE,,KJL,,,,,,,,,,,,,,,,,,,,,
0925GOLD_17,9/23/2025,GOLD,17,03-09-2026,0.5,0,FALSE,TRUE,spheno ,LMB,,,,,,,,,,,,,,,,,,,,,
0925GOLD_18,9/23/2025,GOLD,18,03-09-2026,0,0,FALSE,FALSE,,MLK,,,,,,,,,,,,,,,,,,,,,
0925GOLD_19,9/23/2025,GOLD,19,03-09-2026,0,0,FALSE,FALSE,,LMB,,,,,,,,,,,,,,,,,,,,,
0925GOLD_20,9/23/2025,GOLD,20,03-09-2026,0,0,TRUE,FALSE,,SND,,,,,,,,,,,,,,,,,,,,,
0925GOLD_21,9/23/2025,GOLD,21,03-09-2026,0,0,FALSE,FALSE,"no gills in sample, trematode infection (Bucephalus spp.)",LMB,,,,,,,,,,,,,,,,,,,,,
0925GOLD_22,9/23/2025,GOLD,22,03-09-2026,0,0,FALSE,FALSE,,KJL,,,,,,,,,,,,,,,,,,,,,
0925GOLD_23,9/23/2025,GOLD,23,03-09-2026,0,0,FALSE,TRUE,spheno,MLK,,,,,,,,,,,,,,,,,,,,,
0925GOLD_24,9/23/2025,GOLD,24,03-09-2026,0.5,1,FALSE,TRUE,spheno,LMB,,,,,,,,,,,,,,,,,,,,,
0925GOLD_25,9/23/2025,GOLD,25,03-09-2026,0.5,0,FALSE,FALSE,,SND,,,,,,,,,,,,,,,,,,,,,
0925GOLD_26,9/23/2025,GOLD,26,03-09-2026,0,1,FALSE,TRUE,Spheno,KJL,,,,,,,,,,,,,,,,,,,,,
0925GOLD_27,9/23/2025,GOLD,27,03-09-2026,0.5,1,FALSE,FALSE,,LMB,,,,,,,,,,,,,,,,,,,,,
0925GOLD_28,9/23/2025,GOLD,28,03-09-2026,0,0,FALSE,FALSE,,MLK,,,,,,,,,,,,,,,,,,,,,
0925GOLD_29,9/23/2025,GOLD,29,03-09-2026,0,0,TRUE,FALSE,,SND,,,,,,,,,,,,,,,,,,,,,
0925GOLD_30,9/23/2025,GOLD,30,03-09-2026,0,2,FALSE,FALSE,,KJL,,,,,,,,,,,,,,,,,,,,,
