Sample_ID,Date_collected,Site,Lab_sample,Date_read1,P. marinus1,Haplosporidium1,Nematopsis1,General_ciliates1,Notes1,Reader_1,Duplicate_read,Date_read2,P. marinus2,Haplosporidium2,Nematopsis2,General_ciliates2,Notes2,Reader_2,,,,,,,,,,,,,
0925FENC_01,9/16/2025,FENC,1,03-16-2026,3,0,TRUE,FALSE,elevated ceroid ,KJL,,,,,,,,,,,,,,,,,,,,,
0925FENC_02,9/16/2025,FENC,2,03-16-2026,0,0,FALSE,TRUE,spheno,MLK,,,,,,,,,,,,,,,,,,,,,
0925FENC_03,9/16/2025,FENC,3,03-16-2026,2,0,TRUE,TRUE,spheno ,LMB,,,,,,,,,,,,,,,,,,,,,
0925FENC_04,9/16/2025,FENC,4,03-16-2026,1,2,TRUE,FALSE,,SND,,,,,,,,,,,,,,,,,,,,,
0925FENC_05,9/16/2025,FENC,5,03-16-2026,0.5,0,TRUE,TRUE,spheno ,LMB,,,,,,,,,,,,,,,,,,,,,
0925FENC_06,9/16/2025,FENC,6,03-16-2026,0,0,TRUE,TRUE,spheno ,LMB,,,,,,,,,,,,,,,,,,,,,
0925FENC_07,9/16/2025,FENC,7,03-16-2026,3,0,FALSE,FALSE,,KJL,,,,,,,,,,,,,,,,,,,,,
0925FENC_08,9/16/2025,FENC,8,03-16-2026,0.5,0,TRUE,FALSE,,MLK,,,,,,,,,,,,,,,,,,,,,
0925FENC_09,9/16/2025,FENC,9,03-16-2026,0.5,0,TRUE,TRUE,spheno ,SND,,,,,,,,,,,,,,,,,,,,,
0925FENC_10,9/16/2025,FENC,10,03-16-2026,4,1,FALSE,FALSE,,LMB,,,,,,,,,,,,,,,,,,,,,
0925FENC_11,9/16/2025,FENC,11,03-16-2026,3,2,TRUE,TRUE,spheno ,KJL,,,,,,,,,,,,,,,,,,,,,
0925FENC_12,9/16/2025,FENC,12,03-16-2026,0.5,0,FALSE,FALSE,,MLK,,,,,,,,,,,,,,,,,,,,,
0925FENC_13,9/16/2025,FENC,13,03-16-2026,0.5,0,TRUE,FALSE,elevated ceroid ,LMB,,,,,,,,,,,,,,,,,,,,,
0925FENC_14,9/16/2025,FENC,14,03-16-2026,3,1,TRUE,TRUE,spheno ,KJL,,,,,,,,,,,,,,,,,,,,,
0925FENC_15,9/16/2025,FENC,15,03-16-2026,0.5,0,FALSE,FALSE,,SND,,,,,,,,,,,,,,,,,,,,,
0925FENC_16,9/16/2025,FENC,16,03-16-2026,0.5,0,TRUE,FALSE,,KJL,,,,,,,,,,,,,,,,,,,,,
0925FENC_17,9/16/2025,FENC,17,03-16-2026,0.5,0,TRUE,TRUE,spheno ,KJL,,,,,,,,,,,,,,,,,,,,,
0925FENC_18,9/16/2025,FENC,18,03-16-2026,0,0,TRUE,FALSE,,SND,,,,,,,,,,,,,,,,,,,,,
0925FENC_19,9/16/2025,FENC,19,03-16-2026,2,0,TRUE,TRUE,"spheno, odd large purple cells in gills (3 ish)",LMB,,,,,,,,,,,,,,,,,,,,,
0925FENC_20,9/16/2025,FENC,20,04-01-2026,1,0,TRUE,FALSE,,SND,,,,,,,,,,,,,,,,,,,,,
0925FENC_21,9/16/2025,FENC,21,04-01-2026,0.5,1,TRUE,FALSE,,KJL,,,,,,,,,,,,,,,,,,,,,
0925FENC_22,9/16/2025,FENC,22,04-01-2026,1,0,TRUE,FALSE,,MLK,,,,,,,,,,,,,,,,,,,,,
0925FENC_23,9/16/2025,FENC,23,04-01-2026,3,0,TRUE,FALSE,,LMB,,,,,,,,,,,,,,,,,,,,,
0925FENC_24,9/16/2025,FENC,24,04-01-2026,0.5,0,FALSE,FALSE,,LMB,,,,,,,,,,,,,,,,,,,,,
0925FENC_25,9/16/2025,FENC,25,04-01-2026,1,0,TRUE,TRUE,spheno,SND,,,,,,,,,,,,,,,,,,,,,
0925FENC_26,9/16/2025,FENC,26,04-01-2026,1,0,TRUE,FALSE,,KJL,,,,,,,,,,,,,,,,,,,,,
0925FENC_27,9/16/2025,FENC,27,04-01-2026,0,3,TRUE,FALSE,heavy nemo cluster ,MLK,,,,,,,,,,,,,,,,,,,,,
0925FENC_28,9/16/2025,FENC,28,04-01-2026,3,0,TRUE,FALSE,,LMB,,,,,,,,,,,,,,,,,,,,,
0925FENC_29,9/16/2025,FENC,29,04-01-2026,3,0,TRUE,TRUE,"spheno.  small, red dots in digestive gland",SND,,,,,,,,,,,,,,,,,,,,,
0925FENC_30,9/16/2025,FENC,30,04-01-2026,1,2,FALSE,FALSE,,LMB,,,,,,,,,,,,,,,,,,,,,
