"Date_collected","Site","State","Bed_height_cm","Season"
2024-05-01,"ASHC","CT",45.085,"Spring"
2024-05-01,"ASHC","CT",52.07,"Spring"
2024-05-01,"ASHC","CT",45.08,"Spring"
2024-05-01,"ASHC","CT",36.83,"Spring"
2024-05-13,"FENC","CT",54.61,"Spring"
2024-05-13,"FENC","CT",53.34,"Spring"
2024-05-13,"FENC","CT",66.294,"Spring"
2024-05-13,"FENC","CT",85.34,"Spring"
2025-05-01,"ASHC","CT",52.07,"Spring"
2025-05-01,"ASHC","CT",40,"Spring"
2025-05-01,"ASHC","CT",49.53,"Spring"
2025-05-01,"ASHC","CT",51.44,"Spring"
2025-05-05,"FENC","CT",70.5,"Spring"
2025-05-05,"FENC","CT",62.23,"Spring"
2025-05-05,"FENC","CT",20.96,"Spring"
2025-05-05,"FENC","CT",56.52,"Spring"
2024-08-14,"GOLD","NY",28,"Fall"
2024-08-14,"GOLD","NY",32,"Fall"
2024-08-14,"GOLD","NY",24,"Fall"
2024-08-14,"GOLD","NY",33,"Fall"
2024-08-14,"GOLD","NY",NA,"Fall"
2024-08-14,"GOLD","NY",NA,"Fall"
2024-09-23,"ASHC","CT",NA,"Fall"
2024-09-23,"ASHC","CT",NA,"Fall"
2024-09-23,"ASHC","CT",NA,"Fall"
2024-09-23,"ASHC","CT",NA,"Fall"
2024-09-25,"FENC","CT",NA,"Fall"
2024-09-25,"FENC","CT",NA,"Fall"
2024-09-25,"FENC","CT",NA,"Fall"
2024-09-25,"FENC","CT",NA,"Fall"
2025-09-11,"ASHC","CT",NA,"Fall"
2025-09-11,"ASHC","CT",NA,"Fall"
2025-09-11,"ASHC","CT",NA,"Fall"
2025-09-11,"ASHC","CT",NA,"Fall"
2025-09-15,"FENC","CT",NA,"Fall"
2025-09-15,"FENC","CT",NA,"Fall"
2025-09-15,"FENC","CT",NA,"Fall"
2025-09-15,"FENC","CT",NA,"Fall"
2025-09-23,"GOLD","NY",15,"Fall"
2025-09-23,"GOLD","NY",13,"Fall"
2025-09-23,"GOLD","NY",17,"Fall"
2025-09-23,"GOLD","NY",7,"Fall"
2025-09-23,"GOLD","NY",10,"Fall"
2025-09-23,"GOLD","NY",13,"Fall"
2023-10-03,"ASHC","CT",NA,"Fall"
2023-10-03,"ASHC","CT",NA,"Fall"
2023-10-03,"ASHC","CT",NA,"Fall"
2023-10-03,"ASHC","CT",NA,"Fall"
2023-10-03,"ASHC","CT",NA,"Fall"
2023-10-03,"ASHC","CT",NA,"Fall"
2023-10-03,"ASHC","CT",NA,"Fall"
2023-10-03,"ASHC","CT",NA,"Fall"
2023-10-03,"ASHC","CT",NA,"Fall"
2023-10-03,"ASHC","CT",NA,"Fall"
2023-10-03,"ASHC","CT",NA,"Fall"
2023-10-03,"ASHC","CT",NA,"Fall"
2023-10-05,"FENC","CT",NA,"Fall"
2023-10-05,"FENC","CT",NA,"Fall"
2023-10-05,"FENC","CT",NA,"Fall"
2023-10-05,"FENC","CT",NA,"Fall"
2023-10-05,"FENC","CT",NA,"Fall"
2023-10-05,"FENC","CT",NA,"Fall"
2023-10-05,"FENC","CT",NA,"Fall"
2023-10-05,"FENC","CT",NA,"Fall"
2023-10-05,"FENC","CT",NA,"Fall"
2023-10-05,"FENC","CT",NA,"Fall"
2023-10-05,"FENC","CT",NA,"Fall"
2023-10-05,"FENC","CT",NA,"Fall"
2023-10-16,"GOLD","NY",15,"Fall"
2023-10-16,"GOLD","NY",30,"Fall"
2023-10-16,"GOLD","NY",30,"Fall"
2023-10-16,"GOLD","NY",NA,"Fall"
2023-10-16,"GOLD","NY",NA,"Fall"
2023-10-16,"GOLD","NY",NA,"Fall"
2023-10-16,"GOLD","NY",NA,"Fall"
2023-10-16,"GOLD","NY",NA,"Fall"
2023-10-16,"GOLD","NY",NA,"Fall"
2023-10-16,"GOLD","NY",NA,"Fall"
2023-10-16,"GOLD","NY",NA,"Fall"
2023-10-16,"GOLD","NY",NA,"Fall"
2023-10-17,"LAUR","NY",7,"Fall"
2023-10-17,"LAUR","NY",6,"Fall"
2023-10-17,"LAUR","NY",4,"Fall"
2023-10-17,"LAUR","NY",NA,"Fall"
2023-10-17,"LAUR","NY",NA,"Fall"
2023-10-17,"LAUR","NY",NA,"Fall"
2023-10-17,"LAUR","NY",NA,"Fall"
2023-10-17,"LAUR","NY",NA,"Fall"
2023-10-17,"LAUR","NY",NA,"Fall"
2023-10-17,"LAUR","NY",NA,"Fall"
2023-10-17,"LAUR","NY",NA,"Fall"
2023-10-17,"LAUR","NY",NA,"Fall"
2023-06-12,"ASHC","CT",64,"Spring"
2023-06-12,"ASHC","CT",64,"Spring"
2023-06-12,"ASHC","CT",51.5,"Spring"
2023-06-12,"ASHC","CT",47,"Spring"
2023-06-12,"ASHC","CT",63,"Spring"
2023-06-12,"ASHC","CT",54,"Spring"
2023-06-14,"FENC","CT",52,"Spring"
2023-06-14,"FENC","CT",63.5,"Spring"
2023-06-14,"FENC","CT",103.5,"Spring"
2023-06-14,"FENC","CT",79,"Spring"
2023-06-14,"FENC","CT",100,"Spring"
2023-06-14,"FENC","CT",66,"Spring"
2023-06-14,"FENC","CT",115,"Spring"
2023-06-14,"FENC","CT",107,"Spring"
2023-06-14,"FENC","CT",104,"Spring"
