"Date","Sample_ID","Concentration","Units"
"11/8/2025 18:19","0125ASHC_01",53.2,"ng/uL"
"11/8/2025 18:19","0125ASHC_02",52.4,"ng/uL"
"11/8/2025 18:19","0125ASHC_03",71.6,"ng/uL"
"11/8/2025 18:19","0125ASHC_04",110,"ng/uL"
"11/8/2025 18:19","0125ASHC_05",66,"ng/uL"
"11/8/2025 18:19","0125ASHC_06",84.8,"ng/uL"
"11/8/2025 18:19","0125ASHC_07",70,"ng/uL"
"11/8/2025 18:19","0125ASHC_08",71.6,"ng/uL"
"11/8/2025 18:22","0125ASHC_09",76,"ng/uL"
"11/8/2025 18:22","0125ASHC_10",58.4,"ng/uL"
"11/8/2025 18:22","0125ASHC_11",65.6,"ng/uL"
"11/8/2025 18:22","0125ASHC_12",54,"ng/uL"
"11/8/2025 18:22","0125ASHC_13",62.4,"ng/uL"
"11/8/2025 18:22","0125ASHC_14",98,"ng/uL"
"11/8/2025 18:22","0125ASHC_15",39.8,"ng/uL"
"11/8/2025 18:22","0125ASHC_16",47.6,"ng/uL"
"11/8/2025 18:23","0125ASHC_17",52,"ng/uL"
"11/8/2025 18:23","0125ASHC_18",82,"ng/uL"
"11/8/2025 18:23","0125ASHC_19",108,"ng/uL"
"11/8/2025 18:23","0125ASHC_20",66.4,"ng/uL"
"11/8/2025 18:23","0125ASHC_21",68.4,"ng/uL"
"11/8/2025 18:23","0125ASHC_22",55.2,"ng/uL"
"11/8/2025 18:23","0125ASHC_23",83.6,"ng/uL"
"11/8/2025 18:23","0125ASHC_24",60.8,"ng/uL"
"11/8/2025 18:26","0125ASHC_25",60.4,"ng/uL"
"11/8/2025 18:26","0125ASHC_26",72,"ng/uL"
"11/8/2025 18:26","0125ASHC_27",63.6,"ng/uL"
"11/8/2025 18:26","0125ASHC_28",69.2,"ng/uL"
"11/8/2025 18:26","0125ASHC_29",69.2,"ng/uL"
"11/8/2025 18:26","0125ASHC_30",68.8,"ng/uL"
"11/8/2025 18:26","0125ASHC_BLANK",0.5,"ng/uL"
"11/8/2025 18:29","0125ASHC_BLANK",0.46,"ng/uL"
"11/8/2025 18:13","0125ASHC_01",52,"ng/uL"
"11/8/2025 18:13","0125ASHC_02",48.8,"ng/uL"
"11/8/2025 18:13","0125ASHC_03",69.2,"ng/uL"
"11/8/2025 18:13","0125ASHC_04",110,"ng/uL"
"11/8/2025 18:13","0125ASHC_05",65.6,"ng/uL"
"11/8/2025 18:13","0125ASHC_06",83.6,"ng/uL"
"11/8/2025 18:13","0125ASHC_07",68.8,"ng/uL"
"11/8/2025 18:13","0125ASHC_08",67.6,"ng/uL"
"11/8/2025 18:14","0125ASHC_09",83.6,"ng/uL"
"11/8/2025 18:14","0125ASHC_10",52.8,"ng/uL"
"11/8/2025 18:14","0125ASHC_11",63.6,"ng/uL"
"11/8/2025 18:14","0125ASHC_12",52.8,"ng/uL"
"11/8/2025 18:14","0125ASHC_13",63.2,"ng/uL"
"11/8/2025 18:14","0125ASHC_14",89.2,"ng/uL"
"11/8/2025 18:14","0125ASHC_15",39.3,"ng/uL"
"11/8/2025 18:14","0125ASHC_16",44.4,"ng/uL"
"11/8/2025 18:16","0125ASHC_17",46.8,"ng/uL"
"11/8/2025 18:16","0125ASHC_18",78.4,"ng/uL"
"11/8/2025 18:16","0125ASHC_19",104,"ng/uL"
"11/8/2025 18:16","0125ASHC_20",65.6,"ng/uL"
"11/8/2025 18:16","0125ASHC_21",66,"ng/uL"
"11/8/2025 18:16","0125ASHC_22",53.6,"ng/uL"
"11/8/2025 18:16","0125ASHC_23",74.8,"ng/uL"
"11/8/2025 18:16","0125ASHC_24",58.4,"ng/uL"
"11/8/2025 18:18","0125ASHC_25",72,"ng/uL"
"11/8/2025 18:18","0125ASHC_26",71.6,"ng/uL"
"11/8/2025 18:18","0125ASHC_27",62.8,"ng/uL"
"11/8/2025 18:18","0125ASHC_28",69.2,"ng/uL"
"11/8/2025 18:18","0125ASHC_29",69.6,"ng/uL"
"11/8/2025 18:18","0125ASHC_30",68,"ng/uL"
"11/8/2025 17:23","0125FENC_01",41.6,"ng/uL"
"11/8/2025 17:23","0125FENC_02",76.4,"ng/uL"
"11/8/2025 17:23","0125FENC_03",53.6,"ng/uL"
"11/8/2025 17:23","0125FENC_04",42,"ng/uL"
"11/8/2025 17:23","0125FENC_05",60.4,"ng/uL"
"11/8/2025 17:23","0125FENC_06",46,"ng/uL"
"11/8/2025 17:23","0125FENC_07",46.8,"ng/uL"
"11/8/2025 17:23","0125FENC_08",33.6,"ng/uL"
"11/8/2025 17:24","0125FENC_09",49.2,"ng/uL"
"11/8/2025 17:24","0125FENC_10",54.8,"ng/uL"
"11/8/2025 17:24","0125FENC_11",96.8,"ng/uL"
"11/8/2025 17:24","0125FENC_12",51.6,"ng/uL"
"11/8/2025 17:24","0125FENC_13",50.8,"ng/uL"
"11/8/2025 17:24","0125FENC_14",51.2,"ng/uL"
"11/8/2025 17:24","0125FENC_15",32.5,"ng/uL"
"11/8/2025 17:24","0125FENC_16",60,"ng/uL"
"11/8/2025 17:26","0125FENC_17",94.8,"ng/uL"
