"Sample_ID","Date_collected","Site","Lab_sample","Date_read1","reader1","Sex1","Stage1","Duplicate_read","Date_read2","reader2","Sex2","Stage2","Notes","Sex_final","Stage_final","Date_read3","reader3","Sex3","Stage3"
"0324ASHC_01",2024-03-14,"ASHC",1,"05-10-2025","Sarina Dery","ND","2_Developing",TRUE,"05-13-2025","Kyra Lenderman","ND","2_Developing",NA,"ND","2_Developing",NA,NA,NA,NA
"0324ASHC_02",2024-03-14,"ASHC",2,"05-10-2025","Sarina Dery","ND","2_Developing",TRUE,"06-04-2025","Kyra Lenderman","ND","2_Developing",NA,"ND","2_Developing",NA,NA,NA,NA
"0324ASHC_03",2024-03-14,"ASHC",3,"05-10-2025","Sarina Dery","ND","2_Developing",TRUE,"06-04-2025","Kyra Lenderman","ND","2_Developing",NA,"ND","2_Developing",NA,NA,NA,NA
"0324ASHC_04",2024-03-14,"ASHC",4,"05-10-2025","Sarina Dery","ND","2_Developing",TRUE,"06-04-2025","Kyra Lenderman","ND","2_Developing",NA,"ND","2_Developing",NA,NA,NA,NA
"0324ASHC_05",2024-03-14,"ASHC",5,"05-10-2025","Sarina Dery","ND","2_Developing",TRUE,"06-04-2025","Kyra Lenderman","ND","2_Developing",NA,"ND","2_Developing",NA,NA,NA,NA
"0324ASHC_06",2024-03-14,"ASHC",6,"05-10-2025","Sarina Dery","Male","3_Early_Active",TRUE,"06-04-2025","Kyra Lenderman","Male","3_Early_Active",NA,"Male","3_Early_Active",NA,NA,NA,NA
"0324ASHC_07",2024-03-14,"ASHC",7,"05-10-2025","Sarina Dery","ND","2_Developing",TRUE,"06-04-2025","Kyra Lenderman","ND","2_Developing",NA,"ND","2_Developing",NA,NA,NA,NA
"0324ASHC_08",2024-03-14,"ASHC",8,"05-10-2025","Sarina Dery","ND","2_Developing",TRUE,"06-04-2025","Kyra Lenderman","ND","2_Developing",NA,"ND","2_Developing",NA,NA,NA,NA
"0324ASHC_09",2024-03-14,"ASHC",9,"05-10-2025","Sarina Dery","ND","2_Developing",TRUE,"06-04-2025","Kyra Lenderman","ND","2_Developing",NA,"ND","2_Developing",NA,NA,NA,NA
"0324ASHC_10",2024-03-14,"ASHC",10,"05-10-2025","Sarina Dery","ND","2_Developing",TRUE,"06-04-2025","Kyra Lenderman","ND","2_Developing",NA,"ND","2_Developing",NA,NA,NA,NA
"0324ASHC_11",2024-03-14,"ASHC",11,"05-10-2025","Sarina Dery","ND","2_Developing",TRUE,"06-04-2025","Kyra Lenderman","ND","2_Developing",NA,"ND","2_Developing",NA,NA,NA,NA
"0324ASHC_12",2024-03-14,"ASHC",12,"05-10-2025","Sarina Dery","ND","2_Developing",TRUE,"06-04-2025","Kyra Lenderman","ND","2_Developing",NA,"ND","2_Developing",NA,NA,NA,NA
"0324ASHC_13",2024-03-14,"ASHC",13,"05-10-2025","Sarina Dery","ND","2_Developing",TRUE,"06-04-2025","Kyra Lenderman","ND","2_Developing",NA,"ND","2_Developing",NA,NA,NA,NA
"0324ASHC_14",2024-03-14,"ASHC",14,"05-10-2025","Sarina Dery","ND","2_Developing",TRUE,"06-04-2025","Kyra Lenderman","ND","2_Developing",NA,"ND","2_Developing",NA,NA,NA,NA
"0324ASHC_15",2024-03-14,"ASHC",15,"05-10-2025","Sarina Dery","ND","2_Developing",TRUE,"06-04-2025","Kyra Lenderman","ND","2_Developing",NA,"ND","2_Developing",NA,NA,NA,NA
"0324ASHC_16",2024-03-14,"ASHC",16,"05-10-2025","Sarina Dery","Female","3_Early_Active",TRUE,"06-04-2025","Kyra Lenderman","Female","3_Early_Active",NA,"Female","3_Early_Active",NA,NA,NA,NA
"0324ASHC_17",2024-03-14,"ASHC",17,"05-10-2025","Sarina Dery","ND","2_Developing",TRUE,"06-04-2025","Kyra Lenderman","ND","2_Developing",NA,"ND","2_Developing",NA,NA,NA,NA
"0324ASHC_18",2024-03-14,"ASHC",18,"05-10-2025","Sarina Dery","ND","2_Developing",TRUE,"06-04-2025","Kyra Lenderman","ND","2_Developing",NA,"ND","2_Developing",NA,NA,NA,NA
"0324ASHC_19",2024-03-14,"ASHC",19,"05-10-2025","Sarina Dery","Female","3_Early_Active",TRUE,"06-04-2025","Kyra Lenderman","Female","3_Early_Active",NA,"Female","3_Early_Active",NA,NA,NA,NA
"0324ASHC_20",2024-03-14,"ASHC",20,"05-10-2025","Sarina Dery","ND","2_Developing",TRUE,"06-04-2025","Kyra Lenderman","ND","2_Developing",NA,"ND","2_Developing",NA,NA,NA,NA
