"Target_dye","Sample_ID","Cq","Concentration","Cq_mean","Cq_st_dev","St_dev","File_Name","Month_year","Site","Replicate","Date"
"FAM","0423ASHC_qPCR_Std-01",14.74045903,1e+08,14.82261079,0.072532964,0,"0423ASHC_qPCR.csv","0423","ASHC",NA,2023-04-01
"FAM","0423ASHC_qPCR_Std-01",14.84956764,1e+08,14.82261079,0.072532964,0,"0423ASHC_qPCR.csv","0423","ASHC",NA,2023-04-01
"FAM","0423ASHC_qPCR_Std-01",14.8778057,1e+08,14.82261079,0.072532964,0,"0423ASHC_qPCR.csv","0423","ASHC",NA,2023-04-01
"FAM","0423ASHC_01",33.7683659,417.6076466,33.79573801,0.038710009,10.42860549,"0423ASHC_qPCR.csv","0423","ASHC","01",2023-04-01
"FAM","0423ASHC_01",33.82311012,402.8593713,33.79573801,0.038710009,10.42860549,"0423ASHC_qPCR.csv","0423","ASHC","01",2023-04-01
"FAM","0423ASHC_09",37.36909261,39.23872535,35.82261032,2.187056226,183.8083395,"0423ASHC_qPCR.csv","0423","ASHC","09",2023-04-01
"FAM","0423ASHC_09",34.27612803,299.1829719,35.82261032,2.187056226,183.8083395,"0423ASHC_qPCR.csv","0423","ASHC","09",2023-04-01
"FAM","0423ASHC_17",32.64398028,873.9420938,32.51429649,0.183400572,114.7670711,"0423ASHC_qPCR.csv","0423","ASHC","17",2023-04-01
"FAM","0423ASHC_17",32.3846127,1036.247242,32.51429649,0.183400572,114.7670711,"0423ASHC_qPCR.csv","0423","ASHC","17",2023-04-01
"FAM","0423ASHC_25",27.91205705,19552.08753,27.84679187,0.092298903,1237.534159,"0423ASHC_qPCR.csv","0423","ASHC","25",2023-04-01
"FAM","0423ASHC_25",27.78152669,21302.22512,27.84679187,0.092298903,1237.534159,"0423ASHC_qPCR.csv","0423","ASHC","25",2023-04-01
"FAM","NTC-01",39.81016946,NA,39.8053939,0.006753662,NA,"0423ASHC_qPCR.csv","NTC-",NA,NA,NA
"FAM","0423ASHC_qPCR_Std-02",18.44261552,1e+07,18.43251486,0.024133425,0,"0423ASHC_qPCR.csv","0423","ASHC",NA,2023-04-01
"FAM","0423ASHC_qPCR_Std-02",18.40497221,1e+07,18.43251486,0.024133425,0,"0423ASHC_qPCR.csv","0423","ASHC",NA,2023-04-01
"FAM","0423ASHC_qPCR_Std-02",18.44995686,1e+07,18.43251486,0.024133425,0,"0423ASHC_qPCR.csv","0423","ASHC",NA,2023-04-01
"FAM","0423ASHC_02",39.09994579,12.58968474,39.40769398,0.435221663,2.960168614,"0423ASHC_qPCR.csv","0423","ASHC","02",2023-04-01
"FAM","0423ASHC_02",39.71544217,8.403374136,39.40769398,0.435221663,2.960168614,"0423ASHC_qPCR.csv","0423","ASHC","02",2023-04-01
"FAM","0423ASHC_10",31.92848359,1398.193923,31.87493889,0.075723631,72.04101061,"0423ASHC_qPCR.csv","0423","ASHC","10",2023-04-01
"FAM","0423ASHC_10",31.8213942,1500.075298,31.87493889,0.075723631,72.04101061,"0423ASHC_qPCR.csv","0423","ASHC","10",2023-04-01
"FAM","0423ASHC_18",29.82912664,5551.082027,29.82219506,0.009802738,35.90230087,"0423ASHC_qPCR.csv","0423","ASHC","18",2023-04-01
"FAM","0423ASHC_18",29.81526347,5601.855548,29.82219506,0.009802738,35.90230087,"0423ASHC_qPCR.csv","0423","ASHC","18",2023-04-01
"FAM","0423ASHC_26",31.97545821,1355.715624,31.96936788,0.008613027,7.699834135,"0423ASHC_qPCR.csv","0423","ASHC","26",2023-04-01
"FAM","0423ASHC_26",31.96327755,1366.604834,31.96936788,0.008613027,7.699834135,"0423ASHC_qPCR.csv","0423","ASHC","26",2023-04-01
"FAM","NTC-01",NA,NA,0,0,0,"0423ASHC_qPCR.csv","NTC-",NA,NA,NA
