#,Date-Time (EST/EDT),Ch:1 - Temperature   (°C),Water Detect,Button Down,Button Up,End of File
52314,06/11/2024 23:50:00,20.73,,,,
52315,06/12/2024 00:00:00,19.93,,,,
52316,06/12/2024 00:10:00,17.92,,,,
52317,06/12/2024 00:20:00,17.27,,,,
52318,06/12/2024 00:30:00,17.14,,,,
52319,06/12/2024 00:40:00,17.13,,,,
52320,06/12/2024 00:50:00,17.13,,,,
52321,06/12/2024 01:00:00,17.13,,,,
52322,06/12/2024 01:10:00,17.12,,,,
52323,06/12/2024 01:20:00,17.09,,,,
52324,06/12/2024 01:30:00,17.06,,,,
52325,06/12/2024 01:40:00,17.04,,,,
52326,06/12/2024 01:50:00,16.99,,,,
52327,06/12/2024 02:00:00,16.98,,,,
52328,06/12/2024 02:10:00,16.94,,,,
52329,06/12/2024 02:20:00,16.91,,,,
52330,06/12/2024 02:30:00,16.89,,,,
52331,06/12/2024 02:40:00,16.89,,,,
52332,06/12/2024 02:50:00,16.86,,,,
52333,06/12/2024 03:00:00,16.84,,,,
52334,06/12/2024 03:10:00,16.82,,,,
52335,06/12/2024 03:20:00,16.81,,,,
52336,06/12/2024 03:30:00,16.81,,,,
52337,06/12/2024 03:40:00,16.79,,,,
52338,06/12/2024 03:50:00,16.78,,,,
52339,06/12/2024 04:00:00,16.77,,,,
52340,06/12/2024 04:10:00,16.77,,,,
52341,06/12/2024 04:20:00,16.75,,,,
52342,06/12/2024 04:30:00,16.67,,,,
52343,06/12/2024 04:40:00,16.67,,,,
52344,06/12/2024 04:50:00,16.68,,,,
52345,06/12/2024 05:00:00,16.67,,,,
52346,06/12/2024 05:10:00,16.64,,,,
52347,06/12/2024 05:20:00,16.61,,,,
52348,06/12/2024 05:30:00,16.59,,,,
52349,06/12/2024 05:40:00,16.56,,,,
52350,06/12/2024 05:50:00,16.51,,,,
52351,06/12/2024 06:00:00,16.48,,,,
52352,06/12/2024 06:10:00,16.48,,,,
52353,06/12/2024 06:20:00,16.52,,,,
52354,06/12/2024 06:30:00,16.63,,,,
52355,06/12/2024 06:40:00,16.72,,,,
52356,06/12/2024 06:50:00,16.82,,,,
52357,06/12/2024 07:00:00,16.96,,,,
52358,06/12/2024 07:10:00,17.11,,,,
52359,06/12/2024 07:20:00,17.23,,,,
52360,06/12/2024 07:30:00,17.35,,,,
52361,06/12/2024 07:40:00,17.47,,,,
52362,06/12/2024 07:50:00,17.59,,,,
52363,06/12/2024 08:00:00,17.73,,,,
52364,06/12/2024 08:10:00,17.87,,,,
52365,06/12/2024 08:20:00,17.99,,,,
52366,06/12/2024 08:30:00,18.14,,,,
52367,06/12/2024 08:40:00,18.28,,,,
52368,06/12/2024 08:50:00,18.41,,,,
52369,06/12/2024 09:00:00,18.56,,,,
52370,06/12/2024 09:10:00,18.72,,,,
52371,06/12/2024 09:20:00,18.88,,,,
52372,06/12/2024 09:30:00,19.06,,,,
52373,06/12/2024 09:40:00,19.25,,,,
52374,06/12/2024 09:50:00,19.44,,,,
52375,06/12/2024 10:00:00,19.64,,,,
52376,06/12/2024 10:10:00,19.86,,,,
52377,06/12/2024 10:20:00,20.09,,,,
52378,06/12/2024 10:30:00,20.36,,,,
52379,06/12/2024 10:40:00,20.60,,,,
52380,06/12/2024 10:50:00,21.78,,,,
52381,06/12/2024 11:00:00,21.37,,,,
52382,06/12/2024 11:10:00,21.48,,,,
52383,06/12/2024 11:20:00,21.73,,,,
52384,06/12/2024 11:30:00,22.01,,,,
52385,06/12/2024 11:40:00,22.27,,,,
52386,06/12/2024 11:50:00,22.49,,,,
52387,06/12/2024 12:00:00,22.83,,,,
52388,06/12/2024 12:10:00,23.07,,,,
52389,06/12/2024 12:20:00,23.34,,,,
52390,06/12/2024 12:30:00,23.27,,,,
52391,06/12/2024 12:40:00,23.51,,,,
52392,06/12/2024 12:50:00,21.81,,,,
52393,06/12/2024 13:00:00,20.46,,,,
52394,06/12/2024 13:10:00,19.72,,,,
52395,06/12/2024 13:20:00,19.54,,,,
52396,06/12/2024 13:30:00,19.45,,,,
52397,06/12/2024 13:40:00,19.60,,,,
52398,06/12/2024 13:50:00,19.56,,,,
52399,06/12/2024 14:00:00,19.44,,,,
52400,06/12/2024 14:10:00,19.39,,,,
52401,06/12/2024 14:20:00,19.42,,,,
52402,06/12/2024 14:30:00,19.43,,,,
52403,06/12/2024 14:40:00,19.43,,,,
52404,06/12/2024 14:50:00,19.39,,,,
52405,06/12/2024 15:00:00,19.33,,,,
52406,06/12/2024 15:10:00,19.37,,,,
52407,06/12/2024 15:20:00,19.40,,,,
52408,06/12/2024 15:30:00,19.45,,,,
52409,06/12/2024 15:40:00,19.46,,,,
52410,06/12/2024 15:50:00,19.47,,,,
52411,06/12/2024 16:00:00,19.48,,,,
52412,06/12/2024 16:10:00,19.47,,,,
52413,06/12/2024 16:20:00,19.45,,,,
52414,06/12/2024 16:30:00,19.44,,,,
52415,06/12/2024 16:40:00,19.51,,,,
52416,06/12/2024 16:50:00,19.58,,,,
52417,06/12/2024 17:00:00,19.63,,,,
52418,06/12/2024 17:10:00,19.70,,,,
52419,06/12/2024 17:20:00,19.76,,,,
52420,06/12/2024 17:30:00,19.85,,,,
52421,06/12/2024 17:40:00,20.02,,,,
52422,06/12/2024 17:50:00,20.21,,,,
52423,06/12/2024 18:00:00,20.33,,,,
52424,06/12/2024 18:10:00,20.48,,,,
52425,06/12/2024 18:20:00,20.66,,,,
52426,06/12/2024 18:30:00,20.82,,,,
52427,06/12/2024 18:40:00,20.94,,,,
52428,06/12/2024 18:50:00,21.04,,,,
52429,06/12/2024 19:00:00,21.21,,,,
52430,06/12/2024 19:10:00,21.37,,,,
52431,06/12/2024 19:20:00,21.56,,,,
52432,06/12/2024 19:30:00,21.78,,,,
52433,06/12/2024 19:40:00,22.16,,,,
52434,06/12/2024 19:50:00,22.40,,,,
52435,06/12/2024 20:00:00,22.55,,,,
52436,06/12/2024 20:10:00,22.62,,,,
52437,06/12/2024 20:20:00,22.69,,,,
52438,06/12/2024 20:30:00,22.73,,,,
52439,06/12/2024 20:40:00,22.81,,,,
52440,06/12/2024 20:50:00,22.84,,,,
52441,06/12/2024 21:00:00,22.87,,,,
52442,06/12/2024 21:10:00,22.87,,,,
52443,06/12/2024 21:20:00,22.86,,,,
52444,06/12/2024 21:30:00,22.83,,,,
52445,06/12/2024 21:40:00,22.81,,,,
52446,06/12/2024 21:50:00,22.79,,,,
52447,06/12/2024 22:00:00,22.74,,,,
52448,06/12/2024 22:10:00,22.71,,,,
52449,06/12/2024 22:20:00,22.67,,,,
52450,06/12/2024 22:30:00,22.62,,,,
52451,06/12/2024 22:40:00,22.55,,,,
52452,06/12/2024 22:50:00,22.47,,,,
52453,06/12/2024 23:00:00,22.38,,,,
