#,Date-Time (EST/EDT),Temperature   (°C),Button Down,Started Offset,Stopped,Button Up,End of File
1,10/21/2024 08:54:00,,Logged,Logged,,,
2,10/21/2024 08:54:40,20.364,,,,,
3,10/21/2024 09:04:40,14.530,,,,,
4,10/21/2024 09:14:40,13.908,,,,,
5,10/21/2024 09:24:40,13.790,,,,,
6,10/21/2024 09:34:40,13.854,,,,,
7,10/21/2024 09:44:40,13.854,,,,,
8,10/21/2024 09:54:40,14.154,,,,,
9,10/21/2024 10:04:40,14.412,,,,,
10,10/21/2024 10:14:40,14.766,,,,,
11,10/21/2024 10:24:40,14.905,,,,,
12,10/21/2024 10:34:40,15.130,,,,,
13,10/21/2024 10:44:40,15.398,,,,,
14,10/21/2024 10:54:40,15.613,,,,,
15,10/21/2024 11:04:40,15.677,,,,,
16,10/21/2024 11:14:40,15.838,,,,,
17,10/21/2024 11:24:40,16.031,,,,,
18,10/21/2024 11:34:40,16.138,,,,,
19,10/21/2024 11:44:40,16.181,,,,,
20,10/21/2024 11:54:40,16.214,,,,,
21,10/21/2024 12:04:40,16.256,,,,,
22,10/21/2024 12:14:40,16.310,,,,,
23,10/21/2024 12:24:40,16.342,,,,,
24,10/21/2024 12:34:40,16.364,,,,,
25,10/21/2024 12:44:40,16.374,,,,,
26,10/21/2024 12:54:40,16.396,,,,,
27,10/21/2024 13:04:40,16.439,,,,,
28,10/21/2024 13:14:40,16.471,,,,,
29,10/21/2024 13:24:40,16.492,,,,,
30,10/21/2024 13:34:40,16.514,,,,,
31,10/21/2024 13:44:40,16.525,,,,,
32,10/21/2024 13:54:40,16.546,,,,,
33,10/21/2024 14:04:40,16.589,,,,,
34,10/21/2024 14:14:40,16.600,,,,,
35,10/21/2024 14:24:40,16.610,,,,,
36,10/21/2024 14:34:40,16.632,,,,,
37,10/21/2024 14:44:40,16.653,,,,,
38,10/21/2024 14:54:40,16.653,,,,,
39,10/21/2024 15:04:40,16.685,,,,,
40,10/21/2024 15:14:40,16.685,,,,,
41,10/21/2024 15:24:40,16.696,,,,,
42,10/21/2024 15:34:40,16.696,,,,,
43,10/21/2024 15:44:40,16.750,,,,,
44,10/21/2024 15:54:40,16.771,,,,,
45,10/21/2024 16:04:40,16.793,,,,,
46,10/21/2024 16:14:40,16.814,,,,,
47,10/21/2024 16:24:40,16.825,,,,,
