lab_id,date_collected,site,lab_sample,date_rftmread1,rftm_reader1,rftm_intensity_read1,duplicate_read,date_rftmread2,rftm_reader2,rftm_intensity_read2,rftm_notes,rftm_final
0226ASHC_01,2026-02-19,ASHC,1,2026-03-04,Sarina Dery,0.5,FALSE,,,,,0.5
0226ASHC_02,2026-02-19,ASHC,2,2026-03-04,Sarina Dery,0.5,FALSE,,,,,0.5
0226ASHC_03,2026-02-19,ASHC,3,2026-03-04,Isaiah Mayo,0,FALSE,,,,,0
0226ASHC_04,2026-02-19,ASHC,4,2026-03-04,Isaiah Mayo,0.5,FALSE,,,,,0.5
0226ASHC_05,2026-02-19,ASHC,5,2026-03-04,Kyra Lenderman,0.5,TRUE,2026-03-04,Isaiah Mayo,0.5,,0.5
0226ASHC_06,2026-02-19,ASHC,6,2026-03-04,Kyra Lenderman,0.5,TRUE,2026-03-04,Isaiah Mayo,0.5,,0.5
0226ASHC_07,2026-02-19,ASHC,7,2026-03-04,Isaiah Mayo,0.5,FALSE,,,,,0.5
0226ASHC_08,2026-02-19,ASHC,8,2026-03-04,Isaiah Mayo,0.5,FALSE,,,,,0.5
0226ASHC_09,2026-02-19,ASHC,9,2026-03-04,Sarina Dery,1,FALSE,,,,,1
0226ASHC_10,2026-02-19,ASHC,10,2026-03-04,Sarina Dery,0.5,FALSE,,,,,0.5
0226ASHC_11,2026-02-19,ASHC,11,2026-03-04,Kyra Lenderman,1,FALSE,,,,,1
0226ASHC_12,2026-02-19,ASHC,12,2026-03-04,Kyra Lenderman,0.5,FALSE,,,,,0.5
0226ASHC_13,2026-02-19,ASHC,13,2026-03-04,Kyra Lenderman,0.5,FALSE,,,,,0.5
0226ASHC_14,2026-02-19,ASHC,14,2026-03-04,Kyra Lenderman,1,FALSE,,,,,1
0226ASHC_15,2026-02-19,ASHC,15,2026-03-04,Kyra Lenderman,0.5,FALSE,,,,,0.5
0226ASHC_16,2026-02-19,ASHC,16,2026-03-04,Kyra Lenderman,1,FALSE,,,,,1
0226ASHC_17,2026-02-19,ASHC,17,2026-03-04,Isaiah Mayo,0.5,FALSE,,,,,0.5
0226ASHC_18,2026-02-19,ASHC,18,2026-03-04,Isaiah Mayo,0.5,FALSE,,,,,0.5
0226ASHC_19,2026-02-19,ASHC,19,2026-03-04,Sarina Dery,1,FALSE,,,,,1
0226ASHC_20,2026-02-19,ASHC,20,2026-03-04,Sarina Dery,2,FALSE,,,,,2
0226ASHC_21,2026-02-19,ASHC,21,2026-03-04,Sarina Dery,1,FALSE,,,,,1
0226ASHC_22,2026-02-19,ASHC,22,2026-03-04,Sarina Dery,0,FALSE,,,,,0
0226ASHC_23,2026-02-19,ASHC,23,2026-03-04,Isaiah Mayo,0,FALSE,,,,,0
0226ASHC_24,2026-02-19,ASHC,24,2026-03-04,Isaiah Mayo,0.5,FALSE,,,,,0.5
0226ASHC_25,2026-02-19,ASHC,25,2026-03-04,Sarina Dery,0.5,FALSE,,,,,0.5
0226ASHC_26,2026-02-19,ASHC,26,2026-03-04,Sarina Dery,0.5,TRUE,2026-03-04,Kyra Lenderman,0.5,,0.5
0226ASHC_27,2026-02-19,ASHC,27,2026-03-04,Sarina Dery,0,FALSE,,,,,0
0226ASHC_28,2026-02-19,ASHC,28,2026-03-04,Sarina Dery,0,FALSE,,,,,0
0226ASHC_29,2026-02-19,ASHC,29,2026-03-04,Kyra Lenderman,0.5,FALSE,,,,,0.5
0226ASHC_30,2026-02-19,ASHC,30,2026-03-04,Kyra Lenderman,0.5,FALSE,,,,,0.5
