lab_id,date_collected,site,lab_sample,date_rftmread1,rftm_reader1,rftm_intensity_read1,duplicate_read,date_rftmread2,rftm_reader2,rftm_intensity_read2,rftm_notes,rftm_final
0125FENC_01,2025-01-08,FENC,1,2025-01-16,Kyra Lenderman,2,TRUE,2025-01-16,Isaiah Mayo,2,,2
0125FENC_02,2025-01-08,FENC,2,2025-01-16,Kyra Lenderman,2,TRUE,2025-01-16,Isaiah Mayo,2,,2
0125FENC_03,2025-01-08,FENC,3,2025-01-16,Isaiah Mayo,0.5,FALSE,,,,,0.5
0125FENC_04,2025-01-08,FENC,4,2025-01-16,Isaiah Mayo,1,FALSE,,,,,1
0125FENC_05,2025-01-08,FENC,5,2025-01-16,Kyra Lenderman,2,FALSE,,,,,2
0125FENC_06,2025-01-08,FENC,6,2025-01-16,Kyra Lenderman,0,TRUE,2025-01-16,Isaiah Mayo,0,,0
0125FENC_07,2025-01-08,FENC,7,2025-01-16,Isaiah Mayo,1,FALSE,,,,,1
0125FENC_08,2025-01-08,FENC,8,2025-01-16,Isaiah Mayo,1,FALSE,,,,,1
0125FENC_09,2025-01-08,FENC,9,2025-01-16,Isaiah Mayo,0.5,FALSE,,,,,0.5
0125FENC_10,2025-01-08,FENC,10,2025-01-16,Isaiah Mayo,0.5,FALSE,,,,,0.5
0125FENC_11,2025-01-08,FENC,11,2025-01-16,Isaiah Mayo,2,FALSE,,,,,2
0125FENC_12,2025-01-08,FENC,12,2025-01-16,Isaiah Mayo,0.5,FALSE,,,,,0.5
0125FENC_13,2025-01-08,FENC,13,2025-01-16,Kyra Lenderman,0,FALSE,,,,,0
0125FENC_14,2025-01-08,FENC,14,2025-01-16,Kyra Lenderman,1,FALSE,,,,,1
0125FENC_15,2025-01-08,FENC,15,2025-01-16,Isaiah Mayo,0.5,FALSE,,,,,0.5
0125FENC_16,2025-01-08,FENC,16,2025-01-16,Isaiah Mayo,0.5,FALSE,,,,,0.5
0125FENC_17,2025-01-08,FENC,17,2025-01-16,Kyra Lenderman,1,FALSE,,,,,1
0125FENC_18,2025-01-08,FENC,18,2025-01-16,Kyra Lenderman,0.5,FALSE,,,,,0.5
0125FENC_19,2025-01-08,FENC,19,2025-01-16,Isaiah Mayo,0,FALSE,,,,,0
0125FENC_20,2025-01-08,FENC,20,2025-01-16,Isaiah Mayo,1,FALSE,,,,,1
0125FENC_21,2025-01-08,FENC,21,2025-01-16,Isaiah Mayo,0.5,FALSE,,,,,0.5
0125FENC_22,2025-01-08,FENC,22,2025-01-16,Isaiah Mayo,0.5,FALSE,,,,,0.5
0125FENC_23,2025-01-08,FENC,23,2025-01-16,Kyra Lenderman,0.5,FALSE,,,,,0.5
0125FENC_24,2025-01-08,FENC,24,2025-01-16,Kyra Lenderman,0.5,FALSE,,,,,0.5
0125FENC_25,2025-01-08,FENC,25,2025-01-16,Kyra Lenderman,0,FALSE,,,,,0
0125FENC_26,2025-01-08,FENC,26,2025-01-16,Kyra Lenderman,1,FALSE,,,,,1
0125FENC_27,2025-01-08,FENC,27,2025-01-16,Isaiah Mayo,1,FALSE,,,,,1
0125FENC_28,2025-01-08,FENC,28,2025-01-16,Isaiah Mayo,1,FALSE,,,,,1
0125FENC_29,2025-01-08,FENC,29,2025-01-16,Isaiah Mayo,0.5,FALSE,,,,,0.5
0125FENC_30,2025-01-08,FENC,30,2025-01-16,Isaiah Mayo,0.5,FALSE,,,,,0.5
