lab_id,date_collected,site,lab_sample,date_rftmread1,rftm_reader1,rftm_intensity_read1,duplicate_read,date_rftmread2,rftm_reader2,rftm_intensity_read2,rftm_notes,rftm_final
0826GOLD_01,2026-08-19,GOLD,1,2026-08-27,Mariah Kachmar,0.5,FALSE,,,,,0.5
0826GOLD_02,2026-08-19,GOLD,2,2026-08-27,Mariah Kachmar,0,FALSE,,,,,0
0826GOLD_03,2026-08-19,GOLD,3,2026-08-27,Sarina Dery,0,FALSE,,,,,0
0826GOLD_04,2026-08-19,GOLD,4,2026-08-27,Sarina Dery,0,FALSE,,,,,0
0826GOLD_05,2026-08-19,GOLD,5,2026-08-27,Mariah Kachmar,0,FALSE,,,,,0
0826GOLD_06,2026-08-19,GOLD,6,2026-08-27,Mariah Kachmar,0.5,FALSE,,,,,0.5
0826GOLD_07,2026-08-19,GOLD,7,2026-08-27,Isaiah Mayo,0,FALSE,,,,,0
0826GOLD_08,2026-08-19,GOLD,8,2026-08-27,Isaiah Mayo,0,FALSE,,,,,0
0826GOLD_09,2026-08-19,GOLD,9,2026-08-27,Mariah Kachmar,0.5,FALSE,,,,,0.5
0826GOLD_10,2026-08-19,GOLD,10,2026-08-27,Mariah Kachmar,0.5,FALSE,,,,,0.5
0826GOLD_11,2026-08-19,GOLD,11,2026-08-27,Sarina Dery,1,TRUE,2026-08-27,Kyra Lenderman,1,,1
0826GOLD_12,2026-08-19,GOLD,12,2026-08-27,Sarina Dery,0,TRUE,2026-08-27,Kyra Lenderman,0.5,,0.5
0826GOLD_13,2026-08-19,GOLD,13,,,,,,,,No tissue present ,
0826GOLD_14,2026-08-19,GOLD,14,2026-08-27,Isaiah Mayo,0,FALSE,,,,,0
0826GOLD_15,2026-08-19,GOLD,15,2026-08-27,Isaiah Mayo,1,FALSE,,,,,1
0826GOLD_16,2026-08-19,GOLD,16,2026-08-27,Isaiah Mayo,0,FALSE,,,,,0
0826GOLD_17,2026-08-19,GOLD,17,2026-08-27,Mariah Kachmar,0.5,FALSE,,,,,0.5
0826GOLD_18,2026-08-19,GOLD,18,2026-08-27,Mariah Kachmar,0.5,FALSE,,,,,0.5
0826GOLD_19,2026-08-19,GOLD,19,2026-08-27,Sarina Dery,0,FALSE,,,,,0
0826GOLD_20,2026-08-19,GOLD,20,2026-08-27,Sarina Dery,1,FALSE,,,,,1
0826GOLD_21,2026-08-19,GOLD,21,2026-08-27,Isaiah Mayo,0.5,FALSE,,,,,0.5
0826GOLD_22,2026-08-19,GOLD,22,2026-08-27,Isaiah Mayo,1,FALSE,,,,,1
0826GOLD_23,2026-08-19,GOLD,23,2026-08-27,Mariah Kachmar,0,FALSE,,,,,0
0826GOLD_24,2026-08-19,GOLD,24,2026-08-27,Mariah Kachmar,1,FALSE,,,,,1
0826GOLD_25,2026-08-19,GOLD,25,2026-08-27,Kyra Lenderman,0.5,FALSE,,,,,0.5
0826GOLD_26,2026-08-19,GOLD,26,2026-08-27,Kyra Lenderman,3,TRUE,2026-08-27,Isaiah Mayo,3,,3
0826GOLD_27,2026-08-19,GOLD,27,2026-08-27,Mariah Kachmar,1,FALSE,,,,,1
0826GOLD_28,2026-08-19,GOLD,28,2026-08-27,Mariah Kachmar,2,FALSE,,,,,2
0826GOLD_29,2026-08-19,GOLD,29,2026-08-27,Isaiah Mayo,0.5,FALSE,,,,,0.5
0826GOLD_30,2026-08-19,GOLD,30,2026-08-27,Isaiah Mayo,0,FALSE,,,,,0
