lab_id,date_collected,site,lab_sample,date_rftmread1,rftm_reader1,rftm_intensity_read1,duplicate_read,date_rftmread2,rftm_reader2,rftm_intensity_read2,rftm_notes,rftm_final
0626GOLD_01,2026-06-16,GOLD,1,2026-06-23,Mariah Kachmar,0.5,FALSE,,,,,0.5
0626GOLD_02,2026-06-16,GOLD,2,2026-06-23,Mariah Kachmar,0.5,FALSE,,,,,0.5
0626GOLD_03,2026-06-16,GOLD,3,2026-06-23,Sarina Dery,0,FALSE,,,,,0
0626GOLD_04,2026-06-16,GOLD,4,2026-06-23,Sarina Dery,0,FALSE,,,,,0
0626GOLD_05,2026-06-16,GOLD,5,2026-06-23,Kyra Lenderman,0.5,TRUE,2026-06-23,Rebecca Rivera,0.5,,0.5
0626GOLD_06,2026-06-16,GOLD,6,2026-06-23,Kyra Lenderman,0.5,TRUE,2026-06-23,Rebecca Rivera,0.5,,0.5
0626GOLD_07,2026-06-16,GOLD,7,2026-06-23,Sarina Dery,0,FALSE,,,,,0
0626GOLD_08,2026-06-16,GOLD,8,2026-06-23,Sarina Dery,0,FALSE,,,,,0
0626GOLD_09,2026-06-16,GOLD,9,2026-06-23,Mariah Kachmar,0,FALSE,,,,,0
0626GOLD_10,2026-06-16,GOLD,10,2026-06-23,Mariah Kachmar,0.5,FALSE,,,,,0.5
0626GOLD_11,2026-06-16,GOLD,11,2026-06-23,Sarina Dery,0.5,FALSE,,,,,0.5
0626GOLD_12,2026-06-16,GOLD,12,2026-06-23,Sarina Dery,0,FALSE,,,,,0
0626GOLD_13,2026-06-16,GOLD,13,2026-06-23,Kyra Lenderman,0.5,FALSE,,,,,0.5
0626GOLD_14,2026-06-16,GOLD,14,2026-06-23,Kyra Lenderman,0.5,FALSE,,,,,0.5
0626GOLD_15,2026-06-16,GOLD,15,2026-06-23,Sarina Dery,0,FALSE,,,,,0
0626GOLD_16,2026-06-16,GOLD,16,2026-06-23,Sarina Dery,0,FALSE,,,,,0
0626GOLD_17,2026-06-16,GOLD,17,2026-06-23,Mariah Kachmar,0.5,FALSE,,,,,0.5
0626GOLD_18,2026-06-16,GOLD,18,2026-06-23,Mariah Kachmar,0.5,FALSE,,,,,0.5
0626GOLD_19,2026-06-16,GOLD,19,2026-06-23,Sarina Dery,0,FALSE,,,,,0
0626GOLD_20,2026-06-16,GOLD,20,2026-06-23,Sarina Dery,1,TRUE,2026-06-23,Mariah Kachmar,1,,1
0626GOLD_21,2026-06-16,GOLD,21,2026-06-23,Kyra Lenderman,0,TRUE,2026-06-23,Sarina Dery,0,,0
0626GOLD_22,2026-06-16,GOLD,22,2026-06-23,Kyra Lenderman,0.5,TRUE,2026-06-23,Sarina Dery,0,,0
0626GOLD_23,2026-06-16,GOLD,23,2026-06-23,Mariah Kachmar,0,TRUE,2026-06-23,Aaron Picket,0,,0
0626GOLD_24,2026-06-16,GOLD,24,2026-06-23,Mariah Kachmar,0.5,TRUE,2026-06-23,Aaron Picket,0.5,,0.5
0626GOLD_25,2026-06-16,GOLD,25,2026-06-23,Mariah Kachmar,0,FALSE,,,,,0
0626GOLD_26,2026-06-16,GOLD,26,2026-06-23,Mariah Kachmar,0.5,FALSE,,,,,0.5
0626GOLD_27,2026-06-16,GOLD,27,2026-06-23,Sarina Dery,0,FALSE,,,,,0
0626GOLD_28,2026-06-16,GOLD,28,2026-06-23,Sarina Dery,0,FALSE,,,,,0
0626GOLD_29,2026-06-16,GOLD,29,2026-06-23,Sarina Dery,0,FALSE,,,,,0
0626GOLD_30,2026-06-16,GOLD,30,2026-06-23,Sarina Dery,0,FALSE,,,,,0
