lab_id,date_collected,site,lab_sample,date_rftmread1,rftm_reader1,rftm_intensity_read1,duplicate_read,date_rftmread2,rftm_reader2,rftm_intensity_read2,rftm_notes,rftm_final
1024ASHC_01,2024-10-21,ASHC,1,2024-10-28,Isaiah Mayo,2,FALSE,,,,,2
1024ASHC_02,2024-10-21,ASHC,2,2024-10-28,Isaiah Mayo,2,FALSE,,,,,2
1024ASHC_03,2024-10-21,ASHC,3,2024-10-28,Kyra Lenderman,0.5,FALSE,,,,,0.5
1024ASHC_04,2024-10-21,ASHC,4,2024-10-28,Kyra Lenderman,2,FALSE,,,,,2
1024ASHC_05,2024-10-21,ASHC,5,2024-10-28,Kyra Lenderman,0.5,FALSE,,,,,0.5
1024ASHC_06,2024-10-21,ASHC,6,2024-10-28,Kyra Lenderman,2,FALSE,,,,,2
1024ASHC_07,2024-10-21,ASHC,7,2024-10-28,Kyra Lenderman,3,TRUE,2024-10-28,Isaiah Mayo,3,,3
1024ASHC_08,2024-10-21,ASHC,8,2024-10-28,Kyra Lenderman,0.5,TRUE,2024-10-28,Isaiah Mayo,0.5,,0.5
1024ASHC_09,2024-10-21,ASHC,9,2024-10-28,Isaiah Mayo,2,FALSE,,,,,2
1024ASHC_10,2024-10-21,ASHC,10,2024-10-28,Isaiah Mayo,2,FALSE,,,,,2
1024ASHC_11,2024-10-21,ASHC,11,2024-10-28,Isaiah Mayo,1,FALSE,,,,,1
1024ASHC_12,2024-10-21,ASHC,12,2024-10-28,Isaiah Mayo,2,FALSE,,,,,2
1024ASHC_13,2024-10-21,ASHC,13,2024-10-28,Kyra Lenderman,0.5,FALSE,,,,,0.5
1024ASHC_14,2024-10-21,ASHC,14,2024-10-28,Kyra Lenderman,4,TRUE,2024-10-28,Isaiah Mayo,4,,4
1024ASHC_15,2024-10-21,ASHC,15,2024-10-28,Isaiah Mayo,2,FALSE,,,,,2
1024ASHC_16,2024-10-21,ASHC,16,2024-10-28,Isaiah Mayo,1,FALSE,,,,,1
1024ASHC_17,2024-10-21,ASHC,17,2024-10-28,Kyra Lenderman,3,FALSE,,,,,3
1024ASHC_18,2024-10-21,ASHC,18,2024-10-28,Kyra Lenderman,2,FALSE,,,,,2
1024ASHC_19,2024-10-21,ASHC,19,2024-10-28,Kyra Lenderman,2,FALSE,,,,,2
1024ASHC_20,2024-10-21,ASHC,20,2024-10-28,Kyra Lenderman,0,FALSE,,,,,0
1024ASHC_21,2024-10-21,ASHC,21,2024-10-28,Kyra Lenderman,2,FALSE,,,,,2
1024ASHC_22,2024-10-21,ASHC,22,2024-10-28,Kyra Lenderman,2,FALSE,,,,,2
1024ASHC_23,2024-10-21,ASHC,23,2024-10-28,Kyra Lenderman,0.5,FALSE,,,,,0.5
1024ASHC_24,2024-10-21,ASHC,24,2024-10-28,Kyra Lenderman,3,FALSE,,,,,3
1024ASHC_25,2024-10-21,ASHC,25,2024-10-29,Kyra Lenderman,2,FALSE,,,,,2
1024ASHC_26,2024-10-21,ASHC,26,2024-10-29,Kyra Lenderman,3,FALSE,,,,,3
1024ASHC_27,2024-10-21,ASHC,27,2024-10-29,Kyra Lenderman,0.5,FALSE,,,,,0.5
1024ASHC_28,2024-10-21,ASHC,28,2024-10-29,Kyra Lenderman,1,FALSE,,,,,1
1024ASHC_29,2024-10-21,ASHC,29,2024-10-29,Kelly Roper,3,FALSE,,,,,3
1024ASHC_30,2024-10-21,ASHC,30,2024-10-29,Kelly Roper,1,FALSE,,,,,1
