lab_id,date_collected,site,lab_sample,date_rftmread1,rftm_reader1,rftm_intensity_read1,duplicate_read,date_rftmread2,rftm_reader2,rftm_intensity_read2,rftm_notes,rftm_final
0526GOLD_01,2026-05-26,GOLD,1,2026-06-03,Kyra Lenderman,0.5,FALSE,,,,,0.5
0526GOLD_02,2026-05-26,GOLD,2,2026-06-03,Kyra Lenderman,0,FALSE,,,,,0
0526GOLD_03,2026-05-26,GOLD,3,2026-06-03,Mariah Kachmar,1,TRUE,2026-06-03,Rebecca Rivera,1,,1
0526GOLD_04,2026-05-26,GOLD,4,2026-06-03,Mariah Kachmar,0.5,TRUE,2026-06-03,Rebecca Rivera,0.5,,0.5
0526GOLD_05,2026-05-26,GOLD,5,2026-06-03,Isaiah Mayo,0,FALSE,,,,,0
0526GOLD_06,2026-05-26,GOLD,6,2026-06-03,Isaiah Mayo,0.5,FALSE,,,,,0.5
0526GOLD_07,2026-05-26,GOLD,7,2026-06-03,Aaron Picket,0,TRUE,2026-06-03,Kyra Lenderman,0.5,,0.5
0526GOLD_08,2026-05-26,GOLD,8,2026-06-03,Aaron Picket,0,TRUE,2026-06-03,Kyra Lenderman,0.5,,0.5
0526GOLD_09,2026-05-26,GOLD,9,2026-06-03,Isaiah Mayo,0,FALSE,,,,,0
0526GOLD_10,2026-05-26,GOLD,10,2026-06-03,Isaiah Mayo,0,FALSE,,,,,0
0526GOLD_11,2026-05-26,GOLD,11,2026-06-03,Kyra Lenderman,0,FALSE,,,,,0
0526GOLD_12,2026-05-26,GOLD,12,2026-06-03,Kyra Lenderman,0.5,FALSE,,,,,0.5
0526GOLD_13,2026-05-26,GOLD,13,2026-06-03,Isaiah Mayo,0.5,TRUE,2026-06-03,Kyra Lenderman,0.5,,0.5
0526GOLD_14,2026-05-26,GOLD,14,2026-06-03,Isaiah Mayo,0.5,FALSE,,,,,0.5
0526GOLD_15,2026-05-26,GOLD,15,2026-06-03,Isaiah Mayo,0.5,FALSE,,,,,0.5
0526GOLD_16,2026-05-26,GOLD,16,2026-06-03,Isaiah Mayo,0.5,FALSE,,,,,0.5
0526GOLD_17,2026-05-26,GOLD,17,2026-06-03,Isaiah Mayo,1,TRUE,2026-06-03,Kyra Lenderman,2,,2
0526GOLD_18,2026-05-26,GOLD,18,2026-06-03,Isaiah Mayo,0,TRUE,2026-06-03,Kyra Lenderman,0.5,,0.5
0526GOLD_19,2026-05-26,GOLD,19,2026-06-03,Mariah Kachmar,0.5,FALSE,,,,,0.5
0526GOLD_20,2026-05-26,GOLD,20,2026-06-03,Mariah Kachmar,0.5,FALSE,,,,,0.5
0526GOLD_21,2026-05-26,GOLD,21,2026-06-03,Rebecca Rivera,0.5,TRUE,2026-06-03,Kyra Lenderman,0.5,,0.5
0526GOLD_22,2026-05-26,GOLD,22,2026-06-03,Rebecca Rivera,0.5,TRUE,2026-06-03,Kyra Lenderman,0.5,,0.5
0526GOLD_23,2026-05-26,GOLD,23,2026-06-03,Kyra Lenderman,0,FALSE,,,,,0
0526GOLD_24,2026-05-26,GOLD,24,2026-06-03,Kyra Lenderman,0.5,FALSE,,,,,0.5
0526GOLD_25,2026-05-26,GOLD,25,2026-06-03,Sarina Dery,0,FALSE,,,,,0
0526GOLD_26,2026-05-26,GOLD,26,2026-06-03,Sarina Dery,0,FALSE,,,,,0
0526GOLD_27,2026-05-26,GOLD,27,2026-06-03,Rebecca Rivera,0.5,TRUE,2026-06-03,Mariah Kachmar,0.5,,0.5
0526GOLD_28,2026-05-26,GOLD,28,2026-06-03,Rebecca Rivera,0.5,TRUE,2026-06-03,Mariah Kachmar,0.5,,0.5
0526GOLD_29,2026-05-26,GOLD,29,2026-06-03,Sarina Dery,0,FALSE,,,,,0
0526GOLD_30,2026-05-26,GOLD,30,2026-06-03,Sarina Dery,0,FALSE,,,,,0
