lab_id,date_collected,site,lab_sample,date_rftmread1,rftm_reader1,rftm_intensity_read1,duplicate_read,date_rftmread2,rftm_reader2,rftm_intensity_read2,rftm_notes,rftm_final
0425ASHC_01,2025-04-01,ASHC,1,2025-04-07,Mariah Kachmar,0,FALSE,,,,,0
0425ASHC_02,2025-04-01,ASHC,2,2025-04-07,Mariah Kachmar,0,FALSE,,,,,0
0425ASHC_03,2025-04-01,ASHC,3,2025-04-07,Kyra Lenderman,0.5,FALSE,,,,,0.5
0425ASHC_04,2025-04-01,ASHC,4,2025-04-07,Kyra Lenderman,0,FALSE,,,,,0
0425ASHC_05,2025-04-01,ASHC,5,2025-04-07,Kyra Lenderman,0.5,FALSE,,,,,0.5
0425ASHC_06,2025-04-01,ASHC,6,2025-04-07,Kyra Lenderman,0.5,FALSE,,,,,0.5
0425ASHC_07,2025-04-01,ASHC,7,2025-04-07,Mariah Kachmar,0,FALSE,,,,,0
0425ASHC_08,2025-04-01,ASHC,8,2025-04-07,Mariah Kachmar,0,FALSE,,,,,0
0425ASHC_09,2025-04-01,ASHC,9,2025-04-07,Sarina Dery,0.5,FALSE,,,,,0.5
0425ASHC_10,2025-04-01,ASHC,10,2025-04-07,Sarina Dery,0.5,FALSE,,,,,0.5
0425ASHC_11,2025-04-01,ASHC,11,2025-04-07,Kyra Lenderman,0.5,FALSE,,,,,0.5
0425ASHC_12,2025-04-01,ASHC,12,2025-04-07,Kyra Lenderman,0,FALSE,,,,,0
0425ASHC_13,2025-04-01,ASHC,13,2025-04-07,Kyra Lenderman,0.5,FALSE,,,,,0.5
0425ASHC_14,2025-04-01,ASHC,14,2025-04-07,Kyra Lenderman,0.5,FALSE,,,,,0.5
0425ASHC_15,2025-04-01,ASHC,15,2025-04-08,Sarina Dery,0.5,FALSE,,,,,0.5
0425ASHC_16,2025-04-01,ASHC,16,2025-04-08,Isaiah Mayo,0,FALSE,,,,,0
0425ASHC_17,2025-04-01,ASHC,17,2025-04-08,Isaiah Mayo,0.5,FALSE,,,,,0.5
0425ASHC_18,2025-04-01,ASHC,18,2025-04-08,Isaiah Mayo,0.5,FALSE,,,,,0.5
0425ASHC_19,2025-04-01,ASHC,19,2025-04-08,Isaiah Mayo,0,FALSE,,,,,0
0425ASHC_20,2025-04-01,ASHC,20,2025-04-08,Kyra Lenderman,0.5,FALSE,,,,,0.5
0425ASHC_21,2025-04-01,ASHC,21,2025-04-08,Kyra Lenderman,1,FALSE,,,,,1
0425ASHC_22,2025-04-01,ASHC,22,2025-04-08,Isaiah Mayo,0.5,FALSE,,,,,0.5
0425ASHC_23,2025-04-01,ASHC,23,2025-04-08,Isaiah Mayo,0.5,FALSE,,,,,0.5
0425ASHC_24,2025-04-01,ASHC,24,2025-04-08,Kyra Lenderman,1,TRUE,2025-04-08,Sarina Dery,1,,1
0425ASHC_25,2025-04-01,ASHC,25,2025-04-08,Kyra Lenderman,0.5,TRUE,2025-04-08,Sarina Dery,0.5,,0.5
0425ASHC_26,2025-04-01,ASHC,26,2025-04-08,Isaiah Mayo,0.5,FALSE,,,,,0.5
0425ASHC_27,2025-04-01,ASHC,27,2025-04-08,Isaiah Mayo,0,FALSE,,,,,0
0425ASHC_28,2025-04-01,ASHC,28,2025-04-08,Sarina Dery,0.5,FALSE,,,,,0.5
0425ASHC_29,2025-04-01,ASHC,29,2025-04-08,Sarina Dery,0.5,FALSE,,,,,0.5
0425ASHC_30,2025-04-01,ASHC,30,2025-04-08,Sarina Dery,1,TRUE,2025-04-08,Isaiah Mayo,1,,1
