lab_id,date_collected,site,lab_sample,date_rftmread1,rftm_reader1,rftm_intensity_read1,duplicate_read,date_rftmread2,rftm_reader2,rftm_intensity_read2,rftm_notes,rftm_final
0726ASHC_01,2026-07-20,ASHC,1,2026-07-27,Sarina Dery,0.5,FALSE,,,,,0.5
0726ASHC_02,2026-07-20,ASHC,2,2026-07-27,Sarina Dery,0.5,FALSE,,,,,0.5
0726ASHC_03,2026-07-20,ASHC,3,2026-07-27,Mariah Kachmar,2,TRUE,2026-07-27,Aaron Pickett,2,,2
0726ASHC_04,2026-07-20,ASHC,4,2026-07-27,Mariah Kachmar,2,TRUE,2026-07-27,Aaron Pickett,2,,2
0726ASHC_05,2026-07-20,ASHC,5,2026-07-27,Sarina Dery,2,FALSE,,,,,2
0726ASHC_06,2026-07-20,ASHC,6,2026-07-27,Sarina Dery,1,FALSE,,,,,1
0726ASHC_07,2026-07-20,ASHC,7,2026-07-27,Mariah Kachmar,1,FALSE,,,,,1
0726ASHC_08,2026-07-20,ASHC,8,2026-07-27,Mariah Kachmar,0,FALSE,,,,,0
0726ASHC_09,2026-07-20,ASHC,9,2026-07-27,Mariah Kachmar,1,FALSE,,,,,1
0726ASHC_10,2026-07-20,ASHC,10,2026-07-27,Mariah Kachmar,0,FALSE,,,,,0
0726ASHC_11,2026-07-20,ASHC,11,2026-07-27,Sarina Dery,1,FALSE,,,,,1
0726ASHC_12,2026-07-20,ASHC,12,2026-07-27,Sarina Dery,0.5,FALSE,,,,,0.5
0726ASHC_13,2026-07-20,ASHC,13,2026-07-27,Mariah Kachmar,1,FALSE,,,,,1
0726ASHC_14,2026-07-20,ASHC,14,2026-07-27,Mariah Kachmar,1,FALSE,,,,,1
0726ASHC_15,2026-07-20,ASHC,15,2026-07-27,Sarina Dery,1,FALSE,,,,,1
0726ASHC_16,2026-07-20,ASHC,16,2026-07-27,Sarina Dery,0,FALSE,,,,,0
0726ASHC_17,2026-07-20,ASHC,17,2026-07-27,Isaiah Mayo,0.5,FALSE,,,,,0.5
0726ASHC_18,2026-07-20,ASHC,18,2026-07-27,Isaiah Mayo,0,FALSE,,,,,0
0726ASHC_19,2026-07-20,ASHC,19,2026-07-27,Mariah Kachmar,1,FALSE,,,,,1
0726ASHC_20,2026-07-20,ASHC,20,2026-07-27,Mariah Kachmar,1,FALSE,,,,,1
0726ASHC_21,2026-07-20,ASHC,21,2026-07-27,Mariah Kachmar,1,FALSE,,,,,1
0726ASHC_22,2026-07-20,ASHC,22,2026-07-27,Mariah Kachmar,0,FALSE,,,,,0
0726ASHC_23,2026-07-20,ASHC,23,2026-07-27,Aaron Pickett,0.5,TRUE,2026-07-27,Mariah Kachmar,0.5,,0.5
0726ASHC_24,2026-07-20,ASHC,24,2026-07-27,Aaron Pickett,0.5,TRUE,2026-07-27,Mariah Kachmar,0.5,,0.5
0726ASHC_25,2026-07-20,ASHC,25,2026-07-27,Isaiah Mayo,0.5,FALSE,,,,,0.5
0726ASHC_26,2026-07-20,ASHC,26,2026-07-27,Isaiah Mayo,0.5,FALSE,,,,,0.5
0726ASHC_27,2026-07-20,ASHC,27,2026-07-27,Isaiah Mayo,0.5,FALSE,,,,,0.5
0726ASHC_28,2026-07-20,ASHC,28,2026-07-27,Isaiah Mayo,1,FALSE,,,,,1
0726ASHC_29,2026-07-20,ASHC,29,2026-07-27,Sarina Dery,1,FALSE,,,,,1
0726ASHC_30,2026-07-20,ASHC,30,2026-07-27,Sarina Dery,0.5,FALSE,,,,,0.5
