"Sample_ID","site","rftm_final","mackin_score","Copies_ul_ng.ul","results","rerun_assay","rerun_date","rerun_result","rerun_mackin_score","rerun_status"
"0423ASHC_02","ASHC",0.5,0,8.19319265031709,"FALSE",NA,NA,NA,NA,"Pending"
"0423FENC_14","FENC",1,0,NA,"FALSE",NA,NA,NA,NA,"Pending"
"0423FENC_27","FENC",0.5,0,NA,"FALSE",NA,NA,NA,NA,"Pending"
"0523FENC_02","FENC",0.5,0,NA,"FALSE",NA,NA,NA,NA,"Pending"
"0523FENC_03","FENC",0.5,0,NA,"FALSE",NA,NA,NA,NA,"Pending"
"0523FENC_09","FENC",0.5,0,NA,"FALSE",NA,NA,NA,NA,"Pending"
"0523FENC_14","FENC",0.5,0,NA,"FALSE",NA,NA,NA,NA,"Pending"
"0523FENC_17","FENC",0.5,0,NA,"FALSE",NA,NA,NA,NA,"Pending"
"0523FENC_18","FENC",0.5,0,NA,"FALSE",NA,NA,NA,NA,"Pending"
"0523FENC_20","FENC",0.5,0,NA,"FALSE",NA,NA,NA,NA,"Pending"
"0523GOLD_01","GOLD",0.5,0,NA,"FALSE",NA,NA,NA,NA,"Pending"
"0523GOLD_08","GOLD",0.5,0,NA,"FALSE",NA,NA,NA,NA,"Pending"
"0523GOLD_13","GOLD",0.5,0,NA,"FALSE",NA,NA,NA,NA,"Pending"
"0523GOLD_24","GOLD",0.5,0,NA,"FALSE",NA,NA,NA,NA,"Pending"
"0523GOLD_27","GOLD",0.5,0,NA,"FALSE",NA,NA,NA,NA,"Pending"
"0523GOLD_30","GOLD",0.5,0,NA,"FALSE",NA,NA,NA,NA,"Pending"
"0623GOLD_02","GOLD",0.5,0,NA,"FALSE",NA,NA,NA,NA,"Pending"
"0623GOLD_04","GOLD",0.5,0,NA,"FALSE",NA,NA,NA,NA,"Pending"
"0623GOLD_06","GOLD",0.5,0,NA,"FALSE",NA,NA,NA,NA,"Pending"
"0623GOLD_07","GOLD",0.5,0,NA,"FALSE",NA,NA,NA,NA,"Pending"
"0623GOLD_08","GOLD",0.5,0,NA,"FALSE",NA,NA,NA,NA,"Pending"
"0623GOLD_09","GOLD",0.5,0,NA,"FALSE",NA,NA,NA,NA,"Pending"
"0623GOLD_10","GOLD",0.5,0,NA,"FALSE",NA,NA,NA,NA,"Pending"
"0623GOLD_13","GOLD",0.5,0,NA,"FALSE",NA,NA,NA,NA,"Pending"
"0623GOLD_16","GOLD",0.5,0,NA,"FALSE",NA,NA,NA,NA,"Pending"
"0623GOLD_20","GOLD",0.5,0,NA,"FALSE",NA,NA,NA,NA,"Pending"
"0623GOLD_21","GOLD",0.5,0,NA,"FALSE",NA,NA,NA,NA,"Pending"
"0623GOLD_22","GOLD",0.5,0,NA,"FALSE",NA,NA,NA,NA,"Pending"
"0623GOLD_23","GOLD",0.5,0,NA,"FALSE",NA,NA,NA,NA,"Pending"
"0623GOLD_25","GOLD",0.5,0,NA,"FALSE",NA,NA,NA,NA,"Pending"
"0623GOLD_29","GOLD",0.5,0,NA,"FALSE",NA,NA,NA,NA,"Pending"
"0723ASHC_27","ASHC",1,0.5,33.9659880182143,"FALSE",NA,NA,NA,NA,"Pending"
"0723GOLD_03","GOLD",0.5,0,NA,"FALSE",NA,NA,NA,NA,"Pending"
"0823ASHC_05","ASHC",3,2,4645.63714604328,"FALSE",NA,NA,NA,NA,"Pending"
"0823ASHC_09","ASHC",4,3,38198.6781227778,"FALSE",NA,NA,NA,NA,"Pending"
"0823ASHC_10","ASHC",4,3,54487.978212376,"FALSE",NA,NA,NA,NA,"Pending"
"0823ASHC_11","ASHC",4,3,24225.2030307786,"FALSE",NA,NA,NA,NA,"Pending"
"0823ASHC_14","ASHC",3,2,4156.03756350393,"FALSE",NA,NA,NA,NA,"Pending"
"0823ASHC_21","ASHC",4,3,57925.0685378906,"FALSE",NA,NA,NA,NA,"Pending"
"0823ASHC_22","ASHC",2,1,1623.82338427886,"FALSE",NA,NA,NA,NA,"Pending"
"0823FENC_18","FENC",3,2,4410.63419056416,"FALSE",NA,NA,NA,NA,"Pending"
"0823FENC_20","FENC",3,2,8372.41908240517,"FALSE",NA,NA,NA,NA,"Pending"
