Date collected,Location,Time of collection,Date run,Time of run, ,Salinity,t(oC) spec,P (dbars),Total P (mmol/kgSW),Total Si (mmol/kgSW),t(oC) of field,P (dbars),TA (mmol/kgSW),TCO2 (mmol/kgSW),pH Chosen scale (4 decimals),Sonde pH,Sonde Date_Time,Sonde pH,Sonde salinity,"Sonde Temp, deg C",comments,Cosys results from,pH out,fCO2 out (matm),pCO2 out (matm),HCO3 out (mmol/kgSW),CO3 out (mmol/kgSW),CO2 out (mmol/kgSW),B Alk out (mmol/kgSW),OH out (mmol/kgSW),P Alk out (mmol/kgSW),Si Alk out (mmol/kgSW),Revelle out,WCa out,WAr out,xCO2 out (dry at 1 atm) (ppm)
7/10/2023,Ash Creek,12:13,7/11/2023,10:00 AM,,12.2,22.96,1,0,0,24.58079,1,1382.506,,7.3661,7.294135,7/10/2023 11:20,7.294135,16.56936,24.58079,"third last reading in log. Salinity declined from ~25 at 08:30, but just stabilizing; pH undergong decline from >7.8 at 06:30",TA + pH only,7.349,1793.3,1799.1,1343,16.8,58,5.2,0.7,0,0,17.821,0.49,0.29,1855.2
7/12/2023,Fence Creek,,7/13/2023,11:45 AM,,17.7,22.98,1,0,0,25.69087,1,1823.94,,6.9946,7.170078,7/12/2023 12:52,7.170078,20.12965,25.69087,"third last reading in log. Salinity had been increasing from ~25 since 10:30am; pH declining from ~7.9 since 08:30, but leveling off.",TA + pH only,6.969,5357.4,5374.4,1796.2,11.8,163.5,3.9,0.4,0,0,10.999,0.33,0.2,5553.5
7/17/2023,Laurel Hollow,,7/19/2023,10:30,,25.9,22.99,1,0,0,23.94247,1,1862.756,,7.5445,7.751295,7/17/2023 10:26,7.751295,27.16571,23.94247,"Live sonde reading with sensors in Quick Cal, pH = 7.12 @ 27.20 deg C, specific conduct = 8384.2",TA + pH only,7.532,1291.8,1296,1739.1,49.9,39.5,22.2,1.6,0,0,17.551,1.29,0.82,1334.6
7/17/2023,Gold Star,,7/19/2023,10:30,,25.8,22.98,1,0,0,24.28702,1,1846.247,,7.617,7.801925,7/17/2023 11:47,7.801925,26.35307,24.28702,"Live sonde reading with sensors in Quick Cal, pH = 7.02 @ 32.01 deg C, specific conduct = 7992",TA + pH only,7.599,1086.7,1090.2,1703.3,57.7,33,25.7,1.9,0,0,16.903,1.49,0.95,1123.3
8/7/2023,Ash Creek,10:30,8/8/2023,9:30,,17.05,23.15,1,0,0,23.3,1,1437.591,,7.0203,7.235129,8/7/2023 10:30,,,,,TA + pH only,7.019,3738.6,3750.8,1414.8,9.3,121.9,3.9,0.4,0,0,11.437,0.26,0.16,3858.7
8/9/2023,Fence Creek,,8/10/2023,12:15,,18.26,23.85,1,0,0,24.9,1,1865.114,,7.0129,7.225891,8/9/2023 11:42,,,,,TA + pH only,7.003,5004.5,5020.6,1834.8,12.8,155.4,4.3,0.4,0,0,11.607,0.35,0.22,5179.9
8/14/2023,Laurel Hollow,11:00,8/16/2023,12:00,,26.87,23.06,1,0,0,24.66,1,1857.213,,7.6368,7.873167,8/14/2023 10:36,,,,I wonder if the samples between Laurel Hollow and Gold Star have been flipped just looking at the previous pH values and,TA + pH only,7.615,1041.2,1044.6,1701.9,62.4,31.1,28.4,2.1,0,0,16.346,1.6,1.03,1077.1
8/14/2023,Gold Star,,8/16/2023,12:15,,26.27,22.93,1,0,0,24.3362,1,1839.706,,7.5404,7.672818,8/14/2023 12:27,,,,that's whay we are monitoring and repeating,TA + pH only,7.522,1304.3,1308.5,1716.9,49.4,39.4,22.4,1.6,0,0,17.401,1.27,0.81,1348.4
9/5/2023,Ash Creek,10:00,9/7/2023,10:30,,25.37,22.67,1,0,0,24.09,1,1815.425,,7.3196,7.4,9/5/2023,,,,,TA + pH only,7.303,2203.1,2210.2,1742.8,29.3,67.3,13.1,0.9,0,0,17.114,0.76,0.48,2276.7
9/6/2023,Fence Creek,10:00,9/7/2023,10:30,,22.9,22.6,1,0,0,24.06,1,1880.823,,6.9438,7.08,,,,,,TA + pH only,6.93,5651.2,5669.5,1851.2,12.2,175.1,4.9,0.4,0,0,10.601,0.32,0.2,5839.9
