date_deployed,date_collected,Site,Replicate,Shell,Side,Count_1,Count_2
2026-05-20,2026-08-18,ASHC,A,1,top,9,9
2026-05-20,2026-08-18,ASHC,A,1,bottom,21,21
2026-05-20,2026-08-18,ASHC,A,2,top,25,25
2026-05-20,2026-08-18,ASHC,A,2,bottom,20,20
2026-05-20,2026-08-18,ASHC,A,3,top,12,12
2026-05-20,2026-08-18,ASHC,A,3,bottom,12,12
2026-05-20,2026-08-18,ASHC,A,4,top,36,38
2026-05-20,2026-08-18,ASHC,A,4,bottom,19,19
2026-05-20,2026-08-18,ASHC,A,5,top,41,41
2026-05-20,2026-08-18,ASHC,A,5,bottom,16,16
2026-05-20,2026-08-18,ASHC,A,6,top,17,17
2026-05-20,2026-08-18,ASHC,A,6,bottom,10,10
2026-05-20,2026-08-18,ASHC,B,1,top,19,19
2026-05-20,2026-08-18,ASHC,B,1,bottom,6,6
2026-05-20,2026-08-18,ASHC,B,2,top,22,22
2026-05-20,2026-08-18,ASHC,B,2,bottom,11,11
2026-05-20,2026-08-18,ASHC,B,3,top,15,15
2026-05-20,2026-08-18,ASHC,B,3,bottom,6,6
2026-05-20,2026-08-18,ASHC,B,4,top,22,22
2026-05-20,2026-08-18,ASHC,B,4,bottom,7,7
2026-05-20,2026-08-18,ASHC,B,5,top,16,16
2026-05-20,2026-08-18,ASHC,B,5,bottom,17,17
2026-05-20,2026-08-18,ASHC,B,6,top,NA,NA
2026-05-20,2026-08-18,ASHC,B,6,bottom,NA,NA
2026-05-20,2026-08-18,ASHC,C,1,top,13,13
2026-05-20,2026-08-18,ASHC,C,1,bottom,10,10
2026-05-20,2026-08-18,ASHC,C,2,top,20,20
2026-05-20,2026-08-18,ASHC,C,2,bottom,30,30
2026-05-20,2026-08-18,ASHC,C,3,top,32,32
2026-05-20,2026-08-18,ASHC,C,3,bottom,21,21
2026-05-20,2026-08-18,ASHC,C,4,top,12,12
2026-05-20,2026-08-18,ASHC,C,4,bottom,19,19
2026-05-20,2026-08-18,ASHC,C,5,top,10,10
2026-05-20,2026-08-18,ASHC,C,5,bottom,11,11
2026-05-20,2026-08-18,ASHC,C,6,top,4,4
2026-05-20,2026-08-18,ASHC,C,6,bottom,10,10
2026-05-20,2026-08-18,ASHC,D,1,top,34,34
2026-05-20,2026-08-18,ASHC,D,1,bottom,24,24
2026-05-20,2026-08-18,ASHC,D,2,top,33,33
2026-05-20,2026-08-18,ASHC,D,2,bottom,17,17
2026-05-20,2026-08-18,ASHC,D,3,top,28,28
2026-05-20,2026-08-18,ASHC,D,3,bottom,27,27
2026-05-20,2026-08-18,ASHC,D,4,top,12,12
2026-05-20,2026-08-18,ASHC,D,4,bottom,18,18
2026-05-20,2026-08-18,ASHC,D,5,top,1,1
2026-05-20,2026-08-18,ASHC,D,5,bottom,40,40
2026-05-20,2026-08-18,ASHC,D,6,top,34,34
2026-05-20,2026-08-18,ASHC,D,6,bottom,22,22
2026-05-20,2026-08-18,ASHC,E,1,top,20,20
2026-05-20,2026-08-18,ASHC,E,1,bottom,16,16
2026-05-20,2026-08-18,ASHC,E,2,top,23,23
2026-05-20,2026-08-18,ASHC,E,2,bottom,28,28
2026-05-20,2026-08-18,ASHC,E,3,top,25,25
2026-05-20,2026-08-18,ASHC,E,3,bottom,28,28
2026-05-20,2026-08-18,ASHC,E,4,top,38,38
2026-05-20,2026-08-18,ASHC,E,4,bottom,37,37
2026-05-20,2026-08-18,ASHC,E,5,top,46,46
2026-05-20,2026-08-18,ASHC,E,5,bottom,15,15
2026-05-20,2026-08-18,ASHC,E,6,top,4,4
2026-05-20,2026-08-18,ASHC,E,6,bottom,14,14
2026-05-20,2026-08-18,ASHC,F,1,top,64,64
2026-05-20,2026-08-18,ASHC,F,1,bottom,51,51
2026-05-20,2026-08-18,ASHC,F,2,top,40,40
2026-05-20,2026-08-18,ASHC,F,2,bottom,35,35
2026-05-20,2026-08-18,ASHC,F,3,top,33,33
2026-05-20,2026-08-18,ASHC,F,3,bottom,42,42
2026-05-20,2026-08-18,ASHC,F,4,top,6,6
2026-05-20,2026-08-18,ASHC,F,4,bottom,32,32
2026-05-20,2026-08-18,ASHC,F,5,top,11,11
2026-05-20,2026-08-18,ASHC,F,5,bottom,11,11
2026-05-20,2026-08-18,ASHC,F,6,top,8,8
