Date collected,Location,Salinity,temp(C) of spec,temp(C) of field,pH in,pH out,pCO2 out (matm),HCO3 out (mmol/kgSW),CO3 out (mmol/kgSW),CO2 out (mmol/kgSW),WAr out,xCO2 out (dry at 1 atm) (ppm)
2023-07-10,Ash Creek,12.2,22.96,24.58079,7.3661,7.35,1799.1,1343,16.8,58,0.29,1855.2
2023-07-12,Fence Creek,17.7,22.98,25.69087,6.9946,6.97,5374.4,1796.2,11.8,163.5,0.2,5553.5
2023-07-17,Gold Star,25.8,22.98,24.28702,7.617,7.60,1090.2,1703.3,57.7,33,0.95,1123.3
2023-08-07,Ash Creek,17.05,23.15,23.3,7.0203,7.02,3750.8,1414.8,9.3,121.9,0.16,3858.7
2023-08-09,Fence Creek,18.26,23.85,24.9,7.0129,7.00,5020.6,1834.8,12.8,155.4,0.22,5179.9
2023-08-14,Gold Star,26.27,22.93,24.3362,7.5404,7.52,1308.5,1716.9,49.4,39.4,0.81,1348.4
2023-09-05,Ash Creek,25.37,22.67,24.09,7.3196,7.30,2210.2,1742.8,29.3,67.3,0.48,2276.7
2023-09-06,Fence Creek,22.9,22.6,24.06,6.9438,6.93,5669.5,1851.2,12.2,175.1,0.2,5839.9
2023-09-26,Gold Star,26,22.79,21,7.5956,7.62,1005.6,1682.2,53.1,33.2,0.86,1030.5
2023-10-03,Ash Creek,17,22.93,18.04,7.1548,7.21,2336.1,1402.2,11.6,88,0.19,2384.3
2023-10-05,Fence Creek,23.5,23.28,19.5,7.4549,7.50,1161.3,1465.1,31,40.5,0.5,1187.5
2023-10-16,Gold Star,25.8,22.73,16.25,7.7174,7.81,619.1,1652.6,67.1,23.4,1.06,630.4
2023-11-06,Ash Creek,18.9,22.7,14.03,7.6368,7.76,721.2,1613.8,43.1,30.4,0.68,732.6
2023-11-08,Fence Creek,17.7,22.71,7.7,7.1723,7.34,1697.6,1516.4,11.7,88.7,0.18,1715.2
2024-03-06,Fence Creek,6.5,23.04,8,6.8806,7.04,2127.6,794.5,2.1,117.4,0.03,2150.3
2024-03-14,Ash Creek,10,22.86,5,7.4377,7.66,734.2,1244.9,13.7,44.2,0.21,740.6
2024-04-02,Fence Creek,5,23.02,5.5,6.8198,7.00,2327.7,801.5,1.7,141.6,0.02,2348.5
2024-04-22,Gold Star,22,23.23,9.2,7.6972,7.90,491.4,1638.6,55.5,23.8,0.86,497
2024-05-01,Ash Creek,14,23.08,15.5,7.7015,7.81,602.9,1407.8,38,24.9,0.61,613.5
2024-05-13,Fence Creek,10,22.95,12.9,6.9128,7.01,3184.1,1152.3,3.9,146.1,0.06,3231.2
2024-05-23,Gold Star,22,24.31,15,7.6712,7.80,640.6,1637,55.6,25.7,0.88,651.4
2024-06-10,Ash Creek,21,22.89,15.05,7.5914,7.70,837,1663.1,43.2,33.7,0.68,851.2
2024-06-24,Gold Star,23,22.88,21.8,7.6589,7.67,896.9,1647.6,55.7,29.4,0.91,920.4
2024-06-01,Fence Creek,10,22.7,17.9,6.9252,6.97,4012.7,1270,4.8,157.7,0.08,4095.1
2024-07-10,Ash Creek,25,22.4,22.1,7.4442,7.45,1287.7,1429.1,30.8,41.4,0.5,1321.9
2024-08-14,Gold Star,25,23.04,24.28,7.7497,7.73,789.1,1662.8,74.7,24,1.24,813.1
2024-08-26,Ash Creek,17,23.1,24.75,7.5095,7.49,1359.9,1501.3,30.8,42.5,0.52,1402.7
2024-08-27,Fence Creek,14,23.09,23.3,6.8453,6.84,6230.8,1505.3,6,205.8,0.1,6410.3
2024-09-16,Gold Star,23,22.91,22.56,7.7168,7.72,451.2,921.4,35.8,14.5,0.59,463.6
2024-09-25,Fence Creek,26,23,18.16,7.2605,7.32,1497.6,1267.7,17.9,53.5,0.29,1528.6
2024-10-15,Gold Star,25.75,21.82,16.84,7.7123,7.78,660.9,1651.2,64.4,24.6,1.02,673.4
2024-10-21,Ash Creek,26,23.31,14.39,7.7282,7.86,562.2,1696.1,71.8,22.5,1.13,571.3
2024-10-23,Fence Creek,20,22.87,14.98,7.1624,7.25,2486.1,1737.9,15.5,101,0.25,2528.1
2024-11-13,Ash Creek,26,22.77,12.37,7.8264,7.98,417.5,1700.5,88.6,17.8,1.38,423.4
2024-11-12,Fence Creek,22,22.72,12.6,7.3465,7.47,1458.1,1758.9,25.3,63.1,0.4,1479.1
2024-11-18,Gold Star,26,22.74,11.6,7.7563,7.92,477.9,1698.2,74.5,20.9,1.16,484.3
2024-12-09,Ash Creek,26,22.85,5.75,7.6535,7.90,505.4,1798.7,59.9,26.9,0.92,510
2024-12-10,Fence Creek,17.5,22.91,6.73,7.2496,7.44,1352.2,1516.8,14,73.1,0.21,1365.3
2025-01-06,Ash Creek,22,22.76,2.23,7.5107,7.79,587.4,1619.1,32.4,36.5,0.49,591.5
2025-01-08,Fence Creek,15,22.76,-0.04,7.0895,7.35,1435.5,1360.6,7.2,101.5,0.11,1444.1
2025-02-05,Ash Creek,22,25.69,1.14,7.791,8.16,239.5,1565.5,70.4,15.5,1.07,241.1
2025-02-04,Fence Creek,19,25.73,1.08,7.261,7.56,982.4,1558.3,15.9,64.9,0.24,988.8
2025-03-04,Ash Creek,23,22.03,1.19,7.5501,7.84,532.4,1678.3,37.2,34.2,0.57,535.9
2025-03-06,Fence Creek,9,22.22,4.8,6.8961,7.08,1865.8,833.5,2.3,113.7,0.04,1881.7
2025-04-01,Ash Creek,8.8,22.87,8.94,7.0935,7.24,1580,977.3,4.6,83.2,0.07,1597.9
2025-04-03,Fence Creek,15.3,23.01,7.65,6.9245,7.09,1386.9,670.9,2.7,73.6,0.04,1401.3
2025-04-28,Gold Star,26.1,22.86,12.13,7.578,7.73,781,1771,50.9,33.5,0.79,791.9
2025-05-01,Ash Creek,17.3,22.99,12.6,7.6798,7.82,597.3,1553.9,43.8,26.5,0.69,606
2025-05-07,Fence Creek,7,22.86,16.23,6.9011,6.97,3626.9,1087.5,3.4,152.4,0.05,3693.9
2025-05-27,Gold Star,26,22.71,15.68,7.6571,7.76,731.1,1731.8,61,28.1,0.96,744
2025-06-16,Ash Creek,22,23.01,18.56,7.7432,7.81,636.8,1606,63.3,23,1.02,650.4
2025-06-17,Fence Creek,11,22.89,17.85,6.816,6.86,5253.3,1320.1,4,205.7,0.07,5360.7
2025-06-24,Gold Star,25,22.55,22.79,7.3575,7.36,1894.7,1689.4,30.1,59.8,0.49,1947.3
2025-07-14,Ash Creek,21,23.27,25.5,7.3639,7.34,2207.3,1796.2,30.3,66.3,0.51,2279.9
2025-07-16,Fence Creek,19,23.84,24.81,7.0349,7.03,4827.8,1876.4,14.1,149.2,0.24,4980.1
2025-07-29,Gold Star,25,23.09,22.85,7.5734,7.58,1125.3,1671.6,49.8,35.5,0.82,1156.6
2025-08-12,Ash Creek,28.9,22.82,23.32,7.3537,7.35,1208.9,1087.6,21.7,36.9,0.35,1243.4
2025-08-14,Fence Creek,23.3,22.63,24.3,7.0114,7.00,5075.9,1930.7,15.2,155.5,0.25,5230.6
2025-08-18,Gold Star,26.4,22.71,24.9,7.5972,7.57,1207,1756.2,57.6,35.8,0.95,1245.1
2025-09-11,Ash Creek,25.7,22.85,22.1,7.4371,7.45,1646.6,1831.1,40.1,52.8,0.65,1690.4
2025-09-15,Fence Creek,22.4,22.87,21.8,7.1035,7.11,3609.2,1818.6,16.7,118.7,0.27,3703.4
2025-09-23,Gold Star,25.9,22.3,21.35,7.6542,7.61,928.1,1727.2,61.5,30.3,1,951.6
2025-10-14,Fence Creek,20.5,19.5,15.14,6.847,7.58,4984.3,1541.8,6.2,200.9,0.1,5069.4
2025-10-16,Ash Creek,25.7,23.09,16.63,7.7275,7.78,623.1,1696.8,71.3,23.3,1.13,634.8
2025-10-27,Gold Star,26.3,22.29,13.92,7.8019,8.04,466.9,1657.1,81.3,18.9,1.27,474.2
2025-11-10,Ash Creek,22.8,22.93,13.22,7.456,7.69,1077.2,1685.8,32.9,45.5,0.52,1093.4
2025-11-12,Fence Creek,15.2,23.19,7.72,7.06,7.44,2393.6,1592.8,8.7,126.8,0.13,2418.5
2025-12-09,Ash Creek,25.1,22.68,2.74,7.623,7.87,474.3,1757.5,51.7,28.4,0.79,477.7
2025-12-11,Fence Creek,17.3,22.81,3.13,7.4329,7.77,752.8,1536.7,21.6,46.5,0.33,758.5
2025-12-10,Gold Star,27.7,22.72,4.12,7.768,8.05,343.6,1757.2,80.5,19.2,1.23,346.3
2026-01-13,Fence Creek,11.3,23.06,2.39,7.2118,7.74,552.9,1184.9,14.9,36.4,0.22,556.8
2026-01-14,Ash Creek,22.8,22.87,3.75,7.8731,8.45,120.5,1493,147,7,2.25,121.5
2026-02-26,Fence Creek,13,22.76,1.1,6.9041,7.44,1177.8,1302.8,8.2,80.6,0.12,1185.5
2026-02-26,Ash Creek,21,22.66,1.009,7.7765,8.18,227,1521.6,68.3,14.9,1.04,228.5
2026-03-17,Fence Creek,4.2,22.73,9.2,6.8861,7.15,1367.2,632.1,2.1,73.3,0.03,1383.1
2026-03-16,Ash Creek,10.1,22.81,5.82,7.4772,7.73,521.6,1032.8,13.9,30.4,0.21,526.3
2026-04-08,Gold Star,26.6,23.03,6.1,7.8037,8.09,317.1,1743.6,92.4,16.6,1.42,320.1
