"Location Properties"
"Location Name = AshCreek"
"Location ID = 82862c1c-6906-4407-9675-91cd165864a7"
""
"Report Properties"
"Start Time = 2025-03-04 09:01:52"
"Duration = 27.22:30:39"
"Readings = 1342"
"Time Offset = -04:00:00"
""
"Instrument Properties"
"Device Model = Aqua TROLL 600"
"Device SN = 1005261"
"Device Firmware = 2.32"
""
"Log Properties"
"Log Name = ASHC_2024_SONDE5261"
"Log Type = Linear"
"Log File Number = 9"
"Log ID = 72cf1513-30bc-40ff-90c0-df10bf61485c"
"Log Wrapping Enabled = True"
"Interval = 00:30:00"
""
""
"Date Time","pH (pH) (982925)","pH mV (mV) (982925)","ORP (mV) (982925)","Actual Conductivity (µS/cm) (1026742)","Specific Conductivity (µS/cm) (1026742)","Salinity (PSU) (1026742)","Resistivity (Ω⋅cm) (1026742)","Density (g/cm³) (1026742)","Total Dissolved Solids (ppt) (1026742)","RDO Concentration (mg/L) (1003422)","RDO Saturation (%Sat) (1003422)","Oxygen Partial Pressure (Torr) (1003422)","Chlorophyll-a Fluorescence (RFU) (1005348)","Temperature (°C) (1005261)","External Voltage (V) (1005261)","Battery Capacity (%) (1005261)","Barometric Pressure (mm Hg) (1005261)"
"2025-03-04 09:01:52","8.619742","-104.57039","163.67596","73.04932","122.02706","0.055928517","13689.382","1.0000201","0.07931759","13.444575","101.17265","145.85321","4.162655","3.985974","0","96","770.47266"
"2025-03-04 09:31:52","7.977066","-70.57667","192.88701","16652.768","30096.488","17.665289","60.05008","1.0141184","19.562717","12.8493","102.40045","147.81448","1.0657508","1.6132251","0","96","770.4951"
"2025-03-04 10:01:52","7.9932423","-71.45882","200.8788","15453.498","27748.207","16.197264","64.710266","1.0129404","18.036335","13.399597","106.23962","153.34222","2.251549","1.8020313","0","96","770.4951"
"2025-03-04 10:31:52","7.976798","-70.62912","176.12141","15562.67","27878.113","16.287708","64.256325","1.0130113","18.120775","13.405178","106.54406","153.77646","2.3160818","1.871189","0","96","770.4951"
"2025-03-04 11:01:52","8.120657","-78.0344","169.79855","23964.61","42983.363","26.098463","41.7282","1.0208561","27.939186","11.340404","96.33529","139.04454","2.9081397","1.8341455","0","96","770.4951"
"2025-03-04 11:31:52","8.156332","-79.87976","196.19148","24570.01","44035.168","26.803846","40.700024","1.0214193","28.622858","12.644206","107.996605","155.87404","1.4947202","1.8567212","0","96","770.4951"
"2025-03-04 12:01:52","8.166197","-80.44243","212.35628","24453.9","43550.918","26.518538","40.893272","1.021181","28.308098","12.818439","109.79006","158.44812","2.0017376","2.041957","0","96","770.4951"
"2025-03-04 12:31:52","8.170173","-80.67131","231.03398","24872.846","44174.926","26.952055","40.204487","1.021523","28.713703","12.8072","110.24992","159.10532","3.0211365","2.1232178","0","96","770.4951"
"2025-03-04 13:01:52","8.150372","-79.689026","237.70494","24813.889","43867.57","26.773834","40.30001","1.0213727","28.513922","12.566546","108.42207","156.45685","3.0480483","2.2593958","0","96","770.4951"
"2025-03-04 13:31:52","8.149628","-79.67472","246.38814","25339.902","44671.707","27.329721","39.46345","1.0218115","29.036612","12.487686","108.38282","156.39363","1.7166835","2.3427856","0","96","770.4951"
