date_collected,Site,shell_height
8/8/2023,ASHC,8.27
8/8/2023,ASHC,5.64
8/8/2023,ASHC,3.91
8/8/2023,ASHC,11.27
8/8/2023,ASHC,3.47
8/8/2023,ASHC,12.69
8/8/2023,ASHC,3.68
8/8/2023,ASHC,5.18
8/8/2023,ASHC,6.65
8/8/2023,ASHC,7.86
8/8/2023,ASHC,16.69
8/8/2023,ASHC,4.27
8/8/2023,ASHC,11.08
8/8/2023,ASHC,9.47
8/8/2023,ASHC,3.49
8/8/2023,ASHC,9.04
8/8/2023,ASHC,3.41
8/8/2023,ASHC,3.78
8/8/2023,ASHC,3.43
8/8/2023,ASHC,5.71
8/8/2023,ASHC,3.69
8/8/2023,ASHC,4.73
8/8/2023,ASHC,6.47
8/8/2023,ASHC,5.99
8/8/2023,ASHC,6.42
8/8/2023,ASHC,2.28
8/8/2023,ASHC,9.86
8/8/2023,ASHC,6.96
8/8/2023,ASHC,6.87
8/8/2023,ASHC,4.42
8/8/2023,ASHC,6.81
8/8/2023,ASHC,5.47
8/8/2023,ASHC,4.27
8/8/2023,ASHC,5.88
8/8/2023,ASHC,4.31
8/8/2023,ASHC,5.02
8/8/2023,ASHC,2.86
8/8/2023,ASHC,4.58
8/8/2023,ASHC,5.26
8/8/2023,ASHC,5.26
8/8/2023,ASHC,4.02
8/8/2023,ASHC,5.63
8/8/2023,ASHC,5.96
8/8/2023,ASHC,13.72
8/8/2023,ASHC,4.32
8/8/2023,ASHC,12.09
8/8/2023,ASHC,6.47
8/8/2023,ASHC,11.86
8/8/2023,ASHC,7.06
8/8/2023,ASHC,6.41
8/8/2023,ASHC,9.16
8/8/2023,ASHC,3.51
8/8/2023,ASHC,4.47
8/8/2023,ASHC,6.94
8/8/2023,ASHC,6.66
8/8/2023,ASHC,7.29
8/8/2023,ASHC,5.3
8/8/2023,ASHC,5.41
8/8/2023,ASHC,5.97
8/8/2023,ASHC,4.68
8/8/2023,ASHC,6.63
8/8/2023,ASHC,6.22
8/8/2023,ASHC,5.12
8/8/2023,ASHC,5.17
8/8/2023,ASHC,4.57
8/8/2023,ASHC,6.35
8/8/2023,ASHC,5.76
8/8/2023,ASHC,4.32
8/8/2023,ASHC,3.67
8/8/2023,ASHC,6.74
8/8/2023,ASHC,3.84
8/8/2023,ASHC,7.49
8/8/2023,ASHC,5.76
8/8/2023,ASHC,5.49
8/8/2023,ASHC,7.21
8/8/2023,ASHC,5.54
8/8/2023,ASHC,4.82
8/8/2023,ASHC,3.98
8/8/2023,ASHC,4.87
8/8/2023,ASHC,7.64
8/8/2023,ASHC,5.48
8/8/2023,ASHC,3.88
8/8/2023,ASHC,3.67
8/8/2023,ASHC,3.63
8/8/2023,ASHC,5.04
8/8/2023,ASHC,4.94
8/8/2023,ASHC,2.81
8/8/2023,ASHC,2.1
8/8/2023,ASHC,7.42
8/8/2023,ASHC,7.79
8/8/2023,ASHC,6.54
8/8/2023,ASHC,4.11
8/8/2023,ASHC,4.12
8/8/2023,ASHC,4.6
8/8/2023,ASHC,6.65
8/8/2023,ASHC,5.7
8/8/2023,ASHC,4.78
8/8/2023,ASHC,3.58
8/8/2023,ASHC,4.34
8/8/2023,ASHC,5.75
8/8/2023,ASHC,5.78
8/8/2023,ASHC,8.54
8/8/2023,ASHC,4.85
8/8/2023,ASHC,6.76
8/8/2023,ASHC,6.78
8/8/2023,ASHC,5.1
8/8/2023,ASHC,5.1
8/8/2023,ASHC,5.04
8/8/2023,ASHC,5.98
8/8/2023,ASHC,5.47
8/8/2023,ASHC,8.42
8/8/2023,ASHC,5.04
8/8/2023,ASHC,4.75
8/8/2023,ASHC,3.48
8/8/2023,ASHC,4.52
8/8/2023,ASHC,4.88
8/8/2023,ASHC,4.29
8/8/2023,ASHC,4.13
8/8/2023,ASHC,4.87
8/8/2023,ASHC,4.44
8/8/2023,ASHC,3.81
8/8/2023,ASHC,5.21
8/8/2023,ASHC,4.8
