"type","threshold","numberFound","avgDurMinutes","avgAvgSalinity"
"Severe",0.99,17,93.5294117648826,0.756305560440196
"Moderately Severe",4.99,48,115.624999999251,2.60181539839464
"Moderate",9.99,91,128.021978021264,5.26442369471447
"Marginal",14.99,278,116.85251798559,10.6193081409411
"Sub-Optimal",19.99,790,128.746835442866,15.7854686861038
