"type","durationMinutes","startTime","endTime","startNum","endNum","eventSalinity"
"Severe",60.0000000028615,"2024-03-23 18:22:00","2024-03-23 19:22:00",54.26237,54.26248,0.619558816666667
"Severe",120.000000001988,"2024-12-12 13:47:00","2024-12-12 15:47:00",54.98514,54.98536,0.0089425302
"Severe",60.0000000028615,"2024-12-13 14:47:00","2024-12-13 15:47:00",54.98799,54.9881,0.034313123
"Severe",59.9999999953923,"2024-12-14 15:47:00","2024-12-14 16:47:00",54.99084,54.99096,0.0304905163333333
"Severe",89.9999999986903,"2025-01-02 18:18:00","2025-01-02 19:48:00",55.04318,55.04336,0.021137746
"Severe",59.9999999991269,"2025-01-03 06:48:00","2025-01-03 07:48:00",55.04461,55.04473,0.0282258306666667
"Severe",119.999999998254,"2025-02-17 07:19:00","2025-02-17 09:19:00",55.16796,55.16819,0.0140745504
"Severe",180.000000001115,"2025-02-18 07:19:00","2025-02-18 10:19:00",55.1707,55.17104,0.003386474
"Severe",60.0000000028615,"2025-03-07 12:01:00","2025-03-07 13:01:00",55.21781,55.21792,0.00789733266666667
"Severe",90.0000000024249,"2025-11-04 15:16:00","2025-11-04 16:46:00",55.88119,55.88137,0.0468233545
"Severe",119.999999998254,"2025-11-06 04:16:00","2025-11-06 06:16:00",55.88542,55.88565,0.0359741838
"Severe",89.9999999986903,"2025-11-06 16:46:00","2025-11-06 18:16:00",55.88685,55.88702,0.031835907
"Severe",89.9999999986903,"2025-11-11 21:46:00","2025-11-11 23:16:00",55.90111,55.90129,0.03911314
"Severe",90.0000000024249,"2025-12-04 15:46:00","2025-12-04 17:16:00",55.96344,55.96361,0.04970245175
"Severe",119.999999998254,"2026-01-20 17:49:00","2026-01-20 19:49:00",56.09244,56.09267,4.563620992
"Severe",60.0000000028615,"2026-01-24 08:49:00","2026-01-24 09:49:00",56.10238,56.10249,3.05531788
"Severe",119.999999998254,"2026-01-30 14:49:00","2026-01-30 16:49:00",56.1195,56.11973,4.2667796985
"Moderately Severe",230.000000000388,"2023-07-04 04:20:00","2023-07-04 08:10:00",53.54022,53.54066,3.38013145833333
"Moderately Severe",129.999999998108,"2023-07-16 15:50:00","2023-07-16 18:00:00",53.57441,53.57466,3.31935714285714
"Moderately Severe",135.00000000177,"2023-09-10 14:19:00","2023-09-10 16:34:00",53.72766,53.72792,2.218037
"Moderately Severe",119.999999998254,"2023-09-11 03:04:00","2023-09-11 05:04:00",53.72912,53.72935,3.16869566666667
"Moderately Severe",59.9999999953923,"2023-09-29 06:20:00","2023-09-29 07:20:00",53.77881,53.77892,3.3756942
"Moderately Severe",240.000000000242,"2023-09-29 16:20:00","2023-09-29 20:20:00",53.77995,53.7804,1.82107637647059
"Moderately Severe",165.000000001334,"2023-09-30 04:35:00","2023-09-30 07:20:00",53.78135,53.78166,3.75951925
"Moderately Severe",239.999999996508,"2024-03-23 15:52:00","2024-03-23 19:52:00",54.26209,54.26254,1.73158346111111
"Moderately Severe",210.000000000679,"2024-03-24 03:22:00","2024-03-24 06:52:00",54.2634,54.2638,2.5258520625
"Moderately Severe",89.9999999986903,"2024-03-28 07:52:00","2024-03-28 09:22:00",54.27487,54.27504,3.0531676
"Moderately Severe",89.9999999986903,"2024-04-04 13:22:00","2024-04-04 14:52:00",54.29468,54.29485,3.85583245
"Moderately Severe",59.9999999991269,"2024-04-12 08:22:00","2024-04-12 09:22:00",54.31602,54.31614,3.54806903333333
"Moderately Severe",59.9999999991269,"2024-05-27 20:39:00","2024-05-27 21:39:00",54.44071,54.44083,3.56788336666667
"Moderately Severe",89.9999999986903,"2024-06-15 00:09:00","2024-06-15 01:39:00",54.49043,54.4906,3.906310875
"Moderately Severe",89.9999999986903,"2024-07-13 11:09:00","2024-07-13 12:39:00",54.5684,54.56857,3.073282725
"Moderately Severe",179.999999997381,"2024-07-18 01:39:00","2024-07-18 04:39:00",54.58101,54.58135,3.22297848571429
"Moderately Severe",59.9999999991269,"2024-08-06 20:09:00","2024-08-06 21:09:00",54.63518,54.63529,3.77021033333333
"Moderately Severe",149.999999994083,"2024-08-18 15:39:00","2024-08-18 18:09:00",54.66754,54.66783,3.06091328333333
"Moderately Severe",120.000000001988,"2024-12-12 13:47:00","2024-12-12 15:47:00",54.98514,54.98536,0.0089425302
"Moderately Severe",60.0000000028615,"2024-12-13 14:47:00","2024-12-13 15:47:00",54.98799,54.9881,0.034313123
"Moderately Severe",59.9999999953923,"2024-12-14 15:47:00","2024-12-14 16:47:00",54.99084,54.99096,0.0304905163333333
"Moderately Severe",89.9999999986903,"2025-01-02 18:18:00","2025-01-02 19:48:00",55.04318,55.04336,0.021137746
"Moderately Severe",59.9999999991269,"2025-01-03 06:48:00","2025-01-03 07:48:00",55.04461,55.04473,0.0282258306666667
"Moderately Severe",59.9999999991269,"2025-02-16 19:19:00","2025-02-16 20:19:00",55.16659,55.1667,3.86513003333333
"Moderately Severe",180.000000001115,"2025-02-17 07:19:00","2025-02-17 10:19:00",55.16796,55.1683,0.912499836
"Moderately Severe",179.999999997381,"2025-02-17 18:49:00","2025-02-17 21:49:00",55.16927,55.16961,3.35707184285714
"Moderately Severe",240.000000000242,"2025-02-18 07:19:00","2025-02-18 11:19:00",55.1707,55.17115,0.592663613111111
"Moderately Severe",150.000000005286,"2025-02-18 19:49:00","2025-02-18 22:19:00",55.17213,55.17241,2.754714339
"Moderately Severe",119.999999998254,"2025-03-06 10:01:00","2025-03-06 12:01:00",55.21484,55.21507,4.55099728
"Moderately Severe",60.0000000028615,"2025-03-07 12:01:00","2025-03-07 13:01:00",55.21781,55.21792,0.00789733266666667
"Moderately Severe",90.0000000024249,"2025-05-06 01:11:00","2025-05-06 02:41:00",55.38096,55.38113,3.352271075
"Moderately Severe",120.000000001988,"2025-05-06 12:41:00","2025-05-06 14:41:00",55.38227,55.3825,3.87850972
"Moderately Severe",59.9999999953923,"2025-10-30 23:46:00","2025-10-31 00:46:00",55.86847,55.86858,3.4554292
"Moderately Severe",60.0000000028615,"2025-10-31 12:16:00","2025-10-31 13:16:00",55.86989,55.87001,4.941267
"Moderately Severe",90.0000000024249,"2025-11-04 15:16:00","2025-11-04 16:46:00",55.88119,55.88137,0.0468233545
"Moderately Severe",119.999999998254,"2025-11-06 04:16:00","2025-11-06 06:16:00",55.88542,55.88565,0.0359741838
"Moderately Severe",89.9999999986903,"2025-11-06 16:46:00","2025-11-06 18:16:00",55.88685,55.88702,0.031835907
"Moderately Severe",89.9999999986903,"2025-11-11 21:46:00","2025-11-11 23:16:00",55.90111,55.90129,0.03911314
"Moderately Severe",90.0000000024249,"2025-12-04 15:46:00","2025-12-04 17:16:00",55.96344,55.96361,0.04970245175
"Moderately Severe",119.999999998254,"2025-12-20 03:48:00","2025-12-20 05:48:00",56.00591,56.00614,4.47770584
"Moderately Severe",119.999999998254,"2026-01-20 17:49:00","2026-01-20 19:49:00",56.09244,56.09267,4.563620992
"Moderately Severe",90.0000000024249,"2026-01-24 08:19:00","2026-01-24 09:49:00",56.10232,56.10249,6.50822882
"Moderately Severe",119.999999998254,"2026-01-30 14:49:00","2026-01-30 16:49:00",56.1195,56.11973,4.2667796985
"Moderately Severe",89.9999999986903,"2026-03-06 07:39:00","2026-03-06 09:09:00",56.21457,56.21474,3.708915125
"Moderately Severe",119.999999998254,"2026-03-17 03:39:00","2026-03-17 05:39:00",56.24425,56.24448,3.27801066
"Moderately Severe",59.9999999953923,"2026-03-17 17:09:00","2026-03-17 18:09:00",56.24579,56.24591,3.97704863333333
