"type","threshold","numberFound","avgDurMinutes","avgAvgSalinity"
"Severe",0.99,12,210.833333333689,0.755673825621097
"Moderately Severe",4.99,99,177.171717171553,3.05250421818581
"Moderate",9.99,316,178.452531645504,6.74243046751712
"Marginal",14.99,606,206.664462809851,10.450907456447
"Sub-Optimal",19.99,1124,241.81032947458,14.7316514954652
