"data_all.Sample_ID","data_all.Date_collected","data_all.Site","data_all.Sex1","data_all.Stage1","data_all.Sex2","data_all.Stage2","data_all.sex_results","data_all.score_results"
"0324ASHC_26",2024-03-14,"ASHC","Female","3_Early_Active","Female","3_Early_Active","TRUE","TRUE"
"0324ASHC_27",2024-03-14,"ASHC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0324ASHC_28",2024-03-14,"ASHC","Male","3_Early_Active","Male","3_Early_Active","TRUE","TRUE"
"0324ASHC_29",2024-03-14,"ASHC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0324ASHC_30",2024-03-14,"ASHC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0324FENC_01",2024-03-06,"FENC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0324FENC_02",2024-03-06,"FENC","Female","2_Developing","Female","2_Developing","TRUE","TRUE"
"0324FENC_03",2024-03-06,"FENC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0324FENC_04",2024-03-06,"FENC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0324FENC_05",2024-03-06,"FENC","Female","3_Early_Active","Female","3_Early_Active","TRUE","TRUE"
"0324FENC_06",2024-03-06,"FENC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0324FENC_07",2024-03-06,"FENC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0324FENC_08",2024-03-06,"FENC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0324FENC_09",2024-03-06,"FENC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0324FENC_10",2024-03-06,"FENC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0324FENC_11",2024-03-06,"FENC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0324FENC_12",2024-03-06,"FENC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0324FENC_13",2024-03-06,"FENC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0324FENC_14",2024-03-06,"FENC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0324FENC_15",2024-03-06,"FENC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0324FENC_16",2024-03-06,"FENC","Female","3_Early_Active","Female","3_Early_Active","TRUE","TRUE"
"0324FENC_17",2024-03-06,"FENC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0324FENC_18",2024-03-06,"FENC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0324FENC_19",2024-03-06,"FENC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0324FENC_20",2024-03-06,"FENC","Male","3_Early_Active","Male","3_Early_Active","TRUE","TRUE"
"0324FENC_21",2024-03-06,"FENC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0324FENC_22",2024-03-06,"FENC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0324FENC_23",2024-03-06,"FENC","Male","3_Early_Active","Male","3_Early_Active","TRUE","TRUE"
"0324FENC_24",2024-03-06,"FENC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0324FENC_25",2024-03-06,"FENC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0324FENC_26",2024-03-06,"FENC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0324FENC_27",2024-03-06,"FENC","Female","3_Early_Active","Female","3_Early_Active","TRUE","TRUE"
"0324FENC_28",2024-03-06,"FENC","Female","3_Early_Active","Female","3_Early_Active","TRUE","TRUE"
"0324FENC_29",2024-03-06,"FENC","Female","3_Early_Active","Female","3_Early_Active","TRUE","TRUE"
"0324FENC_30",2024-03-06,"FENC","ND","3_Early_Active","Female","3_Early_Active","FALSE","TRUE"
"0423ASHC_01",2023-04-23,"ASHC","Female","3_Early_Active","Female","3_Early_Active","TRUE","TRUE"
"0423ASHC_02",2023-04-23,"ASHC","Female","3_Early_Active","Female","3_Early_Active","TRUE","TRUE"
"0423ASHC_03",2023-04-23,"ASHC","Female","3_Early_Active","Female","3_Early_Active","TRUE","TRUE"
"0423ASHC_04",2023-04-23,"ASHC","Female","3_Early_Active","Female","3_Early_Active","TRUE","TRUE"
"0423ASHC_05",2023-04-23,"ASHC","Female","3_Early_Active","Female","3_Early_Active","TRUE","TRUE"
"0423ASHC_06",2023-04-23,"ASHC","Female","3_Early_Active","Female","3_Early_Active","TRUE","TRUE"
"0423ASHC_07",2023-04-23,"ASHC","Female","3_Early_Active","Male","3_Early_Active","FALSE","TRUE"
"0423ASHC_08",2023-04-23,"ASHC","Male","3_Early_Active",NA,NA,NA,NA
"0423ASHC_09",2023-04-23,"ASHC","Female","3_Early_Active","Female","3_Early_Active","TRUE","TRUE"
"0423ASHC_10",2023-04-23,"ASHC","Female","3_Early_Active",NA,NA,NA,NA
"0423ASHC_11",2023-04-23,"ASHC","Female","3_Early_Active","Female","3_Early_Active","TRUE","TRUE"
"0423ASHC_12",2023-04-23,"ASHC","Male","3_Early_Active","Male","3_Early_Active","TRUE","TRUE"
"0423ASHC_13",2023-04-23,"ASHC","ND","2_Developing","Female","3_Early_Active","FALSE","FALSE"
"0423ASHC_14",2023-04-23,"ASHC","Female","3_Early_Active","Female","3_Early_Active","TRUE","TRUE"
"0423ASHC_15",2023-04-23,"ASHC","Female","3_Early_Active","Female","3_Early_Active","TRUE","TRUE"
"0423ASHC_16",2023-04-23,"ASHC","Male","3_Early_Active","Male","3_Early_Active","TRUE","TRUE"
"0423ASHC_17",2023-04-23,"ASHC","Female","3_Early_Active","Female","3_Early_Active","TRUE","TRUE"
"0423ASHC_18",2023-04-23,"ASHC","Female","3_Early_Active","Female","3_Early_Active","TRUE","TRUE"
"0423ASHC_19",2023-04-23,"ASHC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0423ASHC_20",2023-04-23,"ASHC","Female","3_Early_Active","Female","3_Early_Active","TRUE","TRUE"
"0423ASHC_21",2023-04-23,"ASHC","Female","3_Early_Active","Female","3_Early_Active","TRUE","TRUE"
"0423ASHC_22",2023-04-23,"ASHC","Male","3_Early_Active",NA,NA,NA,NA
"0423ASHC_23",2023-04-23,"ASHC","Female","3_Early_Active",NA,NA,NA,NA
"0423ASHC_24",2023-04-23,"ASHC","Female","3_Early_Active",NA,NA,NA,NA
"0423ASHC_25",2023-04-23,"ASHC","ND","2_Developing",NA,NA,NA,NA
"0423ASHC_26",2023-04-23,"ASHC","Female","3_Early_Active",NA,NA,NA,NA
"0423ASHC_27",2023-04-23,"ASHC","ND","2_Developing",NA,NA,NA,NA
"0423ASHC_28",2023-04-23,"ASHC","Female","3_Early_Active",NA,NA,NA,NA
"0423ASHC_29",2023-04-23,"ASHC","ND","2_Developing",NA,NA,NA,NA
"0423ASHC_30",2023-04-23,"ASHC","Female","3_Early_Active",NA,NA,NA,NA
"0423FENC_01",2023-04-27,"FENC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0423FENC_02",2023-04-27,"FENC","Female","3_Early_Active","Female","3_Early_Active","TRUE","TRUE"
"0423FENC_03",2023-04-27,"FENC","Female","3_Early_Active","Female","3_Early_Active","TRUE","TRUE"
"0423FENC_04",2023-04-27,"FENC","ND","2_Developing",NA,NA,NA,NA
"0423FENC_05",2023-04-27,"FENC","Female","3_Early_Active",NA,NA,NA,NA
"0423FENC_06",2023-04-27,"FENC","Male","3_Early_Active",NA,NA,NA,NA
"0423FENC_07",2023-04-27,"FENC","Female","3_Early_Active",NA,NA,NA,NA
"0423FENC_08",2023-04-27,"FENC","Female","3_Early_Active",NA,NA,NA,NA
"0423FENC_09",2023-04-27,"FENC","Female","3_Early_Active",NA,NA,NA,NA
"0423FENC_10",2023-04-27,"FENC","Female","3_Early_Active",NA,NA,NA,NA
"0423FENC_11",2023-04-27,"FENC","Female","3_Early_Active",NA,NA,NA,NA
"0423FENC_12",2023-04-27,"FENC","Female","3_Early_Active",NA,NA,NA,NA
"0423FENC_13",2023-04-27,"FENC","ND","2_Developing",NA,NA,NA,NA
"0423FENC_14",2023-04-27,"FENC","Female","3_Early_Active",NA,NA,NA,NA
"0423FENC_15",2023-04-27,"FENC","Male","3_Early_Active",NA,NA,NA,NA
"0423FENC_16",2023-04-27,"FENC","ND","2_Developing",NA,NA,NA,NA
"0423FENC_17",2023-04-27,"FENC","Female","3_Early_Active",NA,NA,NA,NA
"0423FENC_18",2023-04-27,"FENC","ND","2_Developing",NA,NA,NA,NA
"0423FENC_19",2023-04-27,"FENC","Female","3_Early_Active",NA,NA,NA,NA
"0423FENC_20",2023-04-27,"FENC","Female","3_Early_Active",NA,NA,NA,NA
"0423FENC_21",2023-04-27,"FENC","ND","2_Developing",NA,NA,NA,NA
"0423FENC_22",2023-04-27,"FENC","ND","2_Developing",NA,NA,NA,NA
"0423FENC_23",2023-04-27,"FENC","Female","3_Early_Active",NA,NA,NA,NA
"0423FENC_24",2023-04-27,"FENC","Female","3_Early_Active",NA,NA,NA,NA
"0423FENC_25",2023-04-27,"FENC","Female","3_Early_Active",NA,NA,NA,NA
"0423FENC_26",2023-04-27,"FENC","Female","3_Early_Active",NA,NA,NA,NA
"0423FENC_27",2023-04-27,"FENC","Female","3_Early_Active",NA,NA,NA,NA
"0423FENC_28",2023-04-27,"FENC","Female","3_Early_Active",NA,NA,NA,NA
"0423FENC_29",2023-04-27,"FENC","Female","3_Early_Active",NA,NA,NA,NA
"0423FENC_30",2023-04-27,"FENC","Female","3_Early_Active",NA,NA,NA,NA
"0424ASHC_01",2024-04-03,"ASHC","Female","3_Early_Active","Female","3_Early_Active","TRUE","TRUE"
"0424ASHC_02",2024-04-03,"ASHC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0424ASHC_03",2024-04-03,"ASHC","Female","3_Early_Active","Female","3_Early_Active","TRUE","TRUE"
"0424ASHC_04",2024-04-03,"ASHC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0424ASHC_05",2024-04-03,"ASHC","Male","3_Early_Active","Male","3_Early_Active","TRUE","TRUE"
"0424ASHC_06",2024-04-03,"ASHC","Female","3_Early_Active","Female","3_Early_Active","TRUE","TRUE"
"0424ASHC_07",2024-04-03,"ASHC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0424ASHC_08",2024-04-03,"ASHC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0424ASHC_09",2024-04-03,"ASHC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0424ASHC_10",2024-04-03,"ASHC","Female","3_Early_Active","Female","3_Early_Active","TRUE","TRUE"
"0424ASHC_11",2024-04-03,"ASHC","Female","3_Early_Active","Female","3_Early_Active","TRUE","TRUE"
"0424ASHC_12",2024-04-03,"ASHC","Male","3_Early_Active","Male","3_Early_Active","TRUE","TRUE"
"0424ASHC_13",2024-04-03,"ASHC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0424ASHC_14",2024-04-03,"ASHC","Male","3_Early_Active","Male","3_Early_Active","TRUE","TRUE"
"0424ASHC_15",2024-04-03,"ASHC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0424ASHC_16",2024-04-03,"ASHC","Female","3_Early_Active","Female","3_Early_Active","TRUE","TRUE"
"0424ASHC_17",2024-04-03,"ASHC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0424ASHC_18",2024-04-03,"ASHC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0424ASHC_19",2024-04-03,"ASHC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0424ASHC_20",2024-04-03,"ASHC","Female","3_Early_Active","Female","3_Early_Active","TRUE","TRUE"
"0424ASHC_21",2024-04-03,"ASHC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0424ASHC_22",2024-04-03,"ASHC","Female","3_Early_Active","Female","3_Early_Active","TRUE","TRUE"
"0424ASHC_23",2024-04-03,"ASHC","Male","3_Early_Active","Male","3_Early_Active","TRUE","TRUE"
"0424ASHC_24",2024-04-03,"ASHC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0424ASHC_25",2024-04-03,"ASHC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0424ASHC_26",2024-04-03,"ASHC","Male","3_Early_Active","Male","3_Early_Active","TRUE","TRUE"
"0424ASHC_27",2024-04-03,"ASHC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0424ASHC_28",2024-04-03,"ASHC","Female","3_Early_Active","Female","3_Early_Active","TRUE","TRUE"
"0424ASHC_29",2024-04-03,"ASHC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0424ASHC_30",2024-04-03,"ASHC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0424FENC_01",2024-04-02,"FENC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0424FENC_02",2024-04-02,"FENC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0424FENC_03",2024-04-02,"FENC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0424FENC_04",2024-04-02,"FENC","Female","3_Early_Active","Female","3_Early_Active","TRUE","TRUE"
"0424FENC_05",2024-04-02,"FENC","Female","3_Early_Active","Female","3_Early_Active","TRUE","TRUE"
"0424FENC_06",2024-04-02,"FENC","Female","3_Early_Active","Female","3_Early_Active","TRUE","TRUE"
"0424FENC_07",2024-04-02,"FENC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0424FENC_08",2024-04-02,"FENC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0424FENC_09",2024-04-02,"FENC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0424FENC_10",2024-04-02,"FENC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0424FENC_11",2024-04-02,"FENC","Male","3_Early_Active","Male","3_Early_Active","TRUE","TRUE"
"0424FENC_12",2024-04-02,"FENC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0424FENC_13",2024-04-02,"FENC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
