"type","threshold","numberFound","avgDurMinutes","avgAvgSalinity"
"Severe",0.99,8,93.7500000000362,0.0950161984083333
"Moderately Severe",4.99,21,119.999999999143,2.23434633745208
"Moderate",9.99,41,130.499999999221,5.34369122398953
"Marginal",14.99,118,119.999999999977,10.3329272037336
"Sub-Optimal",19.99,281,137.096428571053,15.1843530068682
