"type","threshold","numberFound","avgDurMinutes","avgAvgSalinity"
"Severe",0.99,12,210.833333333689,0.755673825621097
"Moderately Severe",4.99,95,177.999999999847,3.07678100501753
"Moderate",9.99,290,180.486206896491,6.70206318169302
"Marginal",14.99,542,208.40774907741,10.327892570659
"Sub-Optimal",19.99,966,244.542443064102,14.565180654928
