"type","threshold","numberFound","avgDurMinutes","avgAvgSalinity"
"Severe",0.99,6,274.999999999733,0.748641998382716
"Moderately Severe",4.99,59,182.542372881042,3.0731151156415
"Moderate",9.99,177,184.60795454534,6.59496907443363
"Marginal",14.99,266,220.418867924368,9.6484571672439
"Sub-Optimal",19.99,444,250.568848758439,13.9647776328645
