lab_id,date_collected,site,lab_sample,date_processed,height_mm,condition,sample_notes,mantle_rftm,ggr1_frozen,ggr2_etoh,cross_histology,date_davidsons,date_etoh,,,
0425GOLD_01,4/28/2025,GOLD,1,4/29/2025,131.83,5_fair,,TRUE,TRUE,TRUE,TRUE,4/29/2025,4/30/2025,,,
0425GOLD_02,4/28/2025,GOLD,2,4/29/2025,107.06,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,4/29/2025,4/30/2025,,,
0425GOLD_03,4/28/2025,GOLD,3,4/29/2025,108.71,5_fair,,TRUE,TRUE,TRUE,TRUE,4/29/2025,4/30/2025,,,
0425GOLD_04,4/28/2025,GOLD,4,4/29/2025,103.73,5_fair,,TRUE,TRUE,TRUE,TRUE,4/29/2025,4/30/2025,,,
0425GOLD_05,4/28/2025,GOLD,5,4/29/2025,91.94,5_fair,,TRUE,TRUE,TRUE,TRUE,4/29/2025,4/30/2025,,,
0425GOLD_06,4/28/2025,GOLD,6,4/29/2025,119.49,5_fair,,TRUE,TRUE,TRUE,TRUE,4/29/2025,4/30/2025,,,
0425GOLD_07,4/28/2025,GOLD,7,4/29/2025,111.7,6_fair_minus,,TRUE,TRUE,TRUE,TRUE,4/29/2025,4/30/2025,,,
0425GOLD_08,4/28/2025,GOLD,8,4/29/2025,120.84,7_poor_plus,,TRUE,TRUE,TRUE,TRUE,4/29/2025,4/30/2025,,,
0425GOLD_09,4/28/2025,GOLD,9,4/29/2025,140.91,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,4/29/2025,4/30/2025,,,
0425GOLD_10,4/28/2025,GOLD,10,4/29/2025,118.82,5_fair,,TRUE,TRUE,TRUE,TRUE,4/29/2025,4/30/2025,,,
0425GOLD_11,4/28/2025,GOLD,11,4/29/2025,116.68,5_fair,,TRUE,TRUE,TRUE,TRUE,4/29/2025,4/30/2025,,,
0425GOLD_12,4/28/2025,GOLD,12,4/29/2025,91.24,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,4/29/2025,4/30/2025,,,  
0425GOLD_13,4/28/2025,GOLD,13,4/29/2025,99.39,5_fair,,TRUE,TRUE,TRUE,TRUE,4/29/2025,4/30/2025,,,
0425GOLD_14,4/28/2025,GOLD,14,4/29/2025,111.21,5_fair,,TRUE,TRUE,TRUE,TRUE,4/29/2025,4/30/2025,,,
0425GOLD_15,4/28/2025,GOLD,15,4/29/2025,110.73,3_good_minus,,TRUE,TRUE,TRUE,TRUE,4/29/2025,4/30/2025,,,
0425GOLD_16,4/28/2025,GOLD,16,4/29/2025,86,6_fair_minus,,TRUE,TRUE,TRUE,TRUE,4/29/2025,4/30/2025,,,
0425GOLD_17,4/28/2025,GOLD,17,4/29/2025,77.33,6_fair_minus,,TRUE,TRUE,TRUE,TRUE,4/29/2025,4/30/2025,,,
0425GOLD_18,4/28/2025,GOLD,18,4/29/2025,86.95,5_fair,,TRUE,TRUE,TRUE,TRUE,4/29/2025,4/30/2025,,,
0425GOLD_19,4/28/2025,GOLD,19,4/29/2025,90.76,5_fair,,TRUE,TRUE,TRUE,TRUE,4/29/2025,4/30/2025,,,
0425GOLD_20,4/28/2025,GOLD,20,4/29/2025,86.46,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,4/29/2025,4/30/2025,,,
0425GOLD_21,4/28/2025,GOLD,21,4/29/2025,118.68,5_fair,,TRUE,TRUE,TRUE,TRUE,4/29/2025,4/30/2025,,,
0425GOLD_22,4/28/2025,GOLD,22,4/29/2025,90.6,5_fair,,TRUE,TRUE,TRUE,TRUE,4/29/2025,4/30/2025,,,
0425GOLD_23,4/28/2025,GOLD,23,4/29/2025,98.35,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,4/29/2025,4/30/2025,,,
0425GOLD_24,4/28/2025,GOLD,24,4/29/2025,105.72,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,4/29/2025,4/30/2025,,,
0425GOLD_25,4/28/2025,GOLD,25,4/29/2025,99.59,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,4/29/2025,4/30/2025,,,
0425GOLD_26,4/28/2025,GOLD,26,4/29/2025,94.57,5_fair,,FALSE,TRUE,TRUE,TRUE,4/29/2025,4/30/2025,,,
0425GOLD_27,4/28/2025,GOLD,27,4/29/2025,91.5,5_fair,,TRUE,TRUE,TRUE,TRUE,4/29/2025,4/30/2025,,,
0425GOLD_28,4/28/2025,GOLD,28,4/29/2025,107.51,5_fair,,TRUE,TRUE,TRUE,TRUE,4/29/2025,4/30/2025,,,
0425GOLD_29,4/28/2025,GOLD,29,4/29/2025,129.33,5_fair,,TRUE,TRUE,TRUE,TRUE,4/29/2025,4/30/2025,,,
0425GOLD_30,4/28/2025,GOLD,30,4/29/2025,104.85,5_fair,,TRUE,TRUE,TRUE,TRUE,4/29/2025,4/30/2025,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,                                                                                                                     ,,,,,,,,,,,,
