lab_id,date_collected,site,lab_sample,date_processed,height_mm,condition,sample_notes,mantle_rftm,ggr1_frozen,ggr2_etoh,cross_histology,date_davidsons,date_etoh
1225GOLD_01,12/10/2025,GOLD,1,12/11/2025,107.45,6_fair_minus,,TRUE,TRUE,TRUE,TRUE,12/11/2025,12/12/2025
1225GOLD_02,12/10/2025,GOLD,2,12/11/2025,141.57,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,12/11/2025,12/12/2025
1225GOLD_03,12/10/2025,GOLD,3,12/11/2025,96.87,2_good,,TRUE,TRUE,TRUE,TRUE,12/11/2025,12/12/2025
1225GOLD_04,12/10/2025,GOLD,4,12/11/2025,154.62,2_good,,TRUE,TRUE,TRUE,TRUE,12/11/2025,12/12/2025
1225GOLD_05,12/10/2025,GOLD,5,12/11/2025,156.66,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,12/11/2025,12/12/2025
1225GOLD_06,12/10/2025,GOLD,6,12/11/2025,160.56,2_good,,TRUE,TRUE,TRUE,TRUE,12/11/2025,12/12/2025
1225GOLD_07,12/10/2025,GOLD,7,12/11/2025,110.73,2_good,,TRUE,TRUE,TRUE,TRUE,12/11/2025,12/12/2025
1225GOLD_08,12/10/2025,GOLD,8,12/11/2025,110.7,2_good,,TRUE,TRUE,TRUE,TRUE,12/11/2025,12/12/2025
1225GOLD_09,12/10/2025,GOLD,9,12/11/2025,104.3,2_good,,TRUE,TRUE,TRUE,TRUE,12/11/2025,12/12/2025
