Sample_ID,Date_collected,Site,Lab_sample,Date_read1,reader1,Sex1,Stage1,Duplicate_read,Date_read2,reader2,Sex2,Stage2,Notes,Sex_final,Stage_final
0923ASHC_01,09-05-2023,ASHC,1,05-19-2025,Sarina Dery,Female,7_Reabsorbing,FALSE,,,,,,Female,7_Reabsorbing
0923ASHC_02,09-05-2023,ASHC,2,05-19-2025,Sarina Dery,NA,7_Reabsorbing,FALSE,,,,,bad cut - missing mantle - SD,NA,7_Reabsorbing
0923ASHC_03,09-05-2023,ASHC,3,05-19-2025,Sarina Dery,NA,7_Reabsorbing,TRUE,06-04-2025,Kyra Lenderman,NA,7_Reabsorbing,,NA,7_Reabsorbing
0923ASHC_04,09-05-2023,ASHC,4,05-19-2025,Sarina Dery,NA,7_Reabsorbing,FALSE,,,,,,NA,7_Reabsorbing
0923ASHC_05,09-05-2023,ASHC,5,05-19-2025,Sarina Dery,Female,7_Reabsorbing,FALSE,,,,,,Female,7_Reabsorbing
0923ASHC_06,09-05-2023,ASHC,6,05-19-2025,Sarina Dery,NA,7_Reabsorbing,FALSE,,,,,,NA,7_Reabsorbing
0923ASHC_07,09-05-2023,ASHC,7,05-19-2025,Sarina Dery,NA,7_Reabsorbing,FALSE,,,,,,NA,7_Reabsorbing
0923ASHC_08,09-05-2023,ASHC,8,05-19-2025,Sarina Dery,Female,7_Reabsorbing,FALSE,,,,,,Female,7_Reabsorbing
0923ASHC_09,09-05-2023,ASHC,9,05-19-2025,Sarina Dery,Female,7_Reabsorbing,FALSE,,,,,,Female,7_Reabsorbing
0923ASHC_10,09-05-2023,ASHC,10,05-19-2025,Sarina Dery,NA,7_Reabsorbing,FALSE,,,,,,NA,7_Reabsorbing
0923ASHC_11,09-05-2023,ASHC,11,05-19-2025,Sarina Dery,NA,7_Reabsorbing,FALSE,,,,,,NA,7_Reabsorbing
0923ASHC_12,09-05-2023,ASHC,12,05-19-2025,Sarina Dery,NA,7_Reabsorbing,TRUE,06-04-2025,Kyra Lenderman,NA,7_Reabsorbing,,NA,7_Reabsorbing
0923ASHC_13,09-05-2023,ASHC,13,05-19-2025,Sarina Dery,NA,7_Reabsorbing,FALSE,,,,,,NA,7_Reabsorbing
0923ASHC_14,09-05-2023,ASHC,14,05-19-2025,Sarina Dery,NA,7_Reabsorbing,FALSE,,,,,,NA,7_Reabsorbing
0923ASHC_15,09-05-2023,ASHC,15,05-19-2025,Sarina Dery,NA,7_Reabsorbing,FALSE,,,,,,NA,7_Reabsorbing
0923ASHC_16,09-05-2023,ASHC,16,05-19-2025,Sarina Dery,NA,7_Reabsorbing,FALSE,,,,,,NA,7_Reabsorbing
0923ASHC_17,09-05-2023,ASHC,17,05-19-2025,Sarina Dery,NA,7_Reabsorbing,FALSE,,,,,,NA,7_Reabsorbing
0923ASHC_18,09-05-2023,ASHC,18,05-19-2025,Sarina Dery,Female,7_Reabsorbing,FALSE,,,,,,Female,7_Reabsorbing
0923ASHC_19,09-05-2023,ASHC,19,05-19-2025,Sarina Dery,NA,7_Reabsorbing,FALSE,,,,,,NA,7_Reabsorbing
0923ASHC_20,09-05-2023,ASHC,20,05-19-2025,Sarina Dery,NA,7_Reabsorbing,FALSE,,,,,,NA,7_Reabsorbing
0923ASHC_21,09-05-2023,ASHC,21,05-19-2025,Sarina Dery,NA,7_Reabsorbing,FALSE,,,,,,NA,7_Reabsorbing
0923ASHC_22,09-05-2023,ASHC,22,05-19-2025,Sarina Dery,NA,7_Reabsorbing,TRUE,06-04-2025,Kyra Lenderman,NA,7_Reabsorbing,,NA,7_Reabsorbing
0923ASHC_23,09-05-2023,ASHC,23,05-19-2025,Sarina Dery,NA,7_Reabsorbing,FALSE,,,,,,NA,7_Reabsorbing
0923ASHC_24,09-05-2023,ASHC,24,05-19-2025,Sarina Dery,NA,7_Reabsorbing,FALSE,,,,,,NA,7_Reabsorbing
0923ASHC_25,09-05-2023,ASHC,25,05-19-2025,Sarina Dery,NA,7_Reabsorbing,FALSE,,,,,,NA,7_Reabsorbing
0923ASHC_26,09-05-2023,ASHC,26,,,,,,,,,,,,7_Reabsorbing
0923ASHC_27,09-05-2023,ASHC,27,,,,,,,,,,,,7_Reabsorbing
0923ASHC_28,09-05-2023,ASHC,28,05-19-2025,Sarina Dery,Female,7_Reabsorbing,FALSE,,,,,,Female,7_Reabsorbing
0923ASHC_29,09-05-2023,ASHC,29,05-19-2025,Sarina Dery,Female,7_Reabsorbing,FALSE,,,,,,Female,7_Reabsorbing
0923ASHC_30,09-05-2023,ASHC,30,05-19-2025,Sarina Dery,NA,7_Reabsorbing,TRUE,06-04-2025,Kyra Lenderman,NA,7_Reabsorbing,,NA,7_Reabsorbing
