Sample_ID,Date_collected,Site,Lab_sample,Date_read1,reader1,Sex1,Stage1,Duplicate_read,Date_read2,reader2,Sex2,Stage2,Notes,Sex_final,Stage_final
0625GOLD_01,06-24-2025,GOLD,1,11-08-2025,Kyra Lenderman,Male,4_Late_Mature,TRUE,02-20-2026,Sarina Dery,Male,4_Late_Mature,part spawning - SD,Male,4_Late_Mature
0625GOLD_02,06-24-2025,GOLD,2,11-08-2025,Kyra Lenderman,Male,3_Early_Active,TRUE,02-20-2026,Sarina Dery,Male,3_Early_Active,,Male,3_Early_Active
0625GOLD_03,06-24-2025,GOLD,3,11-08-2025,Kyra Lenderman,Male,4_Late_Mature,TRUE,02-20-2026,Sarina Dery,Male,4_Late_Mature,,Male,4_Late_Mature
0625GOLD_04,06-24-2025,GOLD,4,11-08-2025,Kyra Lenderman,Male,3_Early_Active,TRUE,02-20-2026,Sarina Dery,Male,3_Early_Active,,Male,3_Early_Active
0625GOLD_05,06-24-2025,GOLD,5,11-08-2025,Kyra Lenderman,Female,3_Early_Active,TRUE,02-20-2026,Sarina Dery,Female,3_Early_Active,,Female,3_Early_Active
0625GOLD_06,06-24-2025,GOLD,6,11-08-2025,Kyra Lenderman,Female,3_Early_Active,TRUE,02-20-2026,Sarina Dery,Female,3_Early_Active,Late mature ? - SD,Female,3_Early_Active
0625GOLD_07,06-24-2025,GOLD,7,11-08-2025,Kyra Lenderman,Male,4_Late_Mature,TRUE,02-20-2026,Sarina Dery,Male,4_Late_Mature,,Male,4_Late_Mature
0625GOLD_08,06-24-2025,GOLD,8,11-08-2025,Kyra Lenderman,ND,7_Reabsorbing,TRUE,02-20-2026,Sarina Dery,ND,7_Reabsorbing,Diseased?,ND,7_Reabsorbing
0625GOLD_09,06-24-2025,GOLD,9,11-08-2025,Kyra Lenderman,Female,4_Late_Mature,TRUE,02-20-2026,Sarina Dery,Female,5_Spawning,Eggs are oddly shaped,Female,5_Spawning
0625GOLD_10,06-24-2025,GOLD,10,11-08-2025,Kyra Lenderman,Male,4_Late_Mature,TRUE,02-20-2026,Sarina Dery,Male,4_Late_Mature,,Male,4_Late_Mature
0625GOLD_11,06-24-2025,GOLD,11,11-08-2025,Kyra Lenderman,Male,3_Early_Active,TRUE,02-20-2026,Sarina Dery,Male,3_Early_Active,Immature sperm; not as many tails,Male,3_Early_Active
0625GOLD_12,06-24-2025,GOLD,12,11-08-2025,Kyra Lenderman,Female,3_Early_Active,TRUE,02-20-2026,Sarina Dery,Female,3_Early_Active,Immature eggs,Female,3_Early_Active
0625GOLD_13,06-24-2025,GOLD,13,11-08-2025,Kyra Lenderman,Male,4_Late_Mature,TRUE,02-20-2026,Sarina Dery,Male,4_Late_Mature,,Male,4_Late_Mature
0625GOLD_14,06-24-2025,GOLD,14,11-08-2025,Kyra Lenderman,Male,3_Early_Active,TRUE,02-20-2026,Sarina Dery,Male,4_Late_Mature,,Male,3_Early_Active
0625GOLD_15,06-24-2025,GOLD,15,11-08-2025,Kyra Lenderman,Male,4_Late_Mature,TRUE,02-20-2026,Sarina Dery,Male,4_Late_Mature,,Male,4_Late_Mature
0625GOLD_16,06-24-2025,GOLD,16,11-08-2025,Kyra Lenderman,Male,7_Reabsorbing,TRUE,02-20-2026,Sarina Dery,Male,7_Reabsorbing,,Male,7_Reabsorbing
0625GOLD_17,06-24-2025,GOLD,17,11-08-2025,Kyra Lenderman,Male,6_Post_Spawning,TRUE,02-20-2026,Sarina Dery,Male,4_Late_Mature,Post spawn?- KL . Diseased? - SD,Male,3_Early_Active
0625GOLD_18,06-24-2025,GOLD,18,11-08-2025,Kyra Lenderman,Male,3_Early_Active,TRUE,02-20-2026,Sarina Dery,Male,3_Early_Active,,Male,3_Early_Active
0625GOLD_19,06-24-2025,GOLD,19,11-08-2025,Kyra Lenderman,Female,4_Late_Mature,TRUE,02-20-2026,Sarina Dery,Female,4_Late_Mature,,Female,4_Late_Mature
0625GOLD_20,06-24-2025,GOLD,20,11-08-2025,Kyra Lenderman,Female,4_Late_Mature,TRUE,02-20-2026,Sarina Dery,Female,4_Late_Mature,part spawning ? - SD,Female,4_Late_Mature
0625GOLD_21,06-24-2025,GOLD,21,11-08-2025,Kyra Lenderman,Male,4_Late_Mature,TRUE,02-20-2026,Sarina Dery,Male,4_Late_Mature,,Male,4_Late_Mature
0625GOLD_22,06-24-2025,GOLD,22,11-08-2025,Kyra Lenderman,Female,3_Early_Active,TRUE,02-20-2026,Sarina Dery,Female,4_Late_Mature,Some mature spots,Female,4_Late_Mature
