Sample_ID,Date_collected,Site,Lab_sample,Date_read1,reader1,Sex1,Stage1,Duplicate_read,Date_read2,reader2,Sex2,Stage2,Notes,Sex_final,Stage_final
1224ASHC_01,12-09-2024,ASHC,1,11-07-2025,Sarina Dery,ND,7_Reabsorbing,TRUE,02-19-2026,Kyra Lenderman,ND,7_Reabsorbing,,ND,7_Reabsorbing
1224ASHC_02,12-09-2024,ASHC,2,11-07-2025,Sarina Dery,ND,7_Reabsorbing,TRUE,02-19-2026,Kyra Lenderman,ND,7_Reabsorbing,,ND,7_Reabsorbing
1224ASHC_03,12-09-2024,ASHC,3,11-07-2025,Sarina Dery,ND,7_Reabsorbing,TRUE,02-19-2026,Kyra Lenderman,ND,7_Reabsorbing,developing? - SD,ND,7_Reabsorbing
1224ASHC_04,12-09-2024,ASHC,4,11-07-2025,Sarina Dery,ND,7_Reabsorbing,TRUE,02-19-2026,Kyra Lenderman,ND,7_Reabsorbing,,ND,7_Reabsorbing
1224ASHC_05,12-09-2024,ASHC,5,11-07-2025,Sarina Dery,ND,7_Reabsorbing,TRUE,02-19-2026,Kyra Lenderman,ND,7_Reabsorbing,,ND,7_Reabsorbing
1224ASHC_06,12-09-2024,ASHC,6,11-07-2025,Sarina Dery,Male,7_Reabsorbing,TRUE,02-19-2026,Kyra Lenderman,Male,7_Reabsorbing,,Male,7_Reabsorbing
1224ASHC_07,12-09-2024,ASHC,7,11-07-2025,Sarina Dery,ND,7_Reabsorbing,TRUE,02-19-2026,Kyra Lenderman,ND,7_Reabsorbing,,ND,7_Reabsorbing
1224ASHC_08,12-09-2024,ASHC,8,11-07-2025,Sarina Dery,Male,7_Reabsorbing,TRUE,02-19-2026,Kyra Lenderman,Male,7_Reabsorbing,developing? - SD,Male,7_Reabsorbing
1224ASHC_09,12-09-2024,ASHC,9,11-07-2025,Sarina Dery,Female,7_Reabsorbing,TRUE,02-19-2026,Kyra Lenderman,Female,7_Reabsorbing,,Female,7_Reabsorbing
1224ASHC_10,12-09-2024,ASHC,10,11-07-2025,Sarina Dery,ND,1_Inactive_Indeterminate,TRUE,02-19-2026,Kyra Lenderman,ND,1_Inactive_Indeterminate,,ND,1_Inactive_Indeterminate
1224ASHC_11,12-09-2024,ASHC,11,11-07-2025,Sarina Dery,ND,7_Reabsorbing,TRUE,02-19-2026,Kyra Lenderman,ND,7_Reabsorbing,,ND,7_Reabsorbing
1224ASHC_12,12-09-2024,ASHC,12,11-07-2025,Sarina Dery,ND,7_Reabsorbing,TRUE,02-19-2026,Kyra Lenderman,ND,7_Reabsorbing,,ND,7_Reabsorbing
1224ASHC_13,12-09-2024,ASHC,13,11-07-2025,Sarina Dery,Female,7_Reabsorbing,TRUE,02-19-2026,Kyra Lenderman,Female,7_Reabsorbing,or maybe even post a small spawn? - SD,Female,7_Reabsorbing
1224ASHC_14,12-09-2024,ASHC,14,11-07-2025,Sarina Dery,Female,7_Reabsorbing,TRUE,02-19-2026,Kyra Lenderman,Female,7_Reabsorbing,early active eggs present? - SD,Female,7_Reabsorbing
1224ASHC_15,12-09-2024,ASHC,15,11-07-2025,Sarina Dery,ND,7_Reabsorbing,TRUE,02-19-2026,Kyra Lenderman,ND,7_Reabsorbing,,ND,7_Reabsorbing
1224ASHC_16,12-09-2024,ASHC,16,11-07-2025,Sarina Dery,Female,7_Reabsorbing,TRUE,02-19-2026,Kyra Lenderman,Female,7_Reabsorbing,early active eggs present? - SD,Female,7_Reabsorbing
1224ASHC_17,12-09-2024,ASHC,17,11-07-2025,Sarina Dery,Female,7_Reabsorbing,TRUE,02-19-2026,Kyra Lenderman,ND,7_Reabsorbing,,Female,7_Reabsorbing
1224ASHC_18,12-09-2024,ASHC,18,11-07-2025,Sarina Dery,ND,7_Reabsorbing,TRUE,02-19-2026,Kyra Lenderman,ND,7_Reabsorbing,developing? SD,ND,7_Reabsorbing
1224ASHC_19,12-09-2024,ASHC,19,11-07-2025,Sarina Dery,ND,7_Reabsorbing,TRUE,02-19-2026,Kyra Lenderman,ND,7_Reabsorbing,developing? SD,ND,7_Reabsorbing
1224ASHC_20,12-09-2024,ASHC,20,11-07-2025,Sarina Dery,Female,7_Reabsorbing,TRUE,02-19-2026,Kyra Lenderman,Female,7_Reabsorbing,,Female,7_Reabsorbing
1224ASHC_21,12-09-2024,ASHC,21,11-07-2025,Sarina Dery,Male,7_Reabsorbing,TRUE,02-19-2026,Kyra Lenderman,Male,6_Post_Spawning,,Male,6_Post_Spawning
1224ASHC_22,12-09-2024,ASHC,22,11-07-2025,Sarina Dery,Female,7_Reabsorbing,TRUE,02-19-2026,Kyra Lenderman,Female,7_Reabsorbing,,Female,7_Reabsorbing
1224ASHC_23,12-09-2024,ASHC,23,11-07-2025,Sarina Dery,ND,7_Reabsorbing,TRUE,02-19-2026,Kyra Lenderman,ND,7_Reabsorbing,developing? SD,ND,7_Reabsorbing
1224ASHC_24,12-09-2024,ASHC,24,11-07-2025,Sarina Dery,ND,7_Reabsorbing,TRUE,02-19-2026,Kyra Lenderman,ND,7_Reabsorbing,,ND,7_Reabsorbing
1224ASHC_25,12-09-2024,ASHC,25,11-07-2025,Sarina Dery,Male,7_Reabsorbing,TRUE,02-19-2026,Kyra Lenderman,Male,6_Post_Spawning,early active sperm heads? - SD,Male,6_Post_Spawning
1224ASHC_26,12-09-2024,ASHC,26,11-07-2025,Sarina Dery,Female,7_Reabsorbing,TRUE,02-19-2026,Kyra Lenderman,Female,7_Reabsorbing,,Female,7_Reabsorbing
1224ASHC_27,12-09-2024,ASHC,27,11-07-2025,Sarina Dery,Male,7_Reabsorbing,TRUE,02-19-2026,Kyra Lenderman,Male,7_Reabsorbing,early active sperm heads? - SD,Male,7_Reabsorbing
1224ASHC_28,12-09-2024,ASHC,28,11-07-2025,Sarina Dery,Female,7_Reabsorbing,TRUE,02-19-2026,Kyra Lenderman,Female,7_Reabsorbing,,Female,7_Reabsorbing
1224ASHC_29,12-09-2024,ASHC,29,11-07-2025,Sarina Dery,Female,7_Reabsorbing,TRUE,02-19-2026,Kyra Lenderman,Female,7_Reabsorbing,,Female,7_Reabsorbing
1224ASHC_30,12-09-2024,ASHC,30,11-07-2025,Sarina Dery,ND,7_Reabsorbing,TRUE,02-19-2026,Kyra Lenderman,Female,7_Reabsorbing,,Female,7_Reabsorbing
