"Site","Date_collected","N","haplo_mean","haplo_sd","haplo_se","haplo_ci","p.marinus_mean","p.marinus_sd","p.marinus_se","p.marinus_ci","Completeness"
"ASHC",2024-09-23,30,0,0,0,0,NA,NA,NA,NA,1
"ASHC",2025-09-11,30,0.0333333333333333,0.182574185835055,0.0333333333333333,0.0681743214044234,NA,NA,NA,NA,1
"FENC",2023-07-12,30,0.0333333333333333,0.182574185835055,0.0333333333333333,0.0681743214044234,NA,NA,NA,NA,1
"FENC",2024-09-25,30,0.1,0.402577899936449,0.0735003323160835,0.150325058359458,NA,NA,NA,NA,1
"FENC",2025-09-16,30,0.4,0.813676204344972,0.148556270541641,0.30383168803645,NA,NA,NA,NA,1
"GOLD",2024-07-22,28,0.571428571428571,0.997350988724128,0.188481620429173,0.386732340592232,NA,NA,NA,NA,0.933333333333333
"GOLD",2024-08-14,30,0.966666666666667,1.03335187228457,0.188663376763485,0.38585993054153,NA,NA,NA,NA,1
"GOLD",2025-07-29,30,0.433333333333333,0.678910553924363,0.123951541637567,0.253509367145198,NA,NA,NA,NA,1
"GOLD",2025-08-18,30,0.466666666666667,0.860366134304153,0.157080646490635,0.321265994408014,NA,NA,NA,NA,1
"GOLD",2025-09-23,30,0.3,0.595963433268438,0.108807538616449,0.222536403265861,NA,NA,NA,NA,1
"ASHC",2024-07-10,30,NA,NA,NA,NA,NA,NA,NA,NA,1
"ASHC",2024-09-23,30,NA,NA,NA,NA,1.71666666666667,1.39384937922073,0.254480915587923,0.52047191191749,1
"ASHC",2025-09-11,30,NA,NA,NA,NA,1.56666666666667,1.30472175216584,0.238208511642966,0.487191109020507,1
"FENC",2023-07-12,30,NA,NA,NA,NA,1.15,1.29421791055448,0.23629078131263,0.483268910103288,1
"FENC",2024-09-25,30,NA,NA,NA,NA,1.31666666666667,1.14833712859924,0.209656716318171,0.42879613088613,1
"FENC",2025-09-16,30,NA,NA,NA,NA,1.33333333333333,1.20582875587944,0.220153203361186,0.450263857324766,1
"GOLD",2024-07-22,28,NA,NA,NA,NA,0.75,0.897527467855751,0.169616748199702,0.348024820062302,0.933333333333333
"GOLD",2024-08-14,30,NA,NA,NA,NA,0.55,0.769572205390985,0.140504018840547,0.287362984171459,1
"GOLD",2025-07-29,30,NA,NA,NA,NA,0.666666666666667,1.01142894251011,0.184660815708795,0.377673774028032,1
"GOLD",2025-08-18,30,NA,NA,NA,NA,1,1.51998185107132,0.277509448943407,0.567570550950969,1
"GOLD",2025-09-23,30,NA,NA,NA,NA,NA,NA,NA,NA,1
